file	caller	callee	line	text
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log	<init>	com.fireos.eve.LmkData::isHomeApp	429892	[new] 0dbe4e: 5c30 ff1c                              |0025: iput-boolean v0, v3, Lcom/fireos/eve/LmkData;.isHomeApp:Z // field@1cff
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log	<init>	com.fireos.eve.LmkData::isHomeApp	429925	[new] 0dbe98: 5c05 ff1c                              |0009: iput-boolean v5, v0, Lcom/fireos/eve/LmkData;.isHomeApp:Z // field@1cff
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log	equals	com.fireos.eve.LmkData::isHomeApp	429969	[new] 0dbc22: 5502 ff1c                              |0024: iget-boolean v2, v0, Lcom/fireos/eve/LmkData;.isHomeApp:Z // field@1cff
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log	equals	com.fireos.eve.LmkData::isHomeApp	429971	[new] 0dbc26: 5563 ff1c                              |0026: iget-boolean v3, v6, Lcom/fireos/eve/LmkData;.isHomeApp:Z // field@1cff
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log	getHomeActivities	amazon.content.pm.AmazonPackageManagerImpl::mDelegate	367863	[new] 075534: 5410 9401                              |0000: iget-object v0, v1, Lamazon/content/pm/AmazonPackageManagerImpl;.mDelegate:Landroid/content/pm/PackageManager; // field@0194
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log	getHomeActivities	android.content.pm.PackageManager::getHomeActivities	367865	[new] 075538: 6e20 4c08 2000                         |0002: invoke-virtual {v0, v2}, Landroid/content/pm/PackageManager;.getHomeActivities:(Ljava/util/List;)Landroid/content/ComponentName; // method@084c
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log	getMultimodalHomeIntent	android.content.Intent::<init>	45088	09af2e: 7010 da07 0000                         |0002: invoke-direct {v0}, Landroid/content/Intent;.<init>:()V // method@07da
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log	getMultimodalHomeIntent	android.content.Intent::addCategory	45094	[new] 09af42: 6e20 dd07 1000                         |000c: invoke-virtual {v0, v1}, Landroid/content/Intent;.addCategory:(Ljava/lang/String;)Landroid/content/Intent; // method@07dd
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log	getMultimodalHomeIntent	android.content.Intent::setAction	45091	[new] 09af38: 6e20 e607 1000                         |0007: invoke-virtual {v0, v1}, Landroid/content/Intent;.setAction:(Ljava/lang/String;)Landroid/content/Intent; // method@07e6
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log	getMultimodalHomeIntent	android.content.Intent::setFlags	45097	[new] 09af4c: 6e20 e907 1000                         |0011: invoke-virtual {v0, v1}, Landroid/content/Intent;.setFlags:(I)Landroid/content/Intent; // method@07e9
