namespace,key,baseline_value,reader_class,writer_class,package,suspected_effect,writable_by_shell,reversible,tested,result
secure,AmazonAppSettings.version,5,NONE OBSERVED,NONE OBSERVED,UNKNOWN,Keyword candidate; no causal HOME evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,AmazonCaptivePortalSettingsProviderCallback.version,1,NONE OBSERVED,NONE OBSERVED,UNKNOWN,Keyword candidate; no causal HOME evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,AmazonDropboxSettings.version,1,NONE OBSERVED,NONE OBSERVED,UNKNOWN,Keyword candidate; no causal HOME evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,DEFAULT_COR,JP,decompiled/jadx/firelauncher/sources/com/google/android/material/shape/ShapePathModel.java:5; decompiled/jadx/firelauncher/sources/com/google/android/material/shape/ShapePathModel.java:17; decompiled/jadx/systemui/sources/android/support/design/shape/ShapePathModel.java:5; decompiled/jadx/systemui/sources/android/support/design/shape/ShapePathModel.java:7; decompiled/jadx/systemui/sources/android/support/design/shape/ShapePathModel.java:8; decompiled/jadx/systemui/sources/android/support/design/shape/ShapePathModel.java:9,NONE OBSERVED,com.amazon.firelauncher,Could affect defaults only with a matching reader,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,DEFAULT_PFM,<redacted>,artifacts/amazon-services/com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.apk:109463,NONE OBSERVED,UNKNOWN,Could affect defaults only with a matching reader,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,F_C.StartupRefreshServi.FIRST_BOOTSTRAP,0,NONE OBSERVED,NONE OBSERVED,UNKNOWN,Keyword candidate; no causal HOME evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,LAUNCHER_FTUE_FLAG,amzn1.account.AF3AIQ5HTDU5DJYSLOSPPGKHUUZA,decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/metrics/FtueMetricsHandler.java:58,NONE OBSERVED,com.amazon.firelauncher,Launcher UI/content; no HOME resolver evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,USER_ROLE,ADULT,decompiled/jadx/settings/sources/com/amazon/settings/Utils.java:164; decompiled/jadx/amazon-settings/sources/com/amazon/settings/security/SecuritySettings.java:62; decompiled/jadx/amazon-settings/sources/com/amazon/settings/security/SecuritySettings.java:63; decompiled/jadx/amazon-settings/sources/com/amazon/settings/security/SecuritySettings.java:302; decompiled/jadx/amazon-settings/sources/com/amazon/settings/security/SecuritySettings.java:303; decompiled/jadx/amazon-settings/sources/com/amazon/settings/restrictions/conditions/ChildUserCondition.java:10,NONE OBSERVED,Settings/SettingsProvider,Keyword candidate; no causal HOME evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,com.amazon.device.restore.state,COMPLETE,NONE OBSERVED,NONE OBSERVED,UNKNOWN,Keyword candidate; no causal HOME evidence,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
secure,default_input_method,com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME,NONE OBSERVED,decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/utils/KeyboardManager.java:64; decompiled/jadx/systemui/sources/com/android/server/devicepolicy/DevicePolicyManagerService.java:352; decompiled/jadx/systemui/sources/com/android/server/devicepolicy/DevicePolicyManagerService.java:8535; decompiled/jadx/systemui/sources/com/android/server/devicepolicy/DevicePolicyManagerService.java:8536; decompiled/jadx/systemui/sources/com/android/server/devicepolicy/DevicePolicyManagerService.java:8709; decompiled/jadx/settings/sources/com/android/settingslib/inputmethod/InputMethodAndSubtypeUtil.java:118,com.amazon.firelauncher,Could affect defaults only with a matching reader,NOT TESTED,YES with original snapshot,NO,NOT TESTED: no HOME-specific reader/writer evidence
