artifact,owner,owner_descriptor,method_kind,dex_method_index,method_signature,artifact_line,first_code_address,first_instruction_offset,bluetooth_permission,bluetooth_admin_permission,bluetooth_privileged_permission,permission_helper_call,amazon_native_or_callback,permission_literals,boundary_classification,interpretation
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17940,btpmLeAclStateChangeNtfyNative (ILjava/lang/String;I)V,160880,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17941,btpmLeConnectNative (IILjava/lang/String;ZZ)V,160883,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17942,btpmLeConnectNtfyNative (ILjava/lang/String;)V,160886,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17943,btpmLeDisconnectNative (ILjava/lang/String;)V,160889,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17944,btpmLeDisconnectNtfyNative (ILjava/lang/String;)V,160892,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17945,btpmLeGetAvailableLinkCountNative ()I,160895,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17947,btpmLeRegisterAppNative (IJJ)V,160898,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17948,btpmLeScanNative (Z)V,160901,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17949,btpmLeSetAppClientIfNative (IJJ)V,160904,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
artifacts/phase5/phase5j-bluetooth-static-analysis-20260803/focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt,AmazonBtPolicyManagerAdapter,Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;,direct_method,17950,btpmLeSetReqPriorityNative (ILjava/lang/String;I)V,160907,,,no,no,no,no,yes,,amazon_btpm_native_or_callback,DEX method index; not a CVE identifier.
