config_key,ps7330_value,ps7331_value,changed,ghostlock_focus,interpretation
CONFIG_ARM64,y,y,false,true,identical
CONFIG_ARM64_4K_PAGES,y,y,false,true,identical
CONFIG_ARM64_VA_BITS,39,39,false,true,identical
CONFIG_THREAD_INFO_IN_TASK,y,y,false,true,identical
CONFIG_FUTEX,y,y,false,true,identical
CONFIG_RT_MUTEXES,y,y,false,true,identical
CONFIG_PREEMPT,y,y,false,true,identical
CONFIG_RANDOMIZE_BASE,y,y,false,true,identical
CONFIG_KALLSYMS,y,y,false,true,identical
CONFIG_KALLSYMS_ALL,not set,not set,false,true,identical
CONFIG_DEBUG_INFO,not set,not set,false,true,identical
CONFIG_IKCONFIG,y,y,false,true,identical
CONFIG_SECURITY_SELINUX,y,y,false,true,identical
CONFIG_SECCOMP,y,y,false,true,identical
CONFIG_NETFILTER_NETLINK_ACCT,not set,y,true,false,non-GhostLock network difference
CONFIG_NF_CONNTRACK_TIMESTAMP,not set,y,true,false,non-GhostLock network difference
CONFIG_MTK_WPA3_SUPPORT,ABSENT,y,true,false,non-GhostLock Wi-Fi difference
