key,status,source_line,interpretation,confidence
CONFIG_KALLSYMS,present,CONFIG_KALLSYMS=y,configuration present in extracted IKCONFIG,Confirmed
CONFIG_FUTEX,present,CONFIG_FUTEX=y,configuration present in extracted IKCONFIG,Confirmed
CONFIG_RT_MUTEXES,present,CONFIG_RT_MUTEXES=y,configuration present in extracted IKCONFIG,Confirmed
CONFIG_PREEMPT,present,CONFIG_PREEMPT=y,configuration present in extracted IKCONFIG,Confirmed
CONFIG_PREEMPT_COUNT,present,CONFIG_PREEMPT_COUNT=y,configuration present in extracted IKCONFIG,Confirmed
CONFIG_SECCOMP,present,CONFIG_SECCOMP=y,configuration present in extracted IKCONFIG,Confirmed
CONFIG_SECCOMP_FILTER,present,CONFIG_SECCOMP_FILTER=y,configuration present in extracted IKCONFIG,Confirmed
CONFIG_RANDOMIZE_BASE,present,CONFIG_RANDOMIZE_BASE=y,configuration present in extracted IKCONFIG,Confirmed
CONFIG_RANDOMIZE_KSTACK_OFFSET,not_observed,,absence is not proof of disabled behavior,Unknown
CONFIG_RANDOMIZE_KSTACK_OFFSET_DEFAULT,not_observed,,absence is not proof of disabled behavior,Unknown
CONFIG_VMAP_STACK,not_observed,,absence is not proof of disabled behavior,Unknown
CONFIG_ARM64_4K_PAGES,present,CONFIG_ARM64_4K_PAGES=y,configuration present in extracted IKCONFIG,Confirmed
CONFIG_ARM64_VA_BITS,present,CONFIG_ARM64_VA_BITS=39,configuration present in extracted IKCONFIG,Confirmed
