surface,name,value,evidence,confidence
config,CONFIG_FUTEX,y,artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config,Confirmed
config,CONFIG_RT_MUTEXES,y,artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config,Confirmed
config,CONFIG_CONFIGFS_FS,y,artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config,Confirmed
config,CONFIG_USERFAULTFD,not set,artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config,Confirmed
config,CONFIG_SLUB,y,artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config,Confirmed
config,CONFIG_SECCOMP,y,artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config,Confirmed
config,CONFIG_SECCOMP_FILTER,y,artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config,Confirmed
config,CONFIG_RANDOMIZE_BASE,y,artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config,Confirmed
source,configfs_source,34 source files,exact PS7331 MT8183 source,Confirmed
source,pipe_buffer_source,7 source files,exact PS7331 MT8183 source,Confirmed
source,anon_pipe_ops_source,1 source file,exact PS7331 MT8183 source,Confirmed
source,userfaultfd_source,14 source files,exact PS7331 MT8183 source,Confirmed
source,requeue_pi_source,4 source files,exact PS7331 MT8183 source,Confirmed
source,proxy_lock_source,3 source files,exact PS7331 MT8183 source,Confirmed
