class,method,command,interface_method,static_location,command_location,call_location,code_off,first_instruction,classification,markers,direct_effect,permission_markers_in_class,device_invocation,invoked_on_device,risk,evidence
com.android.server.pm.OtaDexoptService,main,,,disassembly.log:482249-482259,,,2a30d0,2a30d4,registration_and_startup,"ServiceManager;.addService;""otadexopt"";moveAbArtifacts",publishes otadexopt and calls moveAbArtifacts,NONE_OBSERVED,NOT_INVOKED,,,PS7331 services VDEX + PHASE6AE-STATUS-20260805-01
com.android.server.pm.OtaDexoptService,cleanup,,,disassembly.log:482460-482478,,,2a33d0,2a33d4,state_mutating_rejected,mDexoptCommands;getAvailableSpace;performMetricsLogging,clears mDexoptCommands and records metrics,NONE_OBSERVED,NOT_INVOKED,,,PS7331 services VDEX + PHASE6AE-STATUS-20260805-01
com.android.server.pm.OtaDexoptService,dexoptNextPackage,,,disassembly.log:482479-482489,,,2a3414,2a3418,throws_before_effect,UnsupportedOperationException,throws UnsupportedOperationException,NONE_OBSERVED,NOT_INVOKED,,,PS7331 services VDEX + PHASE6AE-STATUS-20260805-01
com.android.server.pm.OtaDexoptService,getProgress,,,disassembly.log:482490-482513,,,2a30f6,2a30fa,state_read_or_precondition_check,"completeSize;mDexoptCommands;const/high16 v0, #int 1065353216",reads completeSize and command-list size,NONE_OBSERVED,done/progress only,,,PS7331 services VDEX + PHASE6AE-STATUS-20260805-01
com.android.server.pm.OtaDexoptService,isDone,,,disassembly.log:482514-482532,,,2a3086,2a308a,state_read_or_precondition_check,mDexoptCommands;List;.isEmpty;done() called before prepare(),reads command-list state or throws before prepare,NONE_OBSERVED,done/progress only,,,PS7331 services VDEX + PHASE6AE-STATUS-20260805-01
com.android.server.pm.OtaDexoptService,nextDexoptCommand,,,disassembly.log:482533-482597,,,2a31a6,2a31aa,state_mutating_rejected,List;.remove:(I);getAvailableSpace;List;.clear;dexoptCommandCountExecuted,removes one command; may clear remaining commands on low space,NONE_OBSERVED,NOT_INVOKED,,,PS7331 services VDEX + PHASE6AE-STATUS-20260805-01
com.android.server.pm.OtaDexoptService,onShellCommand,,,disassembly.log:482598-482612,,,2a363a,2a363e,shell_dispatch,OtaDexoptShellCommand;OtaDexoptShellCommand;.exec,constructs OtaDexoptShellCommand and calls exec,NONE_OBSERVED,NOT_INVOKED,,,PS7331 services VDEX + PHASE6AE-STATUS-20260805-01
com.android.server.pm.OtaDexoptService,prepare,,,disassembly.log:482613-482734,,,2a3736,2a373a,state_mutating_rejected,getPackagesForDexopt;mDexoptCommands;generatePackageDexopts;deleteOatArtifactsOfPackage,builds dexopt command list and may delete OAT artifacts on low space,NONE_OBSERVED,NOT_INVOKED,,,PS7331 services VDEX + PHASE6AE-STATUS-20260805-01
com.android.server.pm.OtaDexoptShellCommand,,cleanup,cleanup,,disassembly.log:482838,disassembly.log:482751,,,,,,,,NO,state mutation or dexopt execution,
com.android.server.pm.OtaDexoptShellCommand,,done,isDone,,disassembly.log:482856,disassembly.log:482761,,,,,,,,YES,read/precondition,
com.android.server.pm.OtaDexoptShellCommand,,next,nextDexoptCommand,,disassembly.log:482850,disassembly.log:482778,,,,,,,,NO,state mutation or dexopt execution,
com.android.server.pm.OtaDexoptShellCommand,,prepare,prepare,,disassembly.log:482862,disassembly.log:482788,,,,,,,,NO,state mutation or dexopt execution,
com.android.server.pm.OtaDexoptShellCommand,,progress,getProgress,,disassembly.log:482868,disassembly.log:482800,,,,,,,,YES,read/precondition,
com.android.server.pm.OtaDexoptShellCommand,,step,dexoptNextPackage,,disassembly.log:482844,disassembly.log:482819,,,,,,,,NO,state mutation or dexopt execution,
