evidence_id,surface,symbol,source_file,source_location,publication_or_entry,method_guard,affected_state,home_relation,shell_reachability,caller_evidence,confidence,conclusion
6AJ-HOME-001,service_publication,AmazonInputManagerService.onStart / getSystemServiceName,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,"class line 18992; onStart around 21872; amazon_input lines [21872, 22644]; amazon_keyevent lines [22649, 24090]","publishBinderService(""amazon_input""), publishBinderService(""amazon_keyevent""), local service",none at publication; guards are in Binder methods,Amazon input/key-event callback registries and secondary input filter,input observation/interception surface; not a HOME resolver method,"service names listed in saved capture, but shell find denied by SELinux",saved live service list plus source publication,Confirmed,Amazon publishes two private input services.
6AJ-HOME-002,service_manager_boundary,amazon_input / amazon_keyevent,artifacts/phase6j/phase6j-service-visibility-20260805-01/service_list.stdout.txt; artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,saved service list lines 55-56; saved AVC matches for uid=2000,ServiceManager visibility exists at the system level,SELinux service_manager find denial for shell UID 2000,No shell handle to the private input services in the saved capture,prevents a normal ADB caller from reaching these callback paths,denied,uid=2000 AVC { find } for amazon_input and amazon_keyevent,Confirmed,No legitimate shell-accessible private input Binder route was observed.
6AJ-HOME-003,key_interceptor,AmazonInputManagerService.BinderService.registerKeyEventInterceptor,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,method line 19829; smali codeOff 0x024c3e; guard at 0x024c56,IAmazonInputManager.registerKeyEventInterceptor,GET_KEYEVENTS; package whitelist; foreground package when requested; per-key whitelist and collision checks,mInterceptKeyMap and registered callback lists,can consume selected key events for authorized Amazon callers; no Fire Launcher component selection found,unreachable in saved live policy; shell lacks service find and permission,saved Alexa/ARIA caller uses the public client API; no shell caller,Confirmed,"This is a privileged input callback, not a generic HOME override."
6AJ-HOME-004,key_listener,AmazonInputManagerService.BinderService.registerKeyEventListener,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,method line 20048; smali codeOff 0x025710,IAmazonInputManager.registerKeyEventListener,Context.checkCallingOrSelfPermission(GET_KEYEVENTS); SecurityException otherwise,key-event listener callback registry,observation/notification path; no resolver write or explicit HOME component in method,unreachable without private permission and service handle,authorized Amazon clients only in saved source scope,Confirmed,Listener registration is permission-gated and not shell-writable.
6AJ-HOME-005,next_key_listener,AmazonInputManagerService.BinderService.registerNextKeyEventListener,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,method line 20077; smali codeOff 0x025780,IAmazonInputManager.registerNextKeyEventListener,Context.checkCallingOrSelfPermission(GET_KEYEVENTS); SecurityException otherwise,one-shot/next key callback state,input event observation only in bounded method scope,unreachable without private permission and service handle,no shell caller in saved artifacts,Confirmed,The one-shot listener has the same private permission boundary.
6AJ-HOME-006,input_filter,setInputFilter -> validateInputFilterAccessPermission -> InputManagerService.registerSecondaryInputFilter,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,setInputFilter line 20112; validator line 22437; isCallerSystemApp line 21874; smali 0x0257f8/0x027b6e,IAmazonInputManager.setInputFilter,caller must be system/updated-system app OR hold com.amazon.input.permission.FILTER_INPUT_EVENTS,secondary input filter,"could affect input routing in principle, but does not choose a HOME component in the bounded implementation",denied by caller class/permission boundary; FILTER_INPUT_EVENTS is signature|amazon,"permission dump identifies source android.amazon.perm, UID 1000, prot signature|amazon",Confirmed,The previously unresolved method-local authorization is now closed.
6AJ-HOME-007,input_injection,checkInjectEventsPermission; inject; injectSequence,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,inject line 19508; injectSequence line 19630; checker around smali 0x02667a,IAmazonInputManager.inject / injectSequence,system_server pid/uid fast path; otherwise INJECT_EVENTS permissions and UID 1000 check,input injection request only,not a HOME resolver route; injecting Home is intentionally not tested,denied for shell UID under the saved branch conditions,smali checks Binder calling PID/UID and both Android/Amazon injection permissions,Confirmed,Input injection is not a safe or available shell bypass.
6AJ-HOME-008,private_keyevent_state,KeyEventBinderService.setInputLockingMode / partner app APIs,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; artifacts/phase6k/readonly-device-20260805-01/preferred_activities.stdout.txt,fosservices around methods 3845-3851; permission strings at 0x025ea8/0x02602c/0x025ee4,amazon_keyevent Binder service,SET_PARTNER_APP_INFO (signature|...); INPUT_LOCKING (signature|amzrestricted); GET_KEYEVENTS,input-locking mode and partner-app metadata,may change input policy for authorized integrations; no direct HOME component write observed,not available to shell in saved capture,permission definitions and existing service visibility evidence,Confirmed,Private key-event state is separately protected and not a third-party launcher control surface.
6AJ-HOME-009,authorized_home_observer,AriaPartialScreen.registerKeyEventInterceptor / onKeyEvent,artifacts/phase6j/ota-alexa-system-ota-jadx-20260805-01/sources/com/amazon/aria/AriaPartialScreen.java; artifacts/phase6j/ota-alexa-system-ota-jadx-20260805-01/sources/com/amazon/aria/PartialScreenManager.java; artifacts/phase6j/ota-alexa-system-ota-jadx-20260805-01/resources/AndroidManifest.xml,"AriaPartialScreen.java:56,77,174-180,323-335; PartialScreenManager.java:175-177; Alexa manifest saved uses GET_KEYEVENTS",AmazonInputManager.SERVICE_NAME client obtained through Context.getSystemService,caller is an authorized privileged Amazon component; service-side whitelist/foreground/key checks still apply,ARIA partial-screen overlay and its key callback,special key list includes 3 (HOME) and 82; key-up dismisses the partial overlay; no Fire Launcher explicit start shown,not available to ordinary third-party/shell caller,saved Alexa ARIA source and manifest permission use,Strong evidence,"A privileged Amazon client can observe/consume HOME for an overlay, but this does not prove resolver replacement."
6AJ-HOME-010,resolver_scope_negative,AmazonInputManagerService bounded implementation scope,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,AmazonInputManagerService class block from its class header through the next class boundary,same private input service,not applicable,input callback/filter state only in bounded scope,"no occurrences of resolveActivity, resolveIntent, setPreferredActivity, replacePreferredActivity, startHomeActivity, or startHomeOnAllDisplays in bounded class scope",not applicable,negative result limited to this class scope; other SystemUI/PhoneWindowManager paths remain separate,Strong evidence,The input service is not itself shown to perform HOME resolver selection.
