archive,archive_sha256,pattern,count,matching_members,classification
fireos.tar,bb7030296545dd45edcfec47d3e742043e7813852844f4b0fbbe8d223899b369,system_core_init,0,,ABSENT_IN_ARCHIVE_MEMBER_PATH
fireos.tar,bb7030296545dd45edcfec47d3e742043e7813852844f4b0fbbe8d223899b369,system_core,0,,NO_MATCH
fireos.tar,bb7030296545dd45edcfec47d3e742043e7813852844f4b0fbbe8d223899b369,frameworks_base,0,,ABSENT_IN_ARCHIVE_MEMBER_PATH
fireos.tar,bb7030296545dd45edcfec47d3e742043e7813852844f4b0fbbe8d223899b369,packages_apps,3,packages/apps/; packages/apps/SpareParts/; packages/apps/SpareParts/NOTICE,LIMITED_OPEN_SOURCE_APP_SCOPE
fireos.tar,bb7030296545dd45edcfec47d3e742043e7813852844f4b0fbbe8d223899b369,system_core_selinux_cpp,0,,ABSENT_IN_ARCHIVE_MEMBER_PATH
fireos.tar,bb7030296545dd45edcfec47d3e742043e7813852844f4b0fbbe8d223899b369,amazon_namespace,0,,ABSENT_IN_ARCHIVE_MEMBER_PATH
fireos.tar,bb7030296545dd45edcfec47d3e742043e7813852844f4b0fbbe8d223899b369,deny_list_symbols,0,,ABSENT_IN_ARCHIVE_MEMBER_PATH
platform.tar,69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,system_core_init,0,,ABSENT_IN_ARCHIVE_MEMBER_PATH
platform.tar,69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,system_core,150,system/core/; system/core/logwrapper/; system/core/logwrapper/android_fork_execvp_ext_benchmark.cpp; system/core/logwrapper/include/; system/core/logwrapper/include/logwrap/; system/core/logwrapper/include/logwrap/logwrap.h; system/core/logwrapper/logwrap.c; system/core/logwrapper/Android.bp; system/core/logwrapper/logwrapper.c; system/core/logwrapper/NOTICE; system/core/logwrapper/OWNERS; system/core/libcutils/; system/core/libcutils/uevent.cpp; system/core/libcutils/arch-x86_64/; system/core/libcutils/arch-x86_64/android_memset32.S; system/core/libcutils/arch-x86_64/android_memset16.S; system/core/libcutils/arch-x86_64/cache.h; system/core/libcutils/arch-x86/; system/core/libcutils/arch-x86/android_memset32.S; system/core/libcutils/arch-x86/android_memset16.S; system/core/libcutils/arch-x86/cache.h; system/core/libcutils/hashmap.cpp; system/core/libcutils/qtaguid.cpp; system/core/libcutils/str_parms.cpp; system/core/libcutils/record_stream.cpp; system/core/libcutils/open_memstream.c; system/core/libcutils/trace-container.cpp; system/core/libcutils/include/; system/core/libcutils/include/private/; system/core/libcutils/include/private/fs_config.h; system/core/libcutils/include/private/canned_fs_config.h; system/core/libcutils/include/private/android_filesystem_capability.h; system/core/libcutils/include/private/android_filesystem_config.h; system/core/libcutils/include/cutils/; system/core/libcutils/include/cutils/threads.h; system/core/libcutils/include/cutils/android_reboot.h; system/core/libcutils/include/cutils/sched_policy.h; system/core/libcutils/include/cutils/qtaguid.h; system/core/libcutils/include/cutils/fs.h; system/core/libcutils/include/cutils/klog.h; system/core/libcutils/include/cutils/jstring.h; system/core/libcutils/include/cutils/partition_utils.h; system/core/libcutils/include/cutils/record_stream.h; system/core/libcutils/include/cutils/ashmem.h; system/core/libcutils/include/cutils/uevent.h; system/core/libcutils/include/cutils/memory.h; system/core/libcutils/include/cutils/properties.h; system/core/libcutils/include/cutils/sockets.h; system/core/libcutils/include/cutils/atomic.h; system/core/libcutils/include/cutils/compiler.h; system/core/libcutils/include/cutils/native_handle.h; system/core/libcutils/include/cutils/trace.h; system/core/libcutils/include/cutils/bitops.h; system/core/libcutils/include/cutils/misc.h; system/core/libcutils/include/cutils/open_memstream.h; system/core/libcutils/include/cutils/hashmap.h; system/core/libcutils/include/cutils/android_filesystem_config.h; system/core/libcutils/include/cutils/config_utils.h; system/core/libcutils/include/cutils/android_get_control_file.h; system/core/libcutils/include/cutils/log.h; system/core/libcutils/include/cutils/list.h; system/core/libcutils/include/cutils/multiuser.h; system/core/libcutils/include/cutils/iosched_policy.h; system/core/libcutils/include/cutils/str_parms.h; system/core/libcutils/native_handle.cpp; system/core/libcutils/arch-mips/; system/core/libcutils/arch-mips/android_memset.c; system/core/libcutils/socket_network_client_unix.cpp; system/core/libcutils/properties.cpp; system/core/libcutils/fs.cpp; system/core/libcutils/trace-dev.inc; system/core/libcutils/arch-arm64/; system/core/libcutils/arch-arm64/android_memset.S; system/core/libcutils/trace-host.cpp; system/core/libcutils/sockets_unix.cpp; system/core/libcutils/load_file.cpp; system/core/libcutils/socket_local_client_unix.cpp; system/core/libcutils/socket_local_unix.h; system/core/libcutils/socket_inaddr_any_server_windows.cpp; system/core/libcutils/socket_local_server_unix.cpp; system/core/libcutils/android_get_control_file.cpp; system/core/libcutils/arch-arm/; system/core/libcutils/arch-arm/memset32.S; system/core/libcutils/multiuser.cpp; system/core/libcutils/partition_utils.cpp; system/core/libcutils/threads.cpp; system/core/libcutils/sockets.cpp; system/core/libcutils/iosched_policy.cpp; system/core/libcutils/tests/; system/core/libcutils/tests/PropertiesTest.cpp; system/core/libcutils/tests/MemsetTest.cpp; system/core/libcutils/tests/android_get_control_file_test.cpp; system/core/libcutils/tests/sockets_test.cpp; system/core/libcutils/tests/AndroidTest.xml; system/core/libcutils/tests/multiuser_test.cpp; system/core/libcutils/tests/Android.bp; system/core/libcutils/tests/trace-dev_test.cpp; system/core/libcutils/tests/android_get_control_socket_test.cpp; system/core/libcutils/tests/AshmemTest.cpp; system/core/libcutils/tests/fs_config.cpp,GENERIC_PLATFORM_SCOPE_ONLY
platform.tar,69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,frameworks_base,0,,ABSENT_IN_ARCHIVE_MEMBER_PATH
platform.tar,69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,packages_apps,0,,NO_MATCH
platform.tar,69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,system_core_selinux_cpp,0,,ABSENT_IN_ARCHIVE_MEMBER_PATH
platform.tar,69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,amazon_namespace,0,,ABSENT_IN_ARCHIVE_MEMBER_PATH
platform.tar,69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,deny_list_symbols,0,,ABSENT_IN_ARCHIVE_MEMBER_PATH
