method_number,kind,signature,access,line_start,line_end,permission_literals,permission_calls,activity_calls,home_terms,state_writes,classification,reachability_note
4970,direct_method,<init> (Lcom/amazon/android/server/am/AmazonActivityManagerService;)V,10001 (PUBLIC CONSTRUCTOR),39649,39655,,,"0002: invoke-direct {v0}, Lcom/amazon/android/server/am/IAmazonActivityManager$Stub;.<init>:()V // method@13a3",,"0000: iput-object v1, v0, Lcom/amazon/android/server/am/AmazonActivityManagerService$BinderService;.this$0:Lcom/amazon/android/server/am/AmazonActivityManagerService; // field@078d",OTHER_BINDER_METHOD,Classified from bounded method body; absence of a call is limited to this disassembly scope.
4984,direct_method,packageLifetimeHintLocked (Ljava/lang/String;FZI)I,0002 (PRIVATE),39656,39807,,,"0014: invoke-static {v1}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$400:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Lamazon/internal/SystemJumpTable$ActivityManagerService; // method@138d; 0018: invoke-virtual {v1}, Lamazon/internal/SystemJumpTable$ActivityManagerService;.getMLruProcessServiceStart:()I // method@0057; 001e: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 002b: invoke-static {v3}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$200:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Landroid/content/Context; // method@138b; 003d: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 0058: invoke-static {v3}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$400:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Lamazon/internal/SystemJumpTable$ActivityManagerService; // method@138d; 005f: invoke-virtual {v3, v10, v4, v5}, Lamazon/internal/SystemJumpTable$ActivityManagerService;.getProcessRecordLocked:(Ljava/lang/String;IZ)Lamazon/internal/SystemJumpTable$ProcessRecord; // method@005d; 0065: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 0071: invoke-static {v4}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$400:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Lamazon/internal/SystemJumpTable$ActivityManagerService; // method@138d; 0075: invoke-virtual {v4}, Lamazon/internal/SystemJumpTable$ActivityManagerService;.getMLruProcesses:()Ljava/util/ArrayList; // method@0058; 0079: invoke-virtual {v3}, Lamazon/internal/SystemJumpTable$ProcessRecord;.getRecord:()Ljava/lang/Object; // method@00bb; 0083: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 00a3: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 00dc: invoke-virtual {v3}, Lamazon/internal/SystemJumpTable$ProcessRecord;.getRecord:()Ljava/lang/Object; // method@00bb; 00fc: invoke-virtual {v3}, Lamazon/internal/SystemJumpTable$ProcessRecord;.getRecord:()Ljava/lang/Object; // method@00bb; 0105: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 011e: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387",,,PROCESS_LIFETIME_HINT_PERMISSION_GATED,Classified from bounded method body; absence of a call is limited to this disassembly scope.
4971,virtual_method,checkKillAppGoingIntoBg (Ljava/lang/String;I)Z,0001 (PUBLIC),39808,39824,,,"0003: invoke-static {v1}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$000:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Lcom/android/server/am/ActivityManagerService; // method@1386; 0008: invoke-virtual {v3, v4, v5}, Lcom/amazon/android/server/am/AmazonActivityManagerService$BinderService;.checkKillAppGoingIntoBgLocked:(Ljava/lang/String;I)Z // method@136c",,,PROCESS_KILL_CANDIDATE,High-impact process-control body; no local permission literal in bounded method. Service reachability remains separately denied in saved shell capture.
4972,virtual_method,checkKillAppGoingIntoBgLocked (Ljava/lang/String;I)Z,0000,39825,39940,,,"0002: invoke-static {v0}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$400:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Lamazon/internal/SystemJumpTable$ActivityManagerService; // method@138d; 0006: invoke-virtual {v0}, Lamazon/internal/SystemJumpTable$ActivityManagerService;.getMHomeProcess:()Lamazon/internal/SystemJumpTable$ProcessRecord; // method@0056; 000d: invoke-virtual {v0}, Lamazon/internal/SystemJumpTable$ProcessRecord;.getRecord:()Ljava/lang/Object; // method@00bb; 0013: invoke-virtual {v0}, Lamazon/internal/SystemJumpTable$ProcessRecord;.hasShownUi:()Z // method@00be; 001d: invoke-virtual {v2, v12, v13}, Lcom/amazon/android/server/am/AmazonActivityManagerService$TestHelper;.retrieveAppInfo:(Ljava/lang/String;I)Z // method@1383; 0023: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 0040: invoke-virtual {v2}, Lcom/amazon/android/server/am/AmazonActivityManagerService$TestHelper;.getAppInfo:()Landroid/content/pm/ApplicationInfo; // method@137e; 0046: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 0063: invoke-virtual {v3, v2}, Lcom/amazon/android/server/am/AmazonActivityManagerService$TestHelper;.isPersistApp:(Landroid/content/pm/ApplicationInfo;)Z // method@1381; 0069: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 0086: invoke-virtual {v3}, Lcom/amazon/android/server/am/AmazonActivityManagerService$TestHelper;.getAvailableMem:()J // method@137f; 008c: invoke-static {v5}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$500:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)J // method@138e; 009a: invoke-virtual {v5, v12, v6}, Lcom/amazon/android/server/am/AmazonActivityManagerService$TestHelper;.getPkgPid:(Ljava/lang/String;I)I // method@1380; 00c6: invoke-virtual {v1, v12, v13}, Lcom/amazon/android/server/am/AmazonActivityManagerService$TestHelper;.killApp:(Ljava/lang/String;I)V // method@1382; 00ca: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387",Home,,PROCESS_KILL_CANDIDATE,High-impact process-control body; no local permission literal in bounded method. Service reachability remains separately denied in saved shell capture.
4973,virtual_method,disablePipWindows ()V,0001 (PUBLIC),39941,39980,Requires com.amazon.permission.CONTROL_PIP_WINDOW permission; com.amazon.permission.CONTROL_PIP_WINDOW,"000a: invoke-virtual {v0, v1, v2}, Landroid/content/Context;.enforceCallingOrSelfPermission:(Ljava/lang/String;Ljava/lang/String;)V // method@0238","0002: invoke-static {v0}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$200:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Landroid/content/Context; // method@138b; 0013: invoke-static {v2}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$1000:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Ljava/util/Set; // method@1388; 0019: invoke-static {v3}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$900:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)I // method@1393; 0027: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 0034: invoke-virtual {v4}, Lcom/amazon/android/server/am/AmazonActivityManagerService$BinderService;.dismissPipWindow:()V // method@136f; 003a: invoke-static {v2, v3}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$1100:(Lcom/amazon/android/server/am/AmazonActivityManagerService;Z)V // method@1389",,,PIP_OR_MULTIWINDOW_CONTROL,Classified from bounded method body; absence of a call is limited to this disassembly scope.
4974,virtual_method,dismissMultiWindow ()V,0001 (PUBLIC),39981,39993,com.amazon.permission.DISMISS_MULTIWINDOW,"000a: invoke-virtual {v0, v1, v2}, Lamazon/internal/SystemJumpTable$ActivityManagerService;.enforceCallingPermission:(Ljava/lang/String;Ljava/lang/String;)V // method@0054","0002: invoke-static {v0}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$400:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Lamazon/internal/SystemJumpTable$ActivityManagerService; // method@138d; 000a: invoke-virtual {v0, v1, v2}, Lamazon/internal/SystemJumpTable$ActivityManagerService;.enforceCallingPermission:(Ljava/lang/String;Ljava/lang/String;)V // method@0054; 000d: invoke-virtual {v3}, Lcom/amazon/android/server/am/AmazonActivityManagerService$BinderService;.dismissPipWindow:()V // method@136f",,,PIP_OR_MULTIWINDOW_CONTROL,Classified from bounded method body; absence of a call is limited to this disassembly scope.
4975,virtual_method,dismissPipWindow ()V,0001 (PUBLIC),39994,40007,,,"0002: invoke-static {v0}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$000:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Lcom/android/server/am/ActivityManagerService; // method@1386; 000d: invoke-virtual {v0, v1}, Lcom/android/server/am/ActivityManagerService;.removeStacksInWindowingModes:([I)V // method@3474",,,PIP_OR_MULTIWINDOW_CONTROL,Classified from bounded method body; absence of a call is limited to this disassembly scope.
4976,virtual_method,dump (Ljava/io/FileDescriptor;Ljava/io/PrintWriter;[Ljava/lang/String;)V,0004 (PROTECTED),40008,40073,Permission Denial: can't dump AmazonActivityManagerService from frompid=; android.permission.DUMP,"0008: invoke-virtual {v0, v1}, Landroid/content/Context;.checkCallingOrSelfPermission:(Ljava/lang/String;)I // method@0233","0002: invoke-static {v0}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$200:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Landroid/content/Context; // method@138b; 003f: invoke-static {v0}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$900:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)I // method@1393; 0057: invoke-static {v2}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$1000:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Ljava/util/Set; // method@1388; 0079: invoke-static {v2}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$1000:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Ljava/util/Set; // method@1388",,,DIAGNOSTIC_DUMP_PERMISSION_GATED,Classified from bounded method body; absence of a call is limited to this disassembly scope.
4977,virtual_method,enablePipWindows ()V,0001 (PUBLIC),40074,40112,Requires com.amazon.permission.CONTROL_PIP_WINDOW permission; com.amazon.permission.CONTROL_PIP_WINDOW,"000a: invoke-virtual {v0, v1, v2}, Landroid/content/Context;.enforceCallingOrSelfPermission:(Ljava/lang/String;Ljava/lang/String;)V // method@0238","0002: invoke-static {v0}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$200:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Landroid/content/Context; // method@138b; 0013: invoke-static {v2}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$1000:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Ljava/util/Set; // method@1388; 0019: invoke-static {v3}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$900:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)I // method@1393; 0027: invoke-static {}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$100:()Ljava/lang/String; // method@1387; 0037: invoke-static {v2, v3}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$1100:(Lcom/amazon/android/server/am/AmazonActivityManagerService;Z)V // method@1389",,,PIP_OR_MULTIWINDOW_CONTROL,Classified from bounded method body; absence of a call is limited to this disassembly scope.
4978,virtual_method,getCpuLoad ()F,0001 (PUBLIC),40113,40133,,,"0002: invoke-static {v0}, Lcom/amazon/android/server/am/AmazonActivityManagerService;.access$400:(Lcom/amazon/android/server/am/AmazonActivityManagerService;)Lamazon/internal/SystemJumpTable$ActivityManagerService; // method@138d; 0006: invoke-virtual {v0}, Lamazon/internal/SystemJumpTable$ActivityManagerService;.getProcessCpuTracker:()Lcom/android/internal/os/ProcessCpuTracker; // method@005b; 000b: invoke-virtual {v0}, Lcom/android/internal/os/ProcessCpuTracker;.getTotalCpuPercent:()F // method@32cf",,,DIAGNOSTIC_QUERY,Classified from bounded method body; absence of a call is limited to this disassembly scope.
