service_class,method_number,kind,signature,access,line_start,line_end,permissions,package_literals,state_calls,dpm_calls,ota_calls,identity_calls,classification,risk_boundary,device_tested
AmazonUserManagerService,5635,direct_method,<clinit> ()V,access=10008 (STATIC CONSTRUCTOR),54704,54737,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5636,direct_method,<init> (Landroid/content/Context;)V,access=10001 (PUBLIC CONSTRUCTOR),54738,54755,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5637,direct_method,access$000 (Lcom/amazon/android/server/pm/AmazonUserManagerService;)Landroid/os/UserManager;,access=1008 (STATIC SYNTHETIC),54756,54761,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5638,direct_method,access$100 (Lcom/amazon/android/server/pm/AmazonUserManagerService;)Landroid/app/StatusBarManager;,access=1008 (STATIC SYNTHETIC),54762,54767,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5639,direct_method,access$1000 (Lcom/amazon/android/server/pm/AmazonUserManagerService;)Lamazon/content/pm/AmazonPackageManager;,access=1008 (STATIC SYNTHETIC),54768,54773,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5640,direct_method,access$1100 (Lcom/amazon/android/server/pm/AmazonUserManagerService;)Landroid/app/admin/IDevicePolicyManager;,access=1008 (STATIC SYNTHETIC),54774,54779,,,,"0000: iget-object v0, v1, Lcom/amazon/android/server/pm/AmazonUserManagerService;.mDpm:Landroid/app/admin/IDevicePolicyManager; // field@099f; direct_method #5640: access$1100 (Lcom/amazon/android/server/pm/AmazonUserManagerService;)Landroid/app/admin/IDevicePolicyManager;",,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5641,direct_method,access$1200 (Lcom/amazon/android/server/pm/AmazonUserManagerService;)Landroid/content/Context;,access=1008 (STATIC SYNTHETIC),54780,54785,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5642,direct_method,access$200 ()Ljava/util/List;,access=1008 (STATIC SYNTHETIC),54786,54791,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5643,direct_method,access$202 (Ljava/util/List;)Ljava/util/List;,access=1008 (STATIC SYNTHETIC),54792,54797,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5644,direct_method,access$300 (Lcom/amazon/android/server/pm/AmazonUserManagerService;)Ljava/util/List;,access=1008 (STATIC SYNTHETIC),54798,54804,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5645,direct_method,access$400 (Lcom/amazon/android/server/pm/AmazonUserManagerService;Ljava/lang/String;)V,access=1008 (STATIC SYNTHETIC),54805,54810,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5646,direct_method,access$500 ()Ljava/util/concurrent/locks/Lock;,access=1008 (STATIC SYNTHETIC),54811,54816,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5647,direct_method,access$600 ()Ljava/lang/String;,access=1008 (STATIC SYNTHETIC),54817,54822,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5648,direct_method,access$700 (Lcom/amazon/android/server/pm/AmazonUserManagerService;)Ljava/io/File;,access=1008 (STATIC SYNTHETIC),54823,54828,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5649,direct_method,access$800 (Lcom/amazon/android/server/pm/AmazonUserManagerService;)V,access=1008 (STATIC SYNTHETIC),54829,54834,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5650,direct_method,access$900 (Lcom/amazon/android/server/pm/AmazonUserManagerService;)I,access=1008 (STATIC SYNTHETIC),54835,54840,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5651,direct_method,access$902 (Lcom/amazon/android/server/pm/AmazonUserManagerService;I)I,access=1008 (STATIC SYNTHETIC),54841,54846,,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
AmazonUserManagerService,5652,direct_method,checkManageUsersPermission (Ljava/lang/String;)V,access=0012 (PRIVATE FINAL),54847,54875,You need MANAGE_USERS permission to: ; android.permission.MANAGE_USERS,,,,,,OTHER_METHOD,Bounded method classification only; no live invocation.,NO
