group,path,exists,size,sha256
archives,firmware/original/Fire_HD10-7.3.3.1-20250617.tar.bz2,True,2563328975,02ffafddb97999ebcc4419dda28cab9ea6ddacf7123b1301a073a3809c762aea
archives,firmware/original/Fire_HD10-7.3.3.0-20240730.tar.bz2,True,2588816416,569eca7321910b095f7af8905592f92e47610d302e6930fd27a6a5dee9593665
archives,firmware/extracted/PS7331-SOURCE-20250617/platform.tar,True,1617756160,69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd
archives,firmware/extracted/PS7331-SOURCE-20250617/fireos.tar,True,688250880,bb7030296545dd45edcfec47d3e742043e7813852844f4b0fbbe8d223899b369
source_paths,platform/kernel/mediatek/mt8183/4.4/arch/arm64/configs/trona_defconfig,True,14743,09ca8dfc3b3b5e139482e3dd9976dae79547077fb750a4cbc778814f85ecaaac
source_paths,platform/kernel/mediatek/mt8183/4.4/arch/arm64/boot/dts/mediatek/trona_evt.dts,True,39265,19588549c3afb03b5c459f11f99b2d924c510103b3ff206040beb65e353cb957
source_paths,platform/system/core/init/selinux.cpp,False,,
amazon_driver_paths,platform/device/amazon/kernel/driver/amzn_idme.c,True,8101,ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e
amazon_driver_paths,platform/device/amazon/kernel/driver/amzn_logger.c,True,21955,9293b2f75e8e7760f961d5849b3fe3e666e8e2df0b2906b6fcdf4b2190d7afbd
amazon_driver_paths,platform/device/amazon/kernel/driver/amzn_keycombo.c,True,9422,09e19712f177e0740a96964f420f74adda3412442b65d6df5cec8187e38e6071
