package,header_line,user_id,code_path,pkg_flags,private_flags,signatures,user_states,permission,classification,interpretation
com.amazon.alta.h2clientservice,20769,10012,/system/priv-app/com.amazon.h2clientservice,[ SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ],[ PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED ],"PackageSignatures{41558e0 version:1, signatures:[e627f73a], past signatures:[]}",User 0: ceDataInode=852185 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=0 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,system_or_privileged_holder,holder fact only; protected-package gate and caller contract remain separate
com.android.vending,21397,10180,/data/app/com.android.vending-InxWV-Nv8Fy8x5lSfSr0mQ==,[ HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP RESTORE_ANY_VERSION ],[ PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION HAS_DOMAIN_URLS PARTIALLY_DIRECT_BOOT_AWARE ],"PackageSignatures{f5a081f version:3, signatures:[e3ca78d8], past signatures:[]}",User 0: ceDataInode=877017 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=0 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,data_app_grant_needs_provenance_review,holder fact only; protected-package gate and caller contract remain separate
com.amazon.tahoe,23704,10128,/system/priv-app/com.amazon.tahoe,[ SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA LARGE_HEAP ],[ PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_UNRESIZEABLE HAS_DOMAIN_URLS PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED ],"PackageSignatures{e9897d5 version:1, signatures:[e627f73a], past signatures:[]}",User 0: ceDataInode=852295 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=3 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,system_or_privileged_holder,holder fact only; protected-package gate and caller contract remain separate
com.amazon.alexa.multimodal.gemini,24201,10044,/system/priv-app/com.amazon.alexa.multimodal.gemini,[ SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA LARGE_HEAP ],[ PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_UNRESIZEABLE DIRECT_BOOT_AWARE PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED ],"PackageSignatures{5aea4a8 version:1, signatures:[e627f73a], past signatures:[]}",User 0: ceDataInode=852310 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=2 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,system_or_privileged_holder,holder fact only; protected-package gate and caller contract remain separate
com.android.musicfx,25689,10088,/system/priv-app/MusicFX,[ SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ],[ PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED ],"PackageSignatures{5908414 version:3, signatures:[7d5711a7], past signatures:[]}",User 0: ceDataInode=852374 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=0 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,system_or_privileged_holder,holder fact only; protected-package gate and caller contract remain separate
com.android.managedprovisioning,27168,10091,/system/priv-app/ManagedProvisioning,[ SYSTEM HAS_CODE ALLOW_BACKUP ],[ PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED ],"PackageSignatures{3617370 version:3, signatures:[abe86ff5], past signatures:[]}",User 0: ceDataInode=852425 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=0 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,system_or_privileged_holder,holder fact only; protected-package gate and caller contract remain separate
com.amazon.kor.demo,27632,10094,/system/priv-app/com.amazon.kor.demo,[ SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP ],[ PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED ],"PackageSignatures{377fb64 version:1, signatures:[e627f73a], past signatures:[]}",User 0: ceDataInode=852449 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=0 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,system_or_privileged_holder,holder fact only; protected-package gate and caller contract remain separate
com.amazon.comms.kids,28212,10055,/system/priv-app/com.amazon.comms.kids,[ SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ],[ PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED ],"PackageSignatures{95b41e2 version:1, signatures:[e627f73a], past signatures:[]}",User 0: ceDataInode=852479 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=0 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,system_or_privileged_holder,holder fact only; protected-package gate and caller contract remain separate
com.amazon.kindle.unifiedSearch,28329,10026,/system/priv-app/com.amazon.kindle.unifiedSearch,[ SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP ],[ PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION HAS_DOMAIN_URLS PRIVILEGED ],"PackageSignatures{4f01030 version:1, signatures:[e627f73a], past signatures:[]}",User 0: ceDataInode=852483 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=0 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,system_or_privileged_holder,holder fact only; protected-package gate and caller contract remain separate
com.amazon.adep,30529,10132,/system/priv-app/com.amazon.adep,[ SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ],[ PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED ],"PackageSignatures{c842881 version:1, signatures:[e627f73a], past signatures:[]}",User 0: ceDataInode=860230 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=0 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,system_or_privileged_holder,holder fact only; protected-package gate and caller contract remain separate
com.amazon.cloud9.kids,31118,10049,/system/priv-app/com.amazon.cloud9.kids,[ SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA VM_SAFE_MODE ],[ PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED ],"PackageSignatures{e25236b version:1, signatures:[e627f73a], past signatures:[]}",User 0: ceDataInode=860262 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=0 instant=false virtual=false,android.permission.CHANGE_COMPONENT_ENABLED_STATE,system_or_privileged_holder,holder fact only; protected-package gate and caller contract remain separate
