package,code_path,source_class,user_id,shared_user,system_app,privileged,flags,private_flags,granted_permissions,fire_literal_in_dump_block,home_literal_in_dump_block
com.amazon.speakscreen,/system/priv-app/com.amazon.speakscreen,system-priv-app,10174,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.photos,/system/priv-app/com.amazon.photos,system-priv-app,10113,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.MANAGE_USERS,false,false
com.amazon.kindle.otter.oobe.forced.ota,/system/priv-app/com.amazon.kindle.otter.oobe.forced.ota,system-priv-app,10097,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.venezia,/system/priv-app/com.amazon.venezia,system-priv-app,10076,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP KILL_AFTER_RESTORE LARGE_HEAP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION HAS_DOMAIN_URLS PRIVILEGED,android.permission.DELETE_PACKAGES;android.permission.INSTALL_PACKAGES;android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,true,false
com.amazon.dpcclient,/system/priv-app/com.amazon.dpcclient,system-priv-app,10118,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.firelauncher,/system/priv-app/com.amazon.firelauncher,system-priv-app,10120,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP KILL_AFTER_RESTORE,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,true,false
com.amazon.alta.h2clientservice,/system/priv-app/com.amazon.h2clientservice,system-priv-app,10012,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE;android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.advertisingidsettings,/system/priv-app/AdvertisingIdSettings,system-priv-app,10029,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.dp.fbcontacts,/system/priv-app/com.amazon.dp.fbcontacts,system-priv-app,10006,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.h2settingsfortablet,/system/priv-app/com.amazon.h2settingsfortablet,system-priv-app,10130,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
