caller_label,caller,instruction,target_address,callee,callee_resolved,classification,callee_is_symbolized
main,main,400c78,0x4227a8,_Z15ExtractToMemoryPvP8ZipEntryPhj,_Z15ExtractToMemoryPvP8ZipEntryPhj,zip-extraction,true
main,main,400cac,0x406978,_Z24RegisterInstallFunctionsv,_Z24RegisterInstallFunctionsv,handler-registration,true
main,main,400cb0,0x40d0a8,_Z27RegisterBlockImageFunctionsv,_Z27RegisterBlockImageFunctionsv,handler-registration,true
PackageExtractFileFn,_Z20PackageExtractFileFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,4021b4,0x426338,_Z8ota_openPKcij,_Z8ota_openPKcij,open-wrapper,true
PackageExtractFileFn,_Z20PackageExtractFileFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,4022cc,0x4227a8,_Z15ExtractToMemoryPvP8ZipEntryPhj,_Z15ExtractToMemoryPvP8ZipEntryPhj,zip-extraction,true
PackageExtractFileFn,_Z20PackageExtractFileFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,40238c,0x422810,_Z18ExtractEntryToFilePvP8ZipEntryi,_Z18ExtractEntryToFilePvP8ZipEntryi,zip-extraction,true
WipeBlockDeviceFn,_Z17WipeBlockDeviceFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,4066d4,0x426338,_Z8ota_openPKcij,_Z8ota_openPKcij,open-wrapper,true
PerformBlockImageUpdate,_ZL23PerformBlockImageUpdatePKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEEPK7Commandmb,409340,0x426210,_Z8ota_openPKci,_Z8ota_openPKci,open-wrapper,true
PerformBlockImageUpdate,_ZL23PerformBlockImageUpdatePKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEEPK7Commandmb,409bdc,0x4c8e90,chown,chown,metadata-mutation,true
PerformBlockImageUpdate,_ZL23PerformBlockImageUpdatePKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEEPK7Commandmb,409d48,0x4cc260,__open_2,__open_2,open-sink,true
PerformBlockImageUpdate,_ZL23PerformBlockImageUpdatePKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEEPK7Commandmb,40a2e0,0x4cc170,open,open64,open-sink,true
PerformBlockImageUpdate,_ZL23PerformBlockImageUpdatePKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEEPK7Commandmb,40a344,0x4c8e90,chown,chown,metadata-mutation,true
PerformBlockImageUpdate,_ZL23PerformBlockImageUpdatePKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEEPK7Commandmb,40a378,0x4cc400,rename,rename,rename-sink,true
PerformBlockImageUpdate,_ZL23PerformBlockImageUpdatePKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEEPK7Commandmb,40a3a8,0x426210,_Z8ota_openPKci,_Z8ota_openPKci,open-wrapper,true
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,413dcc,0x426210,_Z8ota_openPKci,_Z8ota_openPKci,open-wrapper,true
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,413e3c,0x426d58,_Z9ota_writeiPKvm,_Z9ota_writeiPKvm,write-wrapper,true
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,413e98,0x426210,_Z8ota_openPKci,_Z8ota_openPKci,open-wrapper,true
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,413ecc,0x426210,_Z8ota_openPKci,_Z8ota_openPKci,open-wrapper,true
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,413edc,0x426d58,_Z9ota_writeiPKvm,_Z9ota_writeiPKvm,write-wrapper,true
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,413f08,0x426d58,_Z9ota_writeiPKvm,_Z9ota_writeiPKvm,write-wrapper,true
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,414164,0x426210,_Z8ota_openPKci,_Z8ota_openPKci,open-wrapper,true
ota_open,_Z8ota_openPKcij,426354,0x4cc170,open,open64,open-sink,true
ota_write,_Z9ota_writeiPKvm,426e44,0x4d4a10,write,write,write-sink,true
