source_scope,source_path,source_sha256,kconfig,registration_or_fops,user_copy,local_gate,control_channel,secure_or_trusted_marker,uevent_or_netlink_marker,framework_sink,launcher_sink,runtime_reachability,evidence_class,representative_locations
drivers/misc/mediatek,drivers/misc/mediatek/accdet/accdet_drv.c,f1ef258560f9c076bcb1f28cd807d3d496b569151a719f608c348f93f0a4579e,drivers/misc/mediatek/accdet/Kconfig,"ioctl_entry,device_registration",0,not-observed,ioctl-or-user-copy,no,no,none-observed,none-observed,not-derived-from-source,source-surface-only,ioctl_entry:51:<file-scope>; device_registration:143:<file-scope>
drivers/misc/mediatek,drivers/misc/mediatek/accdet/mt8183/accdet.c,ceb891f3747fb6b2d61a6c15073fd74392069a70ccc4d2ee31c0fdceeba2c6a1,drivers/misc/mediatek/accdet/Kconfig,device_registration,0,not-observed,proc-sysfs-device-registration,no,no,none-observed,none-observed,not-derived-from-source,source-surface-only,property_or_boot_state:2164:<file-scope>; property_or_boot_state:2166:<file-scope>; device_registration:2691:<file-scope>; device_registration:2698:<file-scope>; device_registration:2703:<file-scope>; device_registration:2705:<file-scope>; property_or_boot_state:2815:<file-scope>
drivers/misc/mediatek,drivers/misc/mediatek/accdet/mt8183/accdet.h,5115421117b40ebf4843dfa98572f9e3e1d5dcc01a35c4a05c70f764bbad2078,drivers/misc/mediatek/accdet/Kconfig,ioctl_entry,0,not-observed,ioctl-or-user-copy,no,no,none-observed,none-observed,not-derived-from-source,source-surface-only,ioctl_entry:54:<file-scope>; ioctl_entry:55:<file-scope>; ioctl_entry:56:<file-scope>
drivers/misc/mediatek,drivers/misc/mediatek/accdet/mt8183/reg_accdet.h,7be96a7e5064d64f6b51c2ad21fd3ae4f989f6950f0f0415b4f0ab0036aef873,drivers/misc/mediatek/accdet/Kconfig,,0,not-observed,support-code,no,no,none-observed,none-observed,not-derived-from-source,support-code-only,
drivers/misc/mediatek,drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,drivers/misc/mediatek/aee/Kconfig,"ioctl_entry,proc_sysfs_debugfs_registration,device_registration",11,not-observed,secure-world-marker,yes,no,none-observed,none-observed,not-derived-from-source,source-surface-only,user_copy:288:<file-scope>; user_copy:1048:<file-scope>; user_copy:1265:<file-scope>; user_copy:1348:<file-scope>; user_copy:1367:<file-scope>; user_copy:1394:<file-scope>; user_copy:1448:<file-scope>; ioctl_entry:1466:<file-scope>; ioctl_entry:1508:<file-scope>; ioctl_entry:1534:<file-scope>; user_copy:1536:<file-scope>; ioctl_entry:1573:<file-scope>
drivers/misc/mediatek,drivers/misc/mediatek/aee/aed/aed.h,5df26d9b4cc6c9d15189e1e13f37f9e26bb2709f8a52f936aacf20a470f9a313,drivers/misc/mediatek/aee/Kconfig,"ioctl_entry,proc_sysfs_debugfs_registration",0,not-observed,ioctl-or-user-copy,no,no,none-observed,none-observed,not-derived-from-source,source-surface-only,ioctl_entry:163:<file-scope>; ioctl_entry:164:<file-scope>; ioctl_entry:165:<file-scope>; ioctl_entry:166:<file-scope>; ioctl_entry:167:<file-scope>; ioctl_entry:168:<file-scope>; ioctl_entry:169:<file-scope>; ioctl_entry:170:<file-scope>; ioctl_entry:171:<file-scope>; ioctl_entry:173:<file-scope>; ioctl_entry:175:<file-scope>; ioctl_entry:176:<file-scope>
drivers/misc/mediatek,drivers/misc/mediatek/aee/aed/monitor_hang.c,a60c77e77819c5e5cca411560c30404f0c269abbdb64767e6aad0836ea01dc5b,drivers/misc/mediatek/aee/Kconfig,"ioctl_entry,proc_sysfs_debugfs_registration,device_registration",3,observed,ioctl-or-user-copy,no,no,none-observed,none-observed,not-derived-from-source,source-surface-only,user_copy:145:<file-scope>; ioctl_entry:249:<file-scope>; user_copy:264:<file-scope>; user_copy:268:<file-scope>; local_gate:277:<file-scope>; ioctl_entry:314:<file-scope>; ioctl_entry:316:<file-scope>; device_registration:344:<file-scope>; proc_sysfs_debugfs_registration:353:<file-scope>; ioctl_entry:1724:<file-scope>
drivers/misc/mediatek,drivers/misc/mediatek/aee/common/aee-common.c,2559715488f8386ac077d01435f863a734f127415c88ba1eabe3f6cf98dbfd68,drivers/misc/mediatek/aee/Kconfig,,0,not-observed,support-code,no,no,none-observed,none-observed,not-derived-from-source,support-code-only,
drivers/misc/mediatek,drivers/misc/mediatek/aee/common/aee-common.h,73d22c95ac912743f44df3faa2f8cb839e2ac5c95a09840a7c94e521bf433efc,drivers/misc/mediatek/aee/Kconfig,,0,not-observed,support-code,no,no,none-observed,none-observed,not-derived-from-source,support-code-only,
drivers/misc/mediatek,drivers/misc/mediatek/aee/common/dummy.c,21cd09ed2d5b4296006287d12e009acf0bfd203322fe3d809b816ba046f04063,drivers/misc/mediatek/aee/Kconfig,,0,not-observed,support-code,no,no,none-observed,none-observed,not-derived-from-source,support-code-only,
drivers/misc/mediatek,drivers/misc/mediatek/aee/common/reboot-reason.c,7058f98f09aa5a077351b78f5f84a72dc48e6dd5235d111bed0e7cdf8a906635,drivers/misc/mediatek/aee/Kconfig,proc_sysfs_debugfs_registration,0,not-observed,proc-sysfs-device-registration,no,no,none-observed,none-observed,not-derived-from-source,source-surface-only,property_or_boot_state:16:<file-scope>; proc_sysfs_debugfs_registration:87:<file-scope>; property_or_boot_state:108:<file-scope>; proc_sysfs_debugfs_registration:155:<file-scope>; property_or_boot_state:167:<file-scope>
drivers/misc/mediatek,drivers/misc/mediatek/aee/common/wdt-atf.c,1484dd882cab0110777975c66b355739cd48279d2812dd73840e1dbcbd951b11,drivers/misc/mediatek/aee/Kconfig,,0,not-observed,secure-world-marker,yes,no,none-observed,none-observed,not-derived-from-source,support-code-only,secure_world:696:<file-scope>; secure_world:700:<file-scope>; secure_world:704:<file-scope>
drivers/misc/mediatek,drivers/misc/mediatek/aee/ipanic/ipanic.h,080225cd2621c6e648fe9157d25970780a4b9ca5af0869221c41b5367df48d90,drivers/misc/mediatek/aee/Kconfig,,0,not-observed,support-code,no,no,none-observed,none-observed,not-derived-from-source,support-code-only,
drivers/misc/mediatek,drivers/misc/mediatek/aee/ipanic/ipanic_rom.c,bcb1a95939683502b6db74b55093372e0d240c6c9c45e4a4ec2debe60072f400,drivers/misc/mediatek/aee/Kconfig,,0,not-observed,support-code,no,no,none-observed,none-observed,not-derived-from-source,support-code-only,
