command_name,command_name_confidence,evidence_disassembly,function_pointer_cell,function_pointer_resolution,function_pointer_symbol,function_pointer_value,name_length_encoding,name_raw_hex,name_source_addresses,register_call_instruction,registration_index
mount,strong,RegisterInstallFunctions:0x4069cc,0x5af5a8,symbol,_Z7MountFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x403268,10,6d6f756e74,,0x4069cc,1
is_mounted,strong,RegisterInstallFunctions:0x406a18,0x5af5b0,symbol,_Z11IsMountedFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x4035c8,20,69735f6d6f756e746564,0x51fae3,0x406a18,2
unmount,strong,RegisterInstallFunctions:0x406a5c,0x5af5b8,symbol,_Z9UnmountFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x403758,14,756e6d6f756e74,,0x406a5c,3
format,strong,RegisterInstallFunctions:0x406aa0,0x5af5c0,symbol,_Z8FormatFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x403948,12,666f726d6174,,0x406aa0,4
show_progress,strong,RegisterInstallFunctions:0x406aec,0x5af5c8,symbol,_Z14ShowProgressFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x404450,26,73686f775f70726f6772657373,"0x51fafd,0x51fb02",0x406aec,5
set_progress,strong,RegisterInstallFunctions:0x406b3c,0x5af5d0,symbol,_Z13SetProgressFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x4046f8,24,7365745f70726f6772657373,0x51fb0b,0x406b3c,6
package_extract_file,strong,RegisterInstallFunctions:0x406b8c,0x5af5d8,symbol,_Z20PackageExtractFileFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x401fb8,40,7061636b6167655f657874726163745f66696c65,0x51fb18,0x406b8c,7
getprop,strong,RegisterInstallFunctions:0x406bd0,0x5af5e0,symbol,_Z9GetPropFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x4048d8,14,67657470726f70,,0x406bd0,8
file_getprop,strong,RegisterInstallFunctions:0x406c20,0x5af5e8,symbol,_Z13FileGetPropFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x4049d8,24,66696c655f67657470726f70,0x51fb35,0x406c20,9
apply_patch,strong,RegisterInstallFunctions:0x406c6c,0x5af5f0,symbol,_Z12ApplyPatchFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x402788,22,6170706c795f7061746368,0x51fb42,0x406c6c,10
apply_patch_check,strong,RegisterInstallFunctions:0x406cb4,0x5af5f8,symbol,_Z17ApplyPatchCheckFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x402c78,34,6170706c795f70617463685f636865636b,0x51fb4e,0x406cb4,11
apply_patch_space,strong,RegisterInstallFunctions:0x406cf8,0x5af600,symbol,_Z17ApplyPatchSpaceFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x404fe0,34,6170706c795f70617463685f7370616365,0x51fb60,0x406cf8,12
wipe_block_device,strong,RegisterInstallFunctions:0x406d38,0x5af608,symbol,_Z17WipeBlockDeviceFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x406508,34,776970655f626c6f636b5f646576696365,0x51fb72,0x406d38,13
