interface,proxy_method,method,descriptor,transaction_code,proxy_line,transaction_line,published_service,implementation_method,implementation_range,permission_check,identity_handling,user_package_argument,sink,home_relevance,caller_evidence,classification
IAmazonInputManager,createKeyboardDevice,createKeyboardDevice,()Z,7,388907,388922,amazon_input,AmazonInputManagerService.BinderService.createKeyboardDevice,19215-19247,none observed in BinderService method block,Binder.getCallingPid; Binder.getCallingUid,Binder caller PID/UID observed,nativeCreateKeyboardDevice,not HOME; no resolver/preferred/component writer in method block,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,createMouseDevice,createMouseDevice,()Z,5,388945,388960,amazon_input,AmazonInputManagerService.BinderService.createMouseDevice,19248-19280,none observed in BinderService method block,Binder.getCallingPid; Binder.getCallingUid,Binder caller PID/UID observed,nativeCreateMouseDevice,not HOME; no resolver/preferred/component writer in method block,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,destroyKeyboardDevice,destroyKeyboardDevice,()Z,8,388983,388998,amazon_input,AmazonInputManagerService.BinderService.destroyKeyboardDevice,19281-19309,none observed in BinderService method block,Binder.getCallingPid; Binder.getCallingUid,Binder caller PID/UID observed,nativeDispose,not HOME; no resolver/preferred/component writer in method block,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,destroyMouseDevice,destroyMouseDevice,()Z,6,389021,389036,amazon_input,AmazonInputManagerService.BinderService.destroyMouseDevice,19310-19338,none observed in BinderService method block,Binder.getCallingPid; Binder.getCallingUid,Binder caller PID/UID observed,nativeDispose,not HOME; no resolver/preferred/component writer in method block,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,dispatchKeyEventListenerCallbacks,dispatchKeyEventListenerCallbacks,(Landroid/view/InputEvent;)V,20,389059,389083,amazon_input,AmazonInputManagerService.BinderService.dispatchKeyEventListenerCallbacks,19339-19467,none observed in BinderService method block,no caller-identity marker observed,no explicit user/package argument observed,RemoteCallbackList; KeyEventCallback; IKeyEventCallback,indirect key/callback path; no HOME resolver/component writer,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,endVolumeAdjustment,endVolumeAdjustment,()V,4,389099,389114,amazon_input,AmazonInputManagerService.BinderService.endVolumeAdjustment,19468-19482,none observed in BinderService method block,no caller-identity marker observed,no explicit user/package argument observed,return/state-only or sink unresolved in method block,not HOME; volume/audio path,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,getLastKeyEventTime,getLastKeyEventTime,()J,21,389136,389151,amazon_input,AmazonInputManagerService.BinderService.getLastKeyEventTime,19483-19490,none observed in BinderService method block,no caller-identity marker observed,no explicit user/package argument observed,return/state-only or sink unresolved in method block,indirect key/callback path; no HOME resolver/component writer,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,getToggleBitRegister,getToggleBitRegister,()B,23,389170,389185,amazon_input,AmazonInputManagerService.BinderService.getToggleBitRegister,19491-19507,com.amazon.permission.ACCESS_EVENT_REGISTER; Missing permission to access event register!,no caller-identity marker observed,no explicit user/package argument observed,return/state-only or sink unresolved in method block,not HOME; no resolver/preferred/component writer in method block,proxy method + published Binder endpoint; runtime caller not established,Confirmed: explicit Amazon permission check
IAmazonInputManager,inject,inject,(IIII)I,1,389204,389227,amazon_input,AmazonInputManagerService.BinderService.inject,19508-19629,none observed in BinderService method block; separate checkInjectEventsPermission helper exists; no callsite in bounded method block,Binder.getCallingPid; Binder.getCallingUid,Binder caller PID/UID observed,nativeInject,"indirect input injection; could carry a key code if authorized, but no HOME resolver/component writer",proxy method + published Binder endpoint; runtime caller not established,Strong evidence: Java Binder block has caller pid/uid and native sink; direct permission/native enforcement unresolved
IAmazonInputManager,injectSequence,injectSequence,(I[I[I[I[J)I,2,389246,389271,amazon_input,AmazonInputManagerService.BinderService.injectSequence,19630-19714,none observed in BinderService method block; separate checkInjectEventsPermission helper exists; no callsite in bounded method block,Binder.getCallingPid; Binder.getCallingUid,Binder caller PID/UID observed,nativeInjectSequence; nativeInject,"indirect input injection; could carry a key code if authorized, but no HOME resolver/component writer",proxy method + published Binder endpoint; runtime caller not established,Strong evidence: Java Binder block has caller pid/uid and native sink; direct permission/native enforcement unresolved
IAmazonInputManager,postInputEventCallback,postInputEventCallback,(Landroid/view/InputEvent;)V,19,389290,389314,amazon_input,AmazonInputManagerService.BinderService.postInputEventCallback,19715-19776,none observed in BinderService method block,no caller-identity marker observed,no explicit user/package argument observed,return/state-only or sink unresolved in method block,not HOME; no resolver/preferred/component writer in method block,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,registerKeyEventIdleTimeListener,registerKeyEventIdleTimeListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventIdleCallback;J[I)V,17,389330,389356,amazon_input,AmazonInputManagerService.BinderService.registerKeyEventIdleTimeListener,19777-19828,com.amazon.permission.GET_KEYEVENTS; Requires GET_KEYEVENTS permission,no caller-identity marker observed,no explicit user/package argument observed,RemoteCallbackList; IKeyEventIdleCallback,indirect key/callback path; no HOME resolver/component writer,proxy method + published Binder endpoint; runtime caller not established,Confirmed: explicit Amazon permission check
IAmazonInputManager,registerKeyEventInterceptor,registerKeyEventInterceptor,(Lcom/amazon/android/internal/hardware/input/IKeyEventCallback;[IZZ)Z,25,389372,389400,amazon_input,AmazonInputManagerService.BinderService.registerKeyEventInterceptor,19829-19999,com.amazon.permission.GET_KEYEVENTS; Requires GET_KEYEVENTS permission,Binder.getCallingUid,Binder caller PID/UID observed,KeyEventCallback; IKeyEventCallback,indirect key/callback path; no HOME resolver/component writer,proxy method + published Binder endpoint; runtime caller not established,Confirmed: explicit Amazon permission check
IAmazonInputManager,registerKeyEventListListener,registerKeyEventListListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventCallback;[I)V,13,389423,389447,amazon_input,AmazonInputManagerService.BinderService.registerKeyEventListListener,20000-20047,com.amazon.permission.GET_KEYEVENTS; Requires GET_KEYEVENTS permission,no caller-identity marker observed,no explicit user/package argument observed,KeyEventCallback; IKeyEventCallback,indirect key/callback path; no HOME resolver/component writer,proxy method + published Binder endpoint; runtime caller not established,Confirmed: explicit Amazon permission check
IAmazonInputManager,registerKeyEventListener,registerKeyEventListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventCallback;)V,11,389463,389485,amazon_input,AmazonInputManagerService.BinderService.registerKeyEventListener,20048-20076,com.amazon.permission.GET_KEYEVENTS; Requires GET_KEYEVENTS permission,no caller-identity marker observed,no explicit user/package argument observed,RemoteCallbackList; KeyEventCallback; IKeyEventCallback,indirect key/callback path; no HOME resolver/component writer,proxy method + published Binder endpoint; runtime caller not established,Confirmed: explicit Amazon permission check
IAmazonInputManager,registerNextKeyEventListener,registerNextKeyEventListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventNextCallback;)V,15,389501,389523,amazon_input,AmazonInputManagerService.BinderService.registerNextKeyEventListener,20077-20111,com.amazon.permission.GET_KEYEVENTS; Requires GET_KEYEVENTS permission,no caller-identity marker observed,no explicit user/package argument observed,RemoteCallbackList; IKeyEventNextCallback,indirect key/callback path; no HOME resolver/component writer,proxy method + published Binder endpoint; runtime caller not established,Confirmed: explicit Amazon permission check
IAmazonInputManager,setInputFilter,setInputFilter,(Landroid/view/IInputFilter;)V,9,389539,389558,amazon_input,AmazonInputManagerService.BinderService.setInputFilter,20112-20122,none observed in BinderService method block,no caller-identity marker observed,no explicit user/package argument observed,setInputFilter,indirect key/callback path; no HOME resolver/component writer,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,setLedState,setLedState,(IIZ)V,10,389569,389590,amazon_input,AmazonInputManagerService.BinderService.setLedState,20123-20129,none observed in BinderService method block,no caller-identity marker observed,no explicit user/package argument observed,return/state-only or sink unresolved in method block,not HOME; no resolver/preferred/component writer in method block,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,setToggleBitButtonMap,setToggleBitButtonMap,(Lcom/amazon/android/internal/hardware/input/ToggleBitButtonMap;)V,24,389606,389629,amazon_input,AmazonInputManagerService.BinderService.setToggleBitButtonMap,20130-20156,com.amazon.permission.ACCESS_EVENT_REGISTER; Missing permission to access event register!,no caller-identity marker observed,no explicit user/package argument observed,return/state-only or sink unresolved in method block,not HOME; no resolver/preferred/component writer in method block,proxy method + published Binder endpoint; runtime caller not established,Confirmed: explicit Amazon permission check
IAmazonInputManager,setToggleBitRegister,setToggleBitRegister,(B)Z,22,389639,389656,amazon_input,AmazonInputManagerService.BinderService.setToggleBitRegister,20157-20173,com.amazon.permission.ACCESS_EVENT_REGISTER; Missing permission to access event register!,no caller-identity marker observed,no explicit user/package argument observed,return/state-only or sink unresolved in method block,not HOME; no resolver/preferred/component writer in method block,proxy method + published Binder endpoint; runtime caller not established,Confirmed: explicit Amazon permission check
IAmazonInputManager,startVolumeAdjustment,startVolumeAdjustment,(II)V,3,389679,389698,amazon_input,AmazonInputManagerService.BinderService.startVolumeAdjustment,20174-20256,none observed in BinderService method block,no caller-identity marker observed,no explicit user/package argument observed,return/state-only or sink unresolved in method block,not HOME; volume/audio path,proxy method + published Binder endpoint; runtime caller not established,Confirmed static method mapping; no direct permission marker in this bounded block
IAmazonInputManager,unRegisterKeyEventIdleTimeListener,unRegisterKeyEventIdleTimeListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventIdleCallback;)V,18,389714,389736,amazon_input,AmazonInputManagerService.BinderService.unRegisterKeyEventIdleTimeListener,20257-20294,com.amazon.permission.GET_KEYEVENTS; Requires GET_KEYEVENTS permission,no caller-identity marker observed,no explicit user/package argument observed,RemoteCallbackList; IKeyEventIdleCallback,indirect key/callback path; no HOME resolver/component writer,proxy method + published Binder endpoint; runtime caller not established,Confirmed: explicit Amazon permission check
IAmazonInputManager,unRegisterKeyEventInterceptor,unRegisterKeyEventInterceptor,(Lcom/amazon/android/internal/hardware/input/IKeyEventCallback;[I)V,26,389752,389775,amazon_input,AmazonInputManagerService.BinderService.unRegisterKeyEventInterceptor,20295-20447,com.amazon.permission.GET_KEYEVENTS; Requires GET_KEYEVENTS permission,no caller-identity marker observed,no explicit user/package argument observed,KeyEventCallback; IKeyEventCallback,indirect key/callback path; no HOME resolver/component writer,proxy method + published Binder endpoint; runtime caller not established,Confirmed: explicit Amazon permission check
