source,source_sha256,line,class,method,kind,operation,category,scope_observation,nearby_literals,permission_markers,identity_markers,user_scope_markers,callsite,device_mutation
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5374,amazon.content.pm.FtvSpecAssertionUtility,getAmazonPackageManager ()Lcom/amazon/android/service/pm/IAmazonPackageManager;,service_name_literal,amazonpackagemanager,framework_read_classifier,framework read/classification helper,"01e9de: 1c00 5400 |0000: const-class v0, Lamazon/content/pm/FtvSpecAssertionUtility; // type@0054; 076728: 1a00 1a59 |0007: const-string v0, ""amazonpackagemanager"" // string@591a",,,,"076728: 1a00 1a59 |0007: const-string v0, ""amazonpackagemanager"" // string@591a",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5375,amazon.content.pm.FtvSpecAssertionUtility,getAmazonPackageManager ()Lcom/amazon/android/service/pm/IAmazonPackageManager;,service_handle,ServiceManager.getService,framework_read_classifier,framework read/classification helper,"076728: 1a00 1a59 |0007: const-string v0, ""amazonpackagemanager"" // string@591a",,,,"07672c: 7110 f70b 0000 |0009: invoke-static {v0}, Landroid/os/ServiceManager;.getService:(Ljava/lang/String;)Landroid/os/IBinder; // method@0bf7",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5399,amazon.content.pm.FtvSpecAssertionUtility,getDensity ()F,interface_callsite,getConfigurationHelper,framework_read_classifier,framework read/classification helper,"076728: 1a00 1a59 |0007: const-string v0, ""amazonpackagemanager"" // string@591a; 07673c: 1a02 b008 |0011: const-string v2, ""AmazonPackageManager service binder is empty."" // string@08b0",,,,"07677a: 7210 d31c 0000 |000d: invoke-interface {v0}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.getConfigurationHelper:()Lcom/amazon/android/service/pm/ConfigurationHelper; // method@1cd3",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5430,amazon.content.pm.FtvSpecAssertionUtility,getDensityDpi ()I,interface_callsite,getConfigurationHelper,framework_read_classifier,framework read/classification helper,"07678e: 1a04 9d41 |0017: const-string v4, ""RemoteException is caught"" // string@419d",,,,"076850: 7210 d31c 0000 |000d: invoke-interface {v0}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.getConfigurationHelper:()Lcom/amazon/android/service/pm/ConfigurationHelper; // method@1cd3",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5458,amazon.content.pm.FtvSpecAssertionUtility,getDisplayMetricsHeightPixels ()I,interface_callsite,getConfigurationHelper,framework_read_classifier,framework read/classification helper,"076864: 1a04 9d41 |0017: const-string v4, ""RemoteException is caught"" // string@419d",,,,"0768b4: 7210 d31c 0000 |000d: invoke-interface {v0}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.getConfigurationHelper:()Lcom/amazon/android/service/pm/ConfigurationHelper; // method@1cd3",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5487,amazon.content.pm.FtvSpecAssertionUtility,getDisplayMetricsWidthPixels ()I,interface_callsite,getConfigurationHelper,framework_read_classifier,framework read/classification helper,"0768c8: 1a04 9d41 |0017: const-string v4, ""RemoteException is caught"" // string@419d",,,,"076918: 7210 d31c 0000 |000d: invoke-interface {v0}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.getConfigurationHelper:()Lcom/amazon/android/service/pm/ConfigurationHelper; // method@1cd3",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5516,amazon.content.pm.FtvSpecAssertionUtility,getScalingFactor ()F,interface_callsite,getConfigurationHelper,framework_read_classifier,framework read/classification helper,"07692c: 1a04 9d41 |0017: const-string v4, ""RemoteException is caught"" // string@419d",,,,"0767e8: 7210 d31c 0000 |000d: invoke-interface {v0}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.getConfigurationHelper:()Lcom/amazon/android/service/pm/ConfigurationHelper; // method@1cd3",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5546,amazon.content.pm.FtvSpecAssertionUtility,getScreenHeightDp ()I,interface_callsite,getConfigurationHelper,framework_read_classifier,framework read/classification helper,"0767fc: 1a04 9d41 |0017: const-string v4, ""RemoteException is caught"" // string@419d",,,,"07697a: 7210 d31c 0000 |000c: invoke-interface {v0}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.getConfigurationHelper:()Lcom/amazon/android/service/pm/ConfigurationHelper; // method@1cd3",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5574,amazon.content.pm.FtvSpecAssertionUtility,getScreenLayout ()I,interface_callsite,getConfigurationHelper,framework_read_classifier,framework read/classification helper,"07698e: 1a04 9d41 |0016: const-string v4, ""RemoteException is caught"" // string@419d",,,,"0769da: 7210 d31c 0000 |000c: invoke-interface {v0}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.getConfigurationHelper:()Lcom/amazon/android/service/pm/ConfigurationHelper; // method@1cd3",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5602,amazon.content.pm.FtvSpecAssertionUtility,getScreenWidthDp ()I,interface_callsite,getConfigurationHelper,framework_read_classifier,framework read/classification helper,"0769ee: 1a04 9d41 |0016: const-string v4, ""RemoteException is caught"" // string@419d",,,,"076a3a: 7210 d31c 0000 |000c: invoke-interface {v0}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.getConfigurationHelper:()Lcom/amazon/android/service/pm/ConfigurationHelper; // method@1cd3",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5630,amazon.content.pm.FtvSpecAssertionUtility,getSmallestScreenWidthDp ()I,interface_callsite,getConfigurationHelper,framework_read_classifier,framework read/classification helper,"076a4e: 1a04 9d41 |0016: const-string v4, ""RemoteException is caught"" // string@419d",,,,"076a9a: 7210 d31c 0000 |000c: invoke-interface {v0}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.getConfigurationHelper:()Lcom/amazon/android/service/pm/ConfigurationHelper; // method@1cd3",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5659,amazon.content.pm.FtvSpecAssertionUtility,getSurfaceRotation ()I,interface_callsite,getConfigurationHelper,framework_read_classifier,framework read/classification helper,"076aae: 1a04 9d41 |0016: const-string v4, ""RemoteException is caught"" // string@419d",,,,"076afe: 7210 d31c 0000 |000c: invoke-interface {v0}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.getConfigurationHelper:()Lcom/amazon/android/service/pm/ConfigurationHelper; // method@1cd3",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5694,amazon.content.pm.FtvSpecAssertionUtility,isFtvSpecApp (Ljava/lang/String;)Z,interface_callsite,isFtvSpecApp,framework_read_classifier,framework read/classification helper,"076b12: 1a04 9d41 |0016: const-string v4, ""RemoteException is caught"" // string@419d",,,,"07665e: 7220 d41c 5000 |001d: invoke-interface {v0, v5}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.isFtvSpecApp:(Ljava/lang/String;)Z // method@1cd4",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,5728,amazon.content.pm.FtvSpecAssertionUtility,isPreInstalledAppWithFtvSpec (Ljava/lang/String;)Z,interface_callsite,isPreInstalledAppWithFtvSpec,framework_read_classifier,framework read/classification helper,"076680: 1a04 9d41 |002e: const-string v4, ""RemoteException is caught"" // string@419d",,,,"0766da: 7220 d51c 5000 |001e: invoke-interface {v0, v5}, Lcom/amazon/android/service/pm/IAmazonPackageManager;.isPreInstalledAppWithFtvSpec:(Ljava/lang/String;)Z // method@1cd5",false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,58318,com.amazon.android.service.pm.IAmazonPackageManager,<class-init>,interface_declaration,com.amazon.android.service.pm.IAmazonPackageManager,binder_interface,private Binder interface declaration,,,,,class #637: IAmazonPackageManager ('Lcom/amazon/android/service/pm/IAmazonPackageManager;'),false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,58322,com.amazon.android.service.pm.IAmazonPackageManager,deregisterProxyReceiver (Landroid/content/Intent;)Z,interface_method_definition,deregisterProxyReceiver,binder_interface,private Binder interface declaration,,,,,virtual_method #7377: deregisterProxyReceiver (Landroid/content/Intent;)Z,false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,58325,com.amazon.android.service.pm.IAmazonPackageManager,getAmazonFlagsForUser (Ljava/lang/String;I)I,interface_method_definition,getAmazonFlagsForUser,binder_interface,private Binder interface declaration,,,,,virtual_method #7378: getAmazonFlagsForUser (Ljava/lang/String;I)I,false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,58328,com.amazon.android.service.pm.IAmazonPackageManager,getConfigurationHelper ()Lcom/amazon/android/service/pm/ConfigurationHelper;,interface_method_definition,getConfigurationHelper,binder_interface,private Binder interface declaration,,,,,virtual_method #7379: getConfigurationHelper ()Lcom/amazon/android/service/pm/ConfigurationHelper;,false
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,58331,com.amazon.android.service.pm.IAmazonPackageManager,isFtvSpecApp (Ljava/lang/String;)Z,interface_method_definition,isFtvSpecApp,binder_interface,private Binder interface declaration,,,,,virtual_method #7380: isFtvSpecApp (Ljava/lang/String;)Z,false
