source_scope,relative_path,line,surface_markers,function_guess,has_usercopy_in_file,has_caller_gate_in_file,has_write_path_in_file,runtime_status,snippet
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/block/partition-generic.c,170,sysfs_or_store,,no,no,no,SOURCE_ONLY,"static DEVICE_ATTR(partition, S_IRUGO, part_partition_show, NULL);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/block/partition-generic.c,171,sysfs_or_store,,no,no,no,SOURCE_ONLY,"static DEVICE_ATTR(start, S_IRUGO, part_start_show, NULL);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/block/partition-generic.c,172,sysfs_or_store,,no,no,no,SOURCE_ONLY,"static DEVICE_ATTR(size, S_IRUGO, part_size_show, NULL);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/block/partition-generic.c,173,sysfs_or_store,,no,no,no,SOURCE_ONLY,"static DEVICE_ATTR(ro, S_IRUGO, part_ro_show, NULL);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/block/partition-generic.c,174,sysfs_or_store,,no,no,no,SOURCE_ONLY,"static DEVICE_ATTR(alignment_offset, S_IRUGO, part_alignment_offset_show, NULL);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/block/partition-generic.c,175,sysfs_or_store,,no,no,no,SOURCE_ONLY,"static DEVICE_ATTR(discard_alignment, S_IRUGO, part_discard_alignment_show,"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/block/partition-generic.c,177,sysfs_or_store,,no,no,no,SOURCE_ONLY,"static DEVICE_ATTR(stat, S_IRUGO, part_stat_show, NULL);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/block/partition-generic.c,178,sysfs_or_store,,no,no,no,SOURCE_ONLY,"static DEVICE_ATTR(inflight, S_IRUGO, part_inflight_show, NULL);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/block/partition-generic.c,277,sysfs_or_store,delete_partition,no,no,no,SOURCE_ONLY,"static DEVICE_ATTR(whole_disk, S_IRUSR | S_IRGRP | S_IROTH,"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,152,usercopy,,yes,yes,yes,SOURCE_ONLY,"remaining = copy_to_user(buf, ptr, sz);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,221,usercopy,,yes,yes,yes,SOURCE_ONLY,"copied = copy_from_user(ptr, buf, sz);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,439,usercopy,,yes,yes,yes,SOURCE_ONLY,"if (copy_to_user(buf, kbuf, sz))"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,462,usercopy,,yes,yes,yes,SOURCE_ONLY,"if (copy_to_user(buf, kbuf, sz)) {"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,509,usercopy,,yes,yes,yes,SOURCE_ONLY,"copied = copy_from_user(ptr, buf, sz);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,561,usercopy,,yes,yes,yes,SOURCE_ONLY,"n = copy_from_user(kbuf, buf, sz);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,738,capability_check,open_port,yes,yes,yes,SOURCE_ONLY,return capable(CAP_SYS_RAWIO) ? 0 : -EPERM;
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,751,write_handler,open_port,yes,yes,yes,SOURCE_ONLY,".write = write_mem,"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,763,write_handler,open_port,yes,yes,yes,SOURCE_ONLY,".write = write_kmem,"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,775,write_handler,open_port,yes,yes,yes,SOURCE_ONLY,".write = write_null,"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,784,write_handler,,yes,yes,yes,SOURCE_ONLY,".write = write_port,"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,790,write_handler,,yes,yes,yes,SOURCE_ONLY,".write = write_zero,"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,802,write_handler,,yes,yes,yes,SOURCE_ONLY,".write = write_full,"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/mem.c,888,device_create,chr_dev_init,yes,yes,yes,SOURCE_ONLY,"device_create(mem_class, NULL, MKDEV(MEM_MAJOR, minor),"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/misc.c,185,misc_register,misc_register,no,no,no,SOURCE_ONLY,int misc_register(struct miscdevice * misc)
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/misc.c,246,misc_register,,no,no,no,SOURCE_ONLY,* successfully registered with misc_register().
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/misc.c,283,procfs,misc_init,no,no,no,SOURCE_ONLY,"ret = proc_create(""misc"", 0, NULL, &misc_proc_fops);"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/random.c,1237,usercopy,,yes,yes,yes,SOURCE_ONLY,"if (copy_to_user(buf, tmp, i)) {"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/random.c,1512,usercopy,,yes,yes,yes,SOURCE_ONLY,"if (copy_from_user(&buf, p, bytes))"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/random.c,1556,usercopy,random_ioctl,yes,yes,yes,SOURCE_ONLY,"if (put_user(ent_count, p))"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/random.c,1560,capability_check,random_ioctl,yes,yes,yes,SOURCE_ONLY,if (!capable(CAP_SYS_ADMIN))
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/random.c,1562,usercopy,random_ioctl,yes,yes,yes,SOURCE_ONLY,"if (get_user(ent_count, p))"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/random.c,1566,capability_check,random_ioctl,yes,yes,yes,SOURCE_ONLY,if (!capable(CAP_SYS_ADMIN))
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/random.c,1568,usercopy,random_ioctl,yes,yes,yes,SOURCE_ONLY,"if (get_user(ent_count, p++))"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/random.c,1572,usercopy,random_ioctl,yes,yes,yes,SOURCE_ONLY,"if (get_user(size, p++))"
mt8183-kernel,platform/kernel/mediatek/mt8183/4.4/drivers/char/random.c,1585,capability_check,random_ioctl,yes,yes,yes,SOURCE_ONLY,if (!capable(CAP_SYS_ADMIN))
