domain,row_id,surface,source,caller_or_scope,gate_or_permission,identity_or_user_scope,sink_or_effect,low_privilege_status,classification,confidence_or_impact,next_safe_step,evidence,source_sha256
amazon-ipc-unclosed,IPC-U01,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.pm.AmazonPackageManagerService$BinderService.setAmazonFlagsForUser/setAmazonMetadataForUser; 95866-96037 (method offsets 0x06988a-0x069974),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.pm.AmazonPackageManagerService$BinderService.setAmazonFlagsForUser/setAmazonMetadataForUser; 95866-96037 (method offsets 0x06988a-0x069974),External caller not identified; IAmazonPackageManager tx1/2/4/5 proxy contract only,ADD_RM_PKG_METADATA checked by checkCallingOrSelfPermission; calling UID not resolved,No clearCallingIdentity/restoreCallingIdentity in bounded mutator block,AmazonApplicationFlags flags/metadata persistence for explicit user; first PM/HOME/component consumer not established,STATIC_SINK_CONFIRMED_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,STATIC_SINK_CONFIRMED_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Trace flags file persistence and first consumers host-only; stop at native/reflection boundary; do not invoke private Binder,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;d6c45b2eb54d4a4acd288ffc7ddd36c6d65be373d72e66bd2991354c3a0b5839,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
amazon-ipc-unclosed,IPC-U02,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.pm.ProxyReceiver.registerProxyReceiver; 95943-95954 and 97887-97986,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.pm.ProxyReceiver.registerProxyReceiver; 95943-95954 and 97887-97986,Production caller not found; generated Proxy/Stub and test-only probe excluded,No Binder-local permission/direct caller-UID gate; PendingIntent creator must be system app and action receiver query non-empty,No clearCallingIdentity/restoreCallingIdentity; creator package/UID used directly,mOnTheFlyRegisteredIntents -> Context.registerReceiver -> PendingIntent.send; downstream package/HOME sink unresolved,STATIC_IMPLEMENTATION_CONFIRMED_PRODUCTION_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,STATIC_IMPLEMENTATION_CONFIRMED_PRODUCTION_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Inspect offline exact-build system-created PendingIntent provenance and production registration edges; no parcel guessing/replay,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
amazon-ipc-unclosed,IPC-U03,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.pm.ProxyReceiver.deregisterProxyReceiver; 95877-95888 and 97828-97878,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.pm.ProxyReceiver.deregisterProxyReceiver; 95877-95888 and 97828-97878,Production caller not found; caller-owned entry required,No separate permission marker; stored PendingIntent creator UID must equal Binder.getCallingUid(),No clearCallingIdentity/restoreCallingIdentity; Binder.getCallingUid() used directly,Map/action removal and Context.unregisterReceiver; downstream package/HOME sink not found,STATIC_GATE_CONFIRMED_PRODUCTION_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,STATIC_GATE_CONFIRMED_PRODUCTION_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Inspect offline registration ownership provenance only; do not replay tx7 or synthesize PendingIntent,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
amazon-ipc-unclosed,IPC-U04,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.dpm.AmazonDevicePolicyManagerService$BinderService.setRestrictionForUser/clearRestrictionForUser; 45935-46108 (clear identity 46101-46107),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.dpm.AmazonDevicePolicyManagerService$BinderService.setRestrictionForUser/clearRestrictionForUser; 45935-46108 (clear identity 46101-46107),Device Owner/Profile Owner or trusted policy caller expected; ordinary caller not identified,Mapped restriction permission plus system/root-style allow path from Binder.getCallingUid; exact external caller unknown,clearCallingIdentity around UserManager.setUserRestriction; restore path bounded,UserManager restriction state for explicit user; no PM preferred/HOME/component sink in bounded path,STATIC_POLICY_SINK_CONFIRMED_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,STATIC_POLICY_SINK_CONFIRMED_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Map all permission branches and caller registration host-only; do not create owner or mutate restrictions,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;d6c45b2eb54d4a4acd288ffc7ddd36c6d65be373d72e66bd2991354c3a0b5839,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
amazon-ipc-unclosed,IPC-U05,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.amazonprofile.AmazonProfileService$BinderService.initiateLauncher; 76246-76256 and permission gate 78949-78966,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.amazonprofile.AmazonProfileService$BinderService.initiateLauncher; 76246-76256 and permission gate 78949-78966,AmazonProfileManager/framework client; external caller unknown,PROFILE_INTERACTION enforced by enforceProfileInteractionPermissions,No relevant clearCallingIdentity-to-PM writer shown,"Internal profile flow; no preferred-activity, HOME resolver, package or component setter found in bounded method",PERMISSION_GATED_STATIC_PROFILE_SINK; ORDINARY_REACHABILITY_UNKNOWN; UNKNOWN is not a vulnerability,PERMISSION_GATED_STATIC_PROFILE_SINK; ORDINARY_REACHABILITY_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Trace caller registration and returned component/user arguments offline; no profile transaction or activity replay,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;a8b51750e7d626a971e32937c09c5c459930df88f072d73dfe15d55aa0b07a7a,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
amazon-ipc-unclosed,IPC-U06,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.amazonprofile.AmazonProfileService$BinderService.startProfilePicker; 77222-77280 and 74351-74362,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.amazonprofile.AmazonProfileService$BinderService.startProfilePicker; 77222-77280 and 74351-74362,External caller unknown; private service boundary,Method-local permission marker not resolved in bounded block; service publication present,No clearCallingIdentity-to-PM writer shown,Configured picker and startActivityAsUser; explicit HOME/preferred/package mutation not shown,STATIC_UI_LAUNCH_SINK_CALLER_AND_GATE_UNKNOWN; UNKNOWN is not a vulnerability,STATIC_UI_LAUNCH_SINK_CALLER_AND_GATE_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Resolve manifest/service binding and user argument provenance offline; do not start picker or bind private service,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;a8b51750e7d626a971e32937c09c5c459930df88f072d73dfe15d55aa0b07a7a,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
amazon-ipc-unclosed,IPC-U07,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.server.am.AmazonActivityManagerService$BinderService.onActivityResume / observer dispatch; 40391-40563 and 180282,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.server.am.AmazonActivityManagerService$BinderService.onActivityResume / observer dispatch; 40391-40563 and 180282,Framework/system-server callback path; external Binder caller and observer registration provenance unknown,Observer registration permission/caller gate not closed in bounded slice,No clearCallingIdentity-to-PM/HOME writer shown,IAmazonActivitySwitchObserver callback with ComponentName; no direct preferred/package/component sink established,CALLBACK_SURFACE_STATIC; CALLER_TO_HOME_SINK_UNKNOWN; UNKNOWN is not a vulnerability,CALLBACK_SURFACE_STATIC; CALLER_TO_HOME_SINK_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Trace all observer registrations and callback consumers offline; do not trigger activity transitions,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
amazon-ipc-unclosed,IPC-U08,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.server.wm.AmazonWindowManagerService$BinderService.setOverscan/setPipVisibility; 56070-56179 and 56127-56150,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.server.wm.AmazonWindowManagerService$BinderService.setOverscan/setPipVisibility; 56070-56179 and 56127-56150,External caller unknown; private service lookup boundary,Per-method permission and Binder caller handling incomplete in bounded wrapper,Identity handling unresolved; no clearCallingIdentity-to-PM writer shown,WindowManagerService.setOverscan and PIP/status-bar control state; no package/HOME sink shown,STATIC_WMS_SINK_CALLER_AND_GATE_UNKNOWN; UNKNOWN is not a vulnerability,STATIC_WMS_SINK_CALLER_AND_GATE_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Complete method-local permission and caller registration mapping offline; no WMS Binder invocation,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
amazon-ipc-unclosed,IPC-U09,artifacts/phase6mc-alta-static-20260810-01/ H2ClientService.java:105-107; AndroidUserHelper.java:78-81; I/H2 service contract in boot-fosframework/disassembly.log:11719,artifacts/phase6mc-alta-static-20260810-01/ H2ClientService.java:105-107; AndroidUserHelper.java:78-81; I/H2 service contract in boot-fosframework/disassembly.log:11719,H2 client/account workflow; exported service bind caller is not ordinary because BIND_SERVICE is signature-level,android.permission.BIND_SERVICE signature gate plus account/workflow checks,No clearCallingIdentity edge established in recovered H2 path,"AmazonUserManager.createAdultUser/createChildUser; downstream profile lifecycle sink, no bounded Fire/HOME writer",SIGNATURE_BOUND_TRUSTED_WORKFLOW; LOW_PRIVILEGE_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,SIGNATURE_BOUND_TRUSTED_WORKFLOW; LOW_PRIVILEGE_CALLER_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,"Align service declaration, caller package/signature and create-user user-scope data flow offline; no bind/create-user action",fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
amazon-ipc-unclosed,IPC-U10,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.ota.BootAfterSystemOTAReceiver.onReceive -> OOBEActivationHelper/PackageHelper; 96107-96126; helper scope artifact phase6mg,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; com.amazon.android.service.ota.BootAfterSystemOTAReceiver.onReceive -> OOBEActivationHelper/PackageHelper; 96107-96126; helper scope artifact phase6mg,Trusted system-server AmazonPackageManagerService.onBootPhase(550) sender; ordinary broadcast sender not proven,boot phase 550 + isUpgrade; protected BOOT_AFTER_SYSTEM_OTA/RECEIVE_BOOT_AFTER_SYSTEM_OTA provenance bounded to scanned set,No ordinary Binder calling identity; receiver runs in trusted lifecycle context,PackageHelper.enableComponent(OobeHomeActivity) and Settings/OOBE setup flags; exact Context/user handle and PM HOME effect unresolved,STATIC_LIFECYCLE_SINK_CONFIRMED_ORDINARY_RELAY_UNKNOWN; UNKNOWN is not a vulnerability,STATIC_LIFECYCLE_SINK_CONFIRMED_ORDINARY_RELAY_UNKNOWN; UNKNOWN is not a vulnerability,bounded static; UNKNOWN preserved,Trace Context/ContentResolver/PackageManager user handle and protected membership host-only; no broadcast/OTA/OOBE trigger,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;68c931fa0606d4b0fa4c094e0e63683b263caadcebae9b10f7ef5359adc49903;fc51d7b8fe40f7c5eb8f89f40ef0bfe187f02b64637fdcc07168f7443e295b6c,c14abe7dfec800f1108be6492064f7e0474d43ea056799dc38eb27d168d93756
