phase,record_id,surface,source_path,source_sha256,entry_or_node,caller_or_identity,gate_or_policy,sink_or_effect,low_privilege_reachability,classification,confidence,unknowns,safety_disposition
6RY,6RY-001,amazon.permission.ADD_RM_PKG_METADATA,fosservices 95866-96037; boot-fosframework interface proxy stub; phase6mx inventory,,IAmazonPackageManager tx1-5 to BinderService,AmazonPackageManagerImpl exact facade; upstream caller UNKNOWN,Declaration UNKNOWN in bounded XML; checkCallingOrSelfPermission; no clear identity; explicit userId,AmazonApplicationFlags to amazon_package_flags.xml; no HOME/PMS edge,STATIC; HOLDER/CALLER UNKNOWN,STATIC; HOLDER/CALLER UNKNOWN,PRESERVED_BASE_LEDGER,Search exact-build definitions and facade callers offline,host-only source ledger; no device mutation
6RY,6RY-002,amazon.permission.ADD_RM_PKG_METADATA,boot-fosframework 367184-367221; fosservices 698fe-69938; 6RV 001 004 015,,tx4 setAmazonFlagsForUser; generated dispatch is not caller,addAmazonFlagsForPackages to setAmazonFlagsForUser; caller UNKNOWN,Declaration UNKNOWN; Service permission check; UserHandle user,Flags map and XML; no HOME/package sink,STATIC METADATA ONLY; UNKNOWN,STATIC METADATA ONLY; UNKNOWN,PRESERVED_BASE_LEDGER,Recover callers above facade offline; do not dispatch,host-only source ledger; no device mutation
6RY,6RY-003,amazon.permission.ADD_RM_PKG_METADATA,boot-fosframework 367184-367289; fosservices 6993a-69976; 6RV 002 015,,tx5 setAmazonMetadataForUser; generated dispatch is not caller,addAmazonMetadataForPackage to setAmazonMetadataForUser; caller UNKNOWN,Declaration UNKNOWN; No clear identity; explicit userId; caller lists,Metadata XML; recency game-mode compatibility reads; no HOME sink,STATIC METADATA ONLY; UNKNOWN,STATIC METADATA ONLY; UNKNOWN,PRESERVED_BASE_LEDGER,Search facade callers and first consumer offline,host-only source ledger; no device mutation
6RY,6RY-004,amazon.permission.ADD_RM_PKG_METADATA,boot-fosframework 369119-369164; fosservices 69886-698fc; 6RV 003 004 015,,tx1 tx2 removal mutators; generated dispatch only,removeAmazonFlagsForPackages and removeAmazonMetadataForPackage; caller UNKNOWN,Declaration UNKNOWN; Permission check before removal; explicit userId; no identity normalization,Same XML writer; no HOME/PMS edge,STATIC REMOVAL; UNKNOWN,STATIC REMOVAL; UNKNOWN,PRESERVED_BASE_LEDGER,Search callers and permission definition offline,host-only source ledger; no device mutation
6RY,6RY-005,amazon.permission.ADD_RM_PKG_METADATA,fosservices 95331-95455 and 96087-96100; 6RV 005,,AmazonPackageManagerService onBootPhase to flags init,onBootPhase init is local lifecycle; not remote caller,No declaration or privapp grant established; System-server lifecycle; stored user IDs from XML,Read reload of amazon_package_flags.xml; no package/HOME write,STATIC LIFECYCLE; no caller claim,STATIC LIFECYCLE; no caller claim,PRESERVED_BASE_LEDGER,Inspect Context and user mapping offline; no replay,host-only source ledger; no device mutation
6RY,6RY-006,amazon.permission.ADD_RM_PKG_METADATA,fosservices 17489-17538; 6RV 006,,Local callback read path; no mutating Binder entry,PackageRecencyCallback trigger caller UNKNOWN,Declaration UNKNOWN; Callback userId to read and broadcast; trigger UNKNOWN,Package-recency broadcast; no HOME/PMS writer,STATIC CONSUMER; UNKNOWN TRIGGER,STATIC CONSUMER; UNKNOWN TRIGGER,PRESERVED_BASE_LEDGER,Map saved callback registration only; do not broadcast,host-only source ledger; no device mutation
6RY,6RY-007,android.permission.CHANGE_COMPONENT_ENABLED_STATE,phase6mc summary holders; phase6lz table; fosservices 54297-54325,,PMS component-state setter,KFT enableKftLauncherComponent exact static caller; ordinary join UNKNOWN,Declared by android package; Caller package gates; child UserInfo id; KFT clears identity downstream,Fire Tahoe Launcher3 child state; no formal HOME setter,HOLDER plus CHILD CALLER; User-0 join UNKNOWN,HOLDER plus CHILD CALLER; User-0 join UNKNOWN,PRESERVED_BASE_LEDGER,Join holder to caller UID and child user offline,host-only source ledger; no device mutation
6RY,6RY-008,android.permission.MANAGE_USERS,phase6mc summary; phase6mh writer calls; 6RV 011,,AmazonUserManager child profile Binder path,createChildUser to AmazonUserManagerService; ordinary join UNKNOWN,Declared by android package; Child profile gates; tx3 local authorization incomplete,Child KFT package writes only; no User-0 HOME,HOLDERS plus CHILD LIFECYCLE; ordinary caller UNKNOWN,HOLDERS plus CHILD LIFECYCLE; ordinary caller UNKNOWN,PRESERVED_BASE_LEDGER,Join caller holder user offline; no create-user mutation,host-only source ledger; no device mutation
6RY,6RY-009,android.permission.WRITE_SECURE_SETTINGS,phase6mc summary; 6RV 012; phase6rs settings closure,,ContentProvider insert update delete Binder entry,SettingsProvider writer family; exact caller UNKNOWN,Declared by android package; Caller identity retained; cross-user via ActivityManager,SettingsState XML; no HOME/PMS sink proven,HOLDER plus WRITER FAMILY; caller UNKNOWN,HOLDER plus WRITER FAMILY; caller UNKNOWN,PRESERVED_BASE_LEDGER,Search provider callers and user mapping offline,host-only source ledger; no device mutation
6RY,6RY-010,android.permission.INSTALL_PACKAGES|android.permission.DELETE_PACKAGES,phase6mc summary; phase6mh writer calls; 6RV 014,,PMS install delete Binder API entries,Installer Vending OTA OOBE policy families; caller and target UNKNOWN,Declared by android package; Caller gates vary; user lifecycle scope unresolved,Package install delete state; no ADD_RM to HOME bridge,WRITER FAMILIES; caller target UNKNOWN,WRITER FAMILIES; caller target UNKNOWN,PRESERVED_BASE_LEDGER,Join writer bodies to package user inputs offline,host-only source ledger; no device mutation
6RY,6RY-011,android.permission.SET_PREFERRED_APPLICATIONS,6RV 013; DefaultHomePreferenceController; 6IZ shell region,,PMS preferred-activity Binder API entries,DefaultHomePicker and runSetHomeActivity static callers; effective caller UNKNOWN,Declaration holder exact in bounded corpus UNKNOWN; Calling UID and userId preserved in bounded slice,Per-user preferred resolver XML; no low-priv route proven,STATIC SINK; holder and effective caller UNKNOWN,STATIC SINK; holder and effective caller UNKNOWN,PRESERVED_BASE_LEDGER,Map caller gate and target user offline,host-only source ledger; no device mutation
6RY,6RY-012,public/exported metadata,6RV 6RW 001-010; phase6IP tx6 tx7 follow-up,,Public components and private Amazon services need exact manifest fosinit mapping,No production caller proven; generated interfaces and test probes excluded,Exact PS7331 component corpus incomplete; Identity user permission UNKNOWN unless source proves it,No new sensitive sink; tx6 tx7 first sinks receiver map PendingIntent,BOUNDED UNKNOWN; absence is not vulnerability evidence,BOUNDED UNKNOWN; absence is not vulnerability evidence,PRESERVED_BASE_LEDGER,Continue exact-build manifest scan offline; no invocation,host-only source ledger; no device mutation
6RZ,1,CMDQ/MDP,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:739-741,820-824,865,894-898; mdp/mdp_ioctl_ex.c:332-405,602-729",b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899,"/dev/mtk_cmdq; /proc/mtk_cmdq_debug/{status,record,instructionCount}; device sysfs attrs; cmdq_ioctl/cmdq_ioctl_compat; CMDQ async/wait/readback; mdp_ioctl_async_exec; copy_from_user/copy_to_user",No in-tree client established; no node opened or ioctl executed,proc 0440; sysfs S_IRUSR|S_IWUSR; char node mode not set in source; final ueventd/file_contexts/TE absent,Hardware/display/MDP state; theoretical DMA/register impact; no package sink,source+config confirmed; caller unknown,source+config confirmed; caller unknown,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,2,M4U,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809,2220-2270",6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6,/proc/m4u; /dev/m4u misc branch is preprocessor-inactive; m4u debugfs; MTK_M4U_ioctl; ALLOC_MVA/DEALLOC_MVA/CONFIG_PORT/POWER/MONITOR/CONFIG_TF; copy_from_user/copy_to_user,No source client; no runtime operation,proc_create mode 0; debugfs controls mode 0600; active node/domain mapping unresolved,DMA/IOMMU/memory-isolation and power state theoretical impact,source-only/access unknown,source-only/access unknown,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,3,MDP executor,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/mdp/mdp_ioctl_ex.c:332-405,602-729",665aacbd47eb99f3a5e38f0447c75881c04827f24cf60c9baa7606e6dd1d52c1,via /dev/mtk_cmdq; mdp_ioctl_async_exec; CMDQ_MOP_WRITE/WRITE_SEC/READ; user metadata copy,No userspace caller established,Inherited CMDQ boundary; no local capable() proof; SELinux/client absent,Display/register/hardware availability; no framework/package edge,source capability only,source capability only,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,4,Performance ioctl,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203,231-232",df846d7463d14af07fa98bb0a26d389c1a5e41a46b58763327c9d47a2aa3ff09,/proc/perfmgr/perf_ioctl; device_ioctl; FPSGO commands; read/write/unlocked_ioctl/compat_ioctl,No client established,proc mode 0664; no local capable(); owner/group write only at source; SELinux/domain unknown,Scheduling/performance/resource state; no package/settings sink,writable source surface; reachability unknown,writable source surface; reachability unknown,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
6RZ,5,Accelerometer factory,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/sensors-1.0/accelerometer/accel_factory.c:35-168,202-227",b00912925e4b053f7d80e25ee01b40a70e2eccd6f6eb3db6ea7d398ff32601c1,/dev/gsensor; acc_factory_unlocked_ioctl; GSENSOR_IOCTL_SET_CALI/CLR_CALI/ENABLE_CALI,No source client,misc node mode unspecified; no capable() in inspected path; ueventd/SELinux absent,Calibration/device behavior only,conditional factory surface,conditional factory surface,PRESERVED_BASE_LEDGER,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,host-only source ledger; no device mutation
