phase,record_id,surface,source_path,source_sha256,entry_or_node,caller_or_identity,gate_or_policy,sink_or_effect,low_privilege_reachability,classification,confidence,unknowns,safety_disposition
6SF,SF-001,amazon.permission.ADD_RM_PKG_METADATA,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,declaration,holder_or_grant=declaration source=android.amazon.perm; caller=NA,service_permission=NA; observed=permission name declared by package android.amazon.perm,NA,requested=NA; granted=NA,CONFIRMED,High,Corrects older 6RY/6SB stale note: this exact declaration is present in the preserved XML.,"HOST_ONLY; no ADB, Binder, package-state, driver, OTA or recovery mutation"
6SF,SF-002,amazon.permission.ADD_RM_PKG_METADATA,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,protectionLevel,holder_or_grant=NA; caller=NA,service_permission=NA; observed=protectionLevel raw=0x80000002 (signature|privileged encoding),NA,requested=NA; granted=NA,CONFIRMED,High,The raw value is directly observed; symbolic decode follows Android protection-bit convention.,"HOST_ONLY; no ADB, Binder, package-state, driver, OTA or recovery mutation"
6SF,SF-003,amazon.permission.ADD_RM_PKG_METADATA,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp_permissions.xml,643cf114ed7d7b82a642fea650ed7d2f53b5dab2291e4f043c272cbe577df732,privapp grant/holder,holder_or_grant=not found in this privapp XML; caller=NA,service_permission=NA; observed=no exact custom permission row found,NA,requested=NA; granted=NA,BOUNDED_NOT_FOUND,Medium-High,Does not prove no grant exists elsewhere or at runtime.,"HOST_ONLY; no ADB, Binder, package-state, driver, OTA or recovery mutation"
6SF,SF-004,amazon.permission.ADD_RM_PKG_METADATA,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp-permissions-platform.xml,0b30c1624ffdab6c5454746737a060157276da5d2bd43addc74cd3919ae4aad1,platform privapp grant/holder,holder_or_grant=not found in this platform privapp XML; caller=NA,service_permission=NA; observed=no exact custom permission row found,NA,requested=NA; granted=NA,BOUNDED_NOT_FOUND,Medium-High,Does not prove no grant exists elsewhere or at runtime.,"HOST_ONLY; no ADB, Binder, package-state, driver, OTA or recovery mutation"
6SF,SF-005,amazon.permission.ADD_RM_PKG_METADATA,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/sysconfig/framework-sysconfig.xml,bd6e7c52f1c036be4a770bd3be06d0c3a237d05f97921f47c2f652de59ca8fc3,sysconfig grant/allowlist,holder_or_grant=not found in this sysconfig XML; caller=NA,service_permission=NA; observed=no exact permission or package allowlist row found,NA,requested=NA; granted=NA,BOUNDED_NOT_FOUND,Medium,No negative claim outside this file.,"HOST_ONLY; no ADB, Binder, package-state, driver, OTA or recovery mutation"
6SF,SF-006,amazon.permission.ADD_RM_PKG_METADATA,artifacts/phase6mc-permission-holder-audit-20260810-05/permission-holders.csv,1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18,holder census,holder_or_grant=no exact holder row in bounded census; caller=NA,service_permission=NA; observed=census targets standard permissions only; no exact custom row,NA,requested=NA; granted=NA,BOUNDED_NOT_FOUND,Medium-High,The census summary itself labels custom exact holder as unavailable; holder is not determined.,"HOST_ONLY; no ADB, Binder, package-state, driver, OTA or recovery mutation"
6SF,SF-007,amazon.permission.ADD_RM_PKG_METADATA,decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,method authorization,holder_or_grant=method gate only; no holder inferred; caller=framework facade caller path,service_permission=NA; observed=AmazonPackageManagerImpl.addAmazonMetadataForPackage checks checkCallingOrSelfPermission,AmazonApplicationFlags metadata path,requested=NA; granted=NA,CONFIRMED,High,Caller-controlled permission check is not proof of a production caller.,"HOST_ONLY; no ADB, Binder, package-state, driver, OTA or recovery mutation"
6SF,SF-008,amazon.permission.ADD_RM_PKG_METADATA,decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,method authorization,holder_or_grant=method gate only; no holder inferred; caller=framework facade caller path,service_permission=NA; observed=AmazonPackageManagerImpl.removeAmazonMetadataForPackage checks checkCallingOrSelfPermission,AmazonApplicationFlags metadata path,requested=NA; granted=NA,CONFIRMED,High,Same gate applies to the remove metadata facade.,"HOST_ONLY; no ADB, Binder, package-state, driver, OTA or recovery mutation"
6SF,SF-009,amazon.permission.ADD_RM_PKG_METADATA,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,Binder mutator gate,holder_or_grant=no grant/holder encoded in method block; caller=IAmazonPackageManager BinderService,service_permission=NA; observed=BinderService tx4/tx5 checks the permission then calls AmazonApplicationFlags setters,NA,requested=NA; granted=NA,CONFIRMED,High,tx4=setAmazonFlagsForUser; tx5=setAmazonMetadataForUser.,"HOST_ONLY; no ADB, Binder, package-state, driver, OTA or recovery mutation"
6SF,SF-010,amazon.permission.ADD_RM_PKG_METADATA,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,Binder mutator gate,holder_or_grant=no grant/holder encoded in method block; caller=IAmazonPackageManager BinderService,service_permission=NA; observed=BinderService tx1/tx2 checks the permission then calls AmazonApplicationFlags removers,NA,requested=NA; granted=NA,CONFIRMED,High,tx1=removeAmazonMetadataForUser; tx2=removeAmazonFlagsForUser.,"HOST_ONLY; no ADB, Binder, package-state, driver, OTA or recovery mutation"
