surface_family,source_csv,source_sha256,row_id,subject,status,holder_or_caller,edge_or_finding,evidence_path,line_method_offset,surface,result,source_config,shipped_node_or_proc,policy_init,exact_native_elf_evidence,remaining_gap,evidence_id,layer,artifact_status,edge_or_capability,exact_locator,observation,classification,remaining_unknown,version_or_safety_boundary,id,exact_method,target_or_sink,caller_identity,publication_or_gate,user_scope,assessment,next_static_check
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-01,ADD_RM_PKG_METADATA declaration,Confirmed,owner declaration only; holder/grant Unknown,raw protectionLevel=0x80000002 (signature|privileged),artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,permission line 1822; XML lines 1936-1938,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-02,Amazon PM mutator permission gate,Confirmed,production caller UID/signing identity Unknown,remove/set flags and metadata methods call checkCallingOrSelfPermission(amazon.permission.ADD_RM_PKG_METADATA),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,AmazonPackageManagerService.BinderService lines 95955-96026,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-03,Amazon PM Binder transaction mapping,Confirmed,caller remains Unknown,IAmazonPackageManager transaction codes: set flags=1 remove flags=2 remove metadata=5 set metadata=4; implementation ranges are mapped,artifacts/phase6mt-amazon-ipc-candidates-20260810-01/method-matrix.csv,package rows; proxy lines 403202-403318,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-04,AmazonApplicationFlags persistence,Confirmed,caller/holder Unknown,mutators delegate to AmazonApplicationFlags and writeToFile; persistent sink is amazon_package_flags.xml,artifacts/phase6mu-amazon-application-flags-20260810-01/mutator-map.csv,rows 2-5; fosservices lines 95477-95578 and 95634-95730,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-05,ADD_RM holder/grant census,Unknown,no exact custom holder/grant join,Phase 6MC census has no exact ADD_RM_PKG_METADATA holder row; absence is not proof,artifacts/phase6mc-permission-holder-audit-20260810-05/permission-holders.csv,CSV lines 1-200,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-06,Amazon PM production caller provenance,Unknown,caller/UID/signing identity Unknown,service handle/proxy/facade and generated Stub rows establish reachability surface but do not identify a production caller,artifacts/phase6mx-amazon-pm-callers-20260810-01/caller-calls.csv,AmazonPackageManagerImpl and Stub dispatch rows,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-07,PROFILE_INTERACTION declaration,Confirmed,holder/grant Unknown,raw protectionLevel=0x80000002 (signature|privileged),artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,permission line 1748; XML lines 1864-1865,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-08,PROFILE_INTERACTION service gate,Strong evidence,caller/holder/grant Unknown,AmazonProfileService checks permission with processId and userId and throws SecurityException on failure,artifacts/phase6mq-profile-launcher-helper-20260810-01/evidence/profile-permission-check.txt,enforceProfileInteractionPermissions lines 1-18; disassembly 78954-78964,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-09,PROFILE_INTERACTION manifest use,Strong evidence,DCPMS package use declaration; grant/caller Unknown,com.amazon.dcpms.fos.service requests PROFILE_INTERACTION,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/021_com.amazon.dcpms.fos.service.xmltree.txt,uses-permission line 31; XML lines 27-30,,,,,,,,,,,,,,,,,,,,,,,,
6SN permission-holder/caller,work/luna_worker_phase6sn_permission_caller_20260810.csv,56e9429f229afdd30f12d555d5b6b57aa33f13dffa1e8c045be03b9ddee98e17,SN-10,KFT transaction 3 proxy,Confirmed,external caller/UID Unknown,IAmazonUserManager.Stub.Proxy enableKftLauncher writes UserInfo then invokes IBinder.transact(code=3),decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,Stub.Proxy.enableKftLauncher lines 370398-370443; offsets 07b6ea-07b6ec,,,,,,,,,,,,,,,,,,,,,,,,
