surface_family,source_csv,source_sha256,ID,status,source path,line or offset,caller,gate,identity,user scope,sink,remaining unknown,route_id,package,component,type,exported,component_permission,action_or_input,exact_manifest_evidence,static_sink,home_package_state_ota_relation,authorization_status,classification,source_evidence,surface,source_registration_and_abi,config_scope,extracted_policy_or_node_join,exact_shipped_native_caller,completeness_result,notes,item_id,area,what_is_supported,primary_citations,what_is_not_supported,safe_repeatability,risk_or_citation_gap
6SU IPC residual,work/luna_worker_phase6su_ipc_residual_20260810.csv,9fb343157e94c92ce78e482e01f6d70f9791a855dd96ca52baad1e1b8761bd2a,SU-01,Strong,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,95955-96026,ordinary-app or shell caller not established,checkCallingOrSelfPermission(amazon.permission.ADD_RM_PKG_METADATA),no clearCallingIdentity shown in bounded mutators,explicit user argument accepted,AmazonApplicationFlags flags/metadata mutators and writeToFile,permission holder/grant production UID/signing identity first consumer and any package/component/HOME edge,,,,,,,,,,,,,,,,,,,,,,,,,,,
6SU IPC residual,work/luna_worker_phase6su_ipc_residual_20260810.csv,9fb343157e94c92ce78e482e01f6d70f9791a855dd96ca52baad1e1b8761bd2a,SU-02,Unknown,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,95866-96037;96132-96136,caller and service-handle consumer not established,effective authorization for registerProxyReceiver/deregisterProxyReceiver not closed,Binder caller identity not attributable in bounded wrapper,user scope not established,proxy receiver registration/deregistration and broadcast-adjacent state,exact gate caller identity receiver target and downstream high-privilege consumer,,,,,,,,,,,,,,,,,,,,,,,,,,,
6SU IPC residual,work/luna_worker_phase6su_ipc_residual_20260810.csv,9fb343157e94c92ce78e482e01f6d70f9791a855dd96ca52baad1e1b8761bd2a,SU-03,Strong,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,45935-46108,external caller not established; checkPermission has system/root-style UID path,mapped permission branch plus checkPermission using Binder.getCallingUid,clearCallingIdentity/restoreCallingIdentity brackets UserManager write,explicit UserHandle(int) restriction target,DevicePolicyManagerService/UserManager.setUserRestrictionForUser,exact non-system caller permission mapping and any settings/package/HOME consumer,,,,,,,,,,,,,,,,,,,,,,,,,,,
6SU IPC residual,work/luna_worker_phase6su_ipc_residual_20260810.csv,9fb343157e94c92ce78e482e01f6d70f9791a855dd96ca52baad1e1b8761bd2a,SU-04,Strong,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,40453-40534;037072 onward,caller identity for prewarm/PIP wrappers not closed,method-local permission/enforcement visible in bounded service slices,preWarm uses clearCallingIdentity/restore; PIP identity transition unresolved,user argument for preWarm explicit; PIP scope/consumer unresolved,startProcessLocked and PIP visibility/control state,caller UID grant provenance and any package/component/HOME relation,,,,,,,,,,,,,,,,,,,,,,,,,,,
6SU IPC residual,work/luna_worker_phase6su_ipc_residual_20260810.csv,9fb343157e94c92ce78e482e01f6d70f9791a855dd96ca52baad1e1b8761bd2a,SU-05,Unknown,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,56070-56179,caller identity and effective wrapper permissions not closed,status-bar permission enforcement downstream for pinning; other wrapper gates unresolved,no bounded identity transition shown,window/display scope explicit for WMS calls; user scope not established,WMS lockNow/setOverscan/PIP visibility/status-bar stopAppPinningMode,exact caller gate identity and any launcher/package-state consumer,,,,,,,,,,,,,,,,,,,,,,,,,,,
6SU IPC residual,work/luna_worker_phase6su_ipc_residual_20260810.csv,9fb343157e94c92ce78e482e01f6d70f9791a855dd96ca52baad1e1b8761bd2a,SU-06,Strong,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,032760-0328e4,caller not established,DRAW_MAGNIFICATION_RECT permission helper check,no caller UID or identity transition shown,no explicit user scope,magnification canvas line/rectangle/clear sinks,no path to package/component/HOME or credential/settings sink and no production caller join,,,,,,,,,,,,,,,,,,,,,,,,,,,
6SU IPC residual,work/luna_worker_phase6su_ipc_residual_20260810.csv,9fb343157e94c92ce78e482e01f6d70f9791a855dd96ca52baad1e1b8761bd2a,SU-07,Strong,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,76246-76256;artifacts/phase6mq-profile-launcher-helper-20260810-01/evidence/profile-permission-check.txt:1-18,profile helper caller beyond service boundary not established,PROFILE_INTERACTION processId/userId permission check,identity and grant provenance unresolved,explicit process/user IDs in permission check; picker behavior is profile-scoped,profile picker/start activity helper rather than HOME/package writer,holder/grant exact caller and any omitted downstream state consumer,,,,,,,,,,,,,,,,,,,,,,,,,,,
6SU IPC residual,work/luna_worker_phase6su_ipc_residual_20260810.csv,9fb343157e94c92ce78e482e01f6d70f9791a855dd96ca52baad1e1b8761bd2a,SU-08,Unknown,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadInstaller.java,65-95,production controller/ordinary-app caller not established,metadata/sanity/recovery verification and DeviceSoftwareOTA signature|privileged boundary,Java-to-native caller identity and recovery identity unresolved,OTA file path/staging user context not fully closed,UpdateSystem.install to native recovery/updater boundary,exact PS7330 native implementation caller and post-install user delivery; updater partition capability intentionally excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,
6SV exported/protected surface,work/luna_worker_phase6sv_exported_surface_20260810.csv,b07ce35207afe09da343d573fe9969f1487fd7b0cf00463be73cb42a1394c27d,,,,,,,,,,,6SV-001,com.amazon.dcpms.fos.service,com.amazon.dcpms.fos.service.lifecycle.pca.profileswitch.PCAActiveProfileReceiver,receiver,true,,com.amazon.device.ACTION_ACTIVE_PROFILE_UPDATED,010_com.amazon.dcpms.fos.service.xmltree.txt:115-122,CDE profile type/OS user type or active-app list persistence; DeviceExperienceModeEvaluator.evaluate,no HOME/PMS package-state/OTA sink found; extras PROGRAM_ID and PACKAGE_NAME influence branch,producer and exact permission UNKNOWN,NEW_STATIC_UNKNOWN,manifest sha256 9e3446c2; PCAActiveProfileReceiver.java sha256 12ca9f35; UpdatePCAProfileTypeAndEvalHelper.java sha256 6435dc8f,,,,,,,,,,,,,,
6SV exported/protected surface,work/luna_worker_phase6sv_exported_surface_20260810.csv,b07ce35207afe09da343d573fe9969f1487fd7b0cf00463be73cb42a1394c27d,,,,,,,,,,,6SV-002,com.amazon.dcpms.fos.service,com.amazon.dcpms.fos.service.lifecycle.device.userswitch.DeviceUserSwitchReceiver,receiver,true,,android.intent.action.USER_SWITCHED,010_com.amazon.dcpms.fos.service.xmltree.txt:105-113,CDE PCA/profile type and OS user type persistence; child-mode active-app list clear; evaluator,USER_SWITCHED is protected; no HOME/PMS package-state/OTA sink found,protected action gate present but ordinary sender/producer not established,NEW_STATIC_UNKNOWN,manifest sha256 9e3446c2; DeviceUserSwitchReceiver.java sha256 0e7886d6; UpdateOSUserTypeAndEvalHelper.java sha256 e54679a5,,,,,,,,,,,,,,
