surface_family,source_csv,source_sha256,ID,status,source,hash,locator,caller,gate,identity,sink,remaining gap,route,exact_entry,intermediate_chain,observed_terminal_outputs,requested_sink_check,bounded_result,evidence,id,surface,source_config_shipped_evidence,native_artifact_result,exact_gap,candidate,category,public_3d68_file_status,public_finding_citation,report_sha256,source_anchor_hashes,result,safe_reproduction
6TA Amazon PM proxy,work/luna_worker_phase6ta_proxy_closure_20260810.csv,48de128b0f66b9d6f29bd207598ad35eb24c553a8b06a5ba8069533b9b682263,tx6 registerProxyReceiver,STATIC_IMPLEMENTATION_CONFIRMED; PRODUCTION_CALLER_UNKNOWN,boot-fosframework/disassembly.log; fosservices/disassembly.log; amazonpackagemanager_fosinit.xml; ProxyReceiverGateProbeActivity.java; Phase6IP result.json,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71; ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c; eb53e50cf72174eddcde25fd3538e4736d2cd4cb7866bab4e5bc2b70fc514286; 334fd9a1c43a02403d2e440664ab6f675bd9b89738fa3c2b06590c9ee92c0df5; e3ea96f68cfd82b1fdf11159f24deef398e47fde58884bc8a58f453e64ef2907,"boot-fosframework/disassembly.log:58337,403148-403190,403505-403530; fosservices/disassembly.log:95943-95954,97887-97986,97704-97754,97670-97699; fosinit:9-10","No production caller; Phase6IP ProxyReceiverGateProbeActivity.java:53-58,80-101 is TEST_ONLY; system-created PendingIntent provenance UNKNOWN","PendingIntent.getCreatorPackage() -> getApplicationInfo(package,128) -> ApplicationInfo.FLAG_SYSTEM; new action requires queryBroadcastReceivers(PendingIntent.getIntent(),0) non-empty; duplicate creator UID comparison",No clearCallingIdentity/restoreCallingIdentity in cited tx6 slices; no caller UID normalization,mOnTheFlyRegisteredIntents[action] -> Context.registerReceiver -> ProxyReceiver callback/ProxyIntentThread -> PendingIntent.send(); no HOME/PMS sink,Prior inventory hash f26b8134… has no path/artifact match; production caller/token provenance remains unresolved; no parcel inference,,,,,,,,,,,,,,,,,,,,
6TA Amazon PM proxy,work/luna_worker_phase6ta_proxy_closure_20260810.csv,48de128b0f66b9d6f29bd207598ad35eb24c553a8b06a5ba8069533b9b682263,tx7 deregisterProxyReceiver,STATIC_IMPLEMENTATION_CONFIRMED; CALLER_UID_OWNERSHIP_CONFIRMED; PRODUCTION_CALLER_UNKNOWN,boot-fosframework/disassembly.log; fosservices/disassembly.log; amazonpackagemanager_fosinit.xml; ProxyReceiverGateProbeActivity.java; Phase6IP result.json,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71; ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c; eb53e50cf72174eddcde25fd3538e4736d2cd4cb7866bab4e5bc2b70fc514286; 334fd9a1c43a02403d2e440664ab6f675bd9b89738fa3c2b06590c9ee92c0df5; e3ea96f68cfd82b1fdf11159f24deef398e47fde58884bc8a58f453e64ef2907,"boot-fosframework/disassembly.log:58322,402937-402982,403487-403510; fosservices/disassembly.log:95877-95888,97828-97878,97704-97754; fosinit:9-10","No production caller; Phase6IP ProxyReceiverGateProbeActivity.java:59-61,103-124 is TEST_ONLY; runtime caller-owned entry not established",No separate permission marker; removal requires stored PendingIntent.getCreatorUid() == Binder.getCallingUid(); missing map/action/entry returns false,No clearCallingIdentity/restoreCallingIdentity; Binder.getCallingUid() used directly,mOnTheFlyRegisteredIntents removal -> empty action/key cleanup -> Context.unregisterReceiver; no HOME/PMS sink,Prior inventory hash f26b8134… has no path/artifact match; legitimate registration provenance remains unresolved; no cross-UID test or parcel inference,,,,,,,,,,,,,,,,,,,,
6TB DCPMS consumer,work/luna_worker_phase6tb_dcpms_consumer_20260810.csv,cc70e7240c89aaa9a2659cad544d43b5818e564fe1f286216c0ba485c2291e2e,,,,,,,,,,,6TB-001 PCA active profile,com.amazon.dcpms.fos.service.lifecycle.pca.profileswitch.PCAActiveProfileReceiver,UpdatePCAProfileTypeAndEvalHelper -> CDEAttributesPersistenceService -> DeviceExperienceModeEvaluator.evaluate,device-protected CDE SharedPreferences; changed-decision DCPMS permission broadcast/Binder callbacks/optional ODOT enqueue,no PackageManager/Home/preferred/component-enabled/settings/OTA sink,NO_SINK_FOUND,Phase6SV 6SV-001; JADX PCAActiveProfileReceiver.java; UpdatePCAProfileTypeAndEvalHelper.java; DeviceExperienceModeEvaluator.java; CDEAttributesPersistenceService.java,,,,,,,,,,,,,
6TB DCPMS consumer,work/luna_worker_phase6tb_dcpms_consumer_20260810.csv,cc70e7240c89aaa9a2659cad544d43b5818e564fe1f286216c0ba485c2291e2e,,,,,,,,,,,6TB-002 user switched,com.amazon.dcpms.fos.service.lifecycle.device.userswitch.DeviceUserSwitchReceiver,enqueue UpdateOSUserTypeService and direct helper -> CDEAttributesPersistenceService -> evaluator,device-protected CDE SharedPreferences; same DCPMS decision outputs,no PackageManager/Home/preferred/component-enabled/settings/OTA sink,NO_SINK_FOUND,Phase6SV 6SV-002; JADX DeviceUserSwitchReceiver.java; UpdateOSUserTypeService.java; UpdateOSUserTypeAndEvalHelper.java,,,,,,,,,,,,,
6TB DCPMS consumer,work/luna_worker_phase6tb_dcpms_consumer_20260810.csv,cc70e7240c89aaa9a2659cad544d43b5818e564fe1f286216c0ba485c2291e2e,,,,,,,,,,,6TB-003 account property changed,com.amazon.dcpms.fos.service.lifecycle.device.userswitch.AccountPropertyChangeReceiver,UpdateOSUserTypeAndEvalHelper -> CDEAttributesPersistenceService -> DeviceExperienceModeEvaluator.evaluate,device-protected CDE SharedPreferences; same DCPMS decision outputs,no PackageManager/Home/preferred/component-enabled/settings/OTA sink,NO_SINK_FOUND,Phase6SV 6SV-003; JADX AccountPropertyChangeReceiver.java; UpdateOSUserTypeAndEvalHelper.java,,,,,,,,,,,,,
6TB DCPMS consumer,work/luna_worker_phase6tb_dcpms_consumer_20260810.csv,cc70e7240c89aaa9a2659cad544d43b5818e564fe1f286216c0ba485c2291e2e,,,,,,,,,,,6TB-004 global content sync,com.amazon.dcpms.fos.service.lifecycle.device.sync.GlobalContentSyncEventReceiver,GlobalContentSyncEventService -> ArcusSyncService.syncCDEPolicy -> remote-config callback/CDE remote-policy persistence,CDE remote-policy sync in DCPMS SharedPreferences; possible policy refresh only,no OTA apply/recovery or PackageManager/Home/preferred/component-enabled/settings sink,NO_SINK_FOUND,Phase6SV 6SV-004; JADX GlobalContentSyncEventReceiver.java; GlobalContentSyncEventService.java; ArcusSyncService.java,,,,,,,,,,,,,
6TB DCPMS consumer,work/luna_worker_phase6tb_dcpms_consumer_20260810.csv,cc70e7240c89aaa9a2659cad544d43b5818e564fe1f286216c0ba485c2291e2e,,,,,,,,,,,6TB-X VDEX independent launcher sink,AmazonUserManagerService.BinderService.enableKftLauncherComponent,framework VDEX setComponentEnabledSetting + setApplicationEnabledSetting for com.amazon.firelauncher,independent PMS/component mutation,not reached by any reviewed DCPMS CDE caller,NO_EDGE_ESTABLISHED,artifacts/phase6bk/ipc-ota-closure-20260810-01/method-map.csv rows 15 and 199,,,,,,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-01,GED proc /proc/ged,"ged_main.c:321-326,392; CONFIG_MTK_GPU_SUPPORT; prior GED policy/debugfs labels",libged.so/libged_kpi.so/libged_sys.so inventory only; no exact path-specific ELF open/read/write/ioctl call site; shell query-only telemetry excluded,shipped native proc caller,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-02,GED debugfs /sys/kernel/debug/ged/*,ged_debugFS.c:114-173; GED/debugfs file-context label,GED library names only; no exact debugfs path operation and call site,shipped ELF debugfs caller,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-03,Vcodec /dev/Vcodec,"videocodec_kernel_driver.c:1846,2972-2981,3112-3134; CONFIG_MTK_VIDEOCODEC_DRIVER=y; vendor label",libvcodec_oal.so/libvcodec_utility.so presence only; no exact /dev/Vcodec open/ioctl call-site/relocation tuple,shipped Vcodec node caller,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-04,camera ISP /dev/camera-*,camera ISP registration/ioctl source; CONFIG_MTK_CAMERA_ISP_*; camera vendor labels,no exact camera path joined to shipped ELF open/ioctl call site; HAL identity excluded,shipped camera node caller,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-05,sensor misc nodes,sensor source/factory/ioctl paths; CONFIG_MTK_SENSOR_SUPPORT=y; sensor vendor labels,no exact sensor path plus shipped ELF open/ioctl call-site/relocation tuple; HAL presence excluded,shipped sensor node caller,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-06,thermal proc /proc/mtkcooler and /proc/mtktz,"mtk_thermal_monitor.c:234-249,1089-1100,1615-1616; thermal/writable-trip config",no exact proc path and native ELF read/write call site,shipped thermal proc caller,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-07,USB SSUSB sysfs mode/reg/cmode,"ssusb_sysfs.c:153,326,330,343-345; USB MU3D/SIB config",no exact sysfs attribute plus shipped ELF write call site,shipped USB sysfs writer,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-08,Type-C typec%u device/sysfs,"typec-ioctl.c:691-707,745-756; adjacent USB/PMIC config",no exact /dev/typec* or Type-C sysfs path joined to ELF open/write/ioctl call site,shipped Type-C caller,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-09,PMIC debugfs dump_pmic_reg,"upmu_debugfs.c:127,165,203,323-351; PMIC common/AUXADC/MT6358 config",no exact PMIC debugfs path plus native ELF write/ioctl call site,shipped PMIC debugfs caller,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-10,PMIC 0664 device attrs,"upmu_debugfs.c:127,165,203; selected PMIC config",no exact attribute path and shipped ELF read/write call site,shipped PMIC sysfs caller,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-11,Amazon IDME /proc/idme/*,amzn_idme.c:315-344; CONFIG_AMZN_IDME=y; proc/policy/init evidence; source read/seq-only,IDME HAL libraries only; no exact /proc/idme string plus open/read call site or relocation chain,shipped IDME proc reader,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-12,Amazon lifecycle /proc/life_cycle_reason,amzn_sign_of_life.c:255-265; read-only 0444; lifecycle config,no exact proc reader ELF string/call site; kernel setter is not userspace caller,shipped lifecycle proc reader,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-13,Amazon metrics/vitals /dev/metrics and /dev/vitals,amzn_logger.c:696-738; read/poll/open/release-only misc fops; metrics config,no exact device path plus shipped ELF open/read/poll call site,shipped metrics/vitals reader,,,,,,,,
6TC native caller join,work/luna_worker_phase6tc_native_caller_join_20260810.csv,ce55b5b451d41626281892c7c39a0c33e1b6a0b751bd50b24ea7c681c930ada8,,UNKNOWN,,,,,,,,,,,,,,,,TC-14,Amazon diagnostics /proc/amzn_drvs/*,amzn_drv_test.c:784-841; CONFIG_AMZN_DRV_TEST absent; prior shipped snapshot lacks node,no shipped ELF caller; package/diagnostic HAL names are not path-specific,shipped delivery and exact native caller,,,,,,,,
6TD unintegrated evidence,work/luna_worker_phase6td_unintegrated_evidence_20260810.csv,be49c8a2f5785c9e717c1519adf5383b04e56df51280a8b61b97a4762507f84c,,,,,,,,,,,,,,,,,,,,,,,work/luna_worker_kernel_driver_privilege_inventory_20260810.md,driver caller/root boundary,absent from 3d68f0046,"No exact report-path citation; thematic results are represented by findings/phase-6bq-ged-readonly-ioctl.md, findings/phase-6ha-p5-driver-reaudit-ged-cmdq-boundary.md, findings/phase-6np-ion-and-control-surface-closure.md, and output/tables/phase6pr-privilege-route-matrix.csv",e23ba3fdc78ccc063ac229b90e144216f8782fe7699d9521cb9ae2e040cbe2b9,kernel/source-manifest.json and embedded config are named but their hashes are not reproduced in this report,Host-only inventory: PS7331 futex/rtmutex remains source candidate; GED shell query is confirmed low-impact telemetry; CMDQ secure metadata is a static potential OOB candidate; ION/proc/sysfs/debug surfaces lack ordinary-app caller and privilege-transition proof.,Yes; safely re-read/hash existing source/policy/artifact files only. No runtime or driver action.
