field,value,source_file,classification
product_model,KFTRWI,target_id.stdout.txt,Confirmed
product_device,trona,target_id.stdout.txt,Confirmed
build_fingerprint,"Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p,release-keys",target_id.stdout.txt,Confirmed
security_patch,2024-08-01,target_id.stdout.txt,Confirmed
verified_boot_state,green,target_id.stdout.txt,Confirmed
home_resolved_component,com.amazon.firelauncher/.Launcher,home_resolve.stdout.txt,Confirmed
home_resolved_priority,50,home_resolve.stdout.txt,Confirmed
fire_activity_resumed,com.amazon.firelauncher/.Launcher,activity.stdout.txt,Confirmed
current_focus,com.amazon.firelauncher/com.amazon.firelauncher.Launcher,window.stdout.txt,Confirmed
fire_user0_enabled_state,0,firelauncher_package.stdout.txt,Confirmed
user_count,2,users.stdout.txt,Confirmed
