surface_family,source_csv,source_sha256,id,source/hash/path,method/line,caller,gate,user scope,sink,reachability,classification,next safe step,caller_identity,shipped_elf_or_process,uid_domain,node_path,policy_edge,evidence_offset_method,safe_next_step,area,evidence_or_issue,public_commit_check,citation_fix,next_minimal_host_action
6TJ H2 bind/client,work/luna_worker_phase6tj_h2_bind_clients_20260810.csv,5302b138f93d3ab4397fc3eac67b71c2dab014d25f989b9a84b674686de5131a,6TJ-A-01,phase6bk XML-tree SHA256=f14670a78cdbddf4c46375d78e1607fe491c33fd4d807de57abfe5e2b5300242; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/017_com.amazon.h2clientservice.xmltree.txt,service line 85; tree output lines 102-110,intent action com.amazon.alta.h2shared.aidl.IH2ClientService,custom BIND_SERVICE on service; exported=true; singleUser=true; directBootAware=true,service package is single-user; downstream calls receive explicit household/profile IDs,H2ClientService.onBind -> IH2ClientService.Stub,UNKNOWN external caller; manifest registration POSITIVE,POSITIVE,Host-only compare any additional exact-build manifest; no bind/call,,,,,,,,,,,,
6TJ H2 bind/client,work/luna_worker_phase6tj_h2_bind_clients_20260810.csv,5302b138f93d3ab4397fc3eac67b71c2dab014d25f989b9a84b674686de5131a,6TJ-A-02,same XML-tree SHA256=f14670a78cdbddf4c46375d78e1607fe491c33fd4d807de57abfe5e2b5300242; .../017_com.amazon.h2clientservice.xmltree.txt,permission line 46; tree lines 69-73,service declaration references com.amazon.alta.h2clientservice.permission.BIND_SERVICE,protectionLevel=0x2 (signature),permission is package-defined; holder not established,signature permission declaration,signature gate POSITIVE; accepted caller UNKNOWN,POSITIVE,Host-only map custom permission holders/signatures from preserved manifests/policy,,,,,,,,,,,,
6TJ H2 bind/client,work/luna_worker_phase6tj_h2_bind_clients_20260810.csv,5302b138f93d3ab4397fc3eac67b71c2dab014d25f989b9a84b674686de5131a,6TJ-A-03,phase6mc permission-holder audit SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18; permission-holders.csv H2 row; summary.json,permission-holders.csv row com.amazon.alta.h2clientservice; summary limitations,package-state observation only,audit lists MANAGE_USERS/WRITE_SECURE_SETTINGS/CHANGE_COMPONENT_ENABLED_STATE; custom BIND_SERVICE absent,package UID 10012; no caller identity inference,platform permission grants only; no custom holder/grant proof,custom holder/grant UNKNOWN,UNKNOWN,Use only preserved host artifacts; do not infer custom grant from platform grants,,,,,,,,,,,,
6TJ H2 bind/client,work/luna_worker_phase6tj_h2_bind_clients_20260810.csv,5302b138f93d3ab4397fc3eac67b71c2dab014d25f989b9a84b674686de5131a,6TJ-A-04,phase6mc Alta JADX; H2ClientService.java SHA256=a4d9635e5f3138ecc0eeaddbfa5d06f10f46651dd6925bac991c7ce8937bd1ba; IH2ClientService.java SHA256=33a17bb1f799b957be3e5545508f3f8e34c954eb140ee25d0bb72b2724fc3014,IH2ClientService.java:4-710 generated contract; H2ClientService.java:104-267 sole recovered implementation,bounded corpus search; no non-generated client source,service signature gate; no client-specific gate recovered,client user scope not applicable,only generated AIDL plus service Stub found; receiver references are internal service starts,NEGATIVE only within bounded corpus,NEGATIVE,Repeat host-only search if more exact-build source/APK artifacts are preserved,,,,,,,,,,,,
6TJ H2 bind/client,work/luna_worker_phase6tj_h2_bind_clients_20260810.csv,5302b138f93d3ab4397fc3eac67b71c2dab014d25f989b9a84b674686de5131a,6TJ-A-05,H2ClientService.java SHA256=a4d9635e5f3138ecc0eeaddbfa5d06f10f46651dd6925bac991c7ce8937bd1ba; AddUserAPICall.java SHA256=b1564222013828d9fee4ec5b1562667255c43408b27b2f8d7819e5708d925d47; HouseholdController.java SHA256=7aa16fa2e04e4c246135ca45f5c2954b4dd2aa6d4f880addebf4c865d6c71d74,"H2ClientService.java:124-127; AddUserAPICall.java:10-14,29-33; HouseholdController.java:323-373; CreateAndroidUserCommand.java:20-37; AndroidUserHelper.java:78-90",IH2ClientService.addUser -> AddUserAPICall -> HouseholdController.createUser,signature-bound service plus workflow input/positive-ID checks; no extra Binder identity gate proven,household-supplied adult/child profile; returned Android ID must be >0,AmazonUserManager.createAdultUser/createChildUser,static path POSITIVE; external caller UNKNOWN,POSITIVE,Host-only inspect additional caller provenance; no service invocation,,,,,,,,,,,,
6TJ H2 bind/client,work/luna_worker_phase6tj_h2_bind_clients_20260810.csv,5302b138f93d3ab4397fc3eac67b71c2dab014d25f989b9a84b674686de5131a,6TJ-A-06,H2ClientService.java SHA256=a4d9635e5f3138ecc0eeaddbfa5d06f10f46651dd6925bac991c7ce8937bd1ba; RemoveUserFromDeviceAPICall.java SHA256=84b8074e0e31838c3f7600d402fa6a21d4f926b5302aaac63a2ea765aa16a2fc,H2ClientService.java:226-236; HouseholdController.java:635-652; RemoveAndroidUserCommand.java:16-42; AndroidUserHelper.java:148-156,IH2ClientService.removeUserFromDevice -> RemoveUserFromDeviceAPICall -> HouseholdController.removeUserFromDevice,z=true callback failure; protected Android ID <10 rejected; helper rejects user 0,explicit household Android profile ID; user 0 protected,AmazonUserManager.removeAmazonUser; active profile may switch to user 0,static path POSITIVE; external caller UNKNOWN,POSITIVE,Host-only verify any additional caller; no removal or switch action,,,,,,,,,,,,
6TJ H2 bind/client,work/luna_worker_phase6tj_h2_bind_clients_20260810.csv,5302b138f93d3ab4397fc3eac67b71c2dab014d25f989b9a84b674686de5131a,6TJ-A-07,AndroidUserHelper.java SHA256=d13b354533ff60e96f8dcc8e3da3ecfc1b57ea5e7c0a0e4939119b5537487767,AndroidUserHelper.java:144-176,internal workflow/model paths; direct H2 Stub caller not joined,no Binder identity gate established in bounded source,explicit profile ID for per-profile settings; ordered profile IDs,MultipleProfileHelper.putStringForProfile; AmazonUserManager.setUserSortedList,internal sink POSITIVE; externally reachable H2 route UNKNOWN,UNKNOWN,Host-only join exact caller if preserved; no settings/user mutation,,,,,,,,,,,,
6TK ION provenance,work/luna_worker_phase6tk_ion_process_provenance_20260810.csv,48ebff7fafc83355210ddfa745e989d74786e518cf23b4aa4a1fe93daff9b33f,ION-P01,,,,,,ALLOC/FREE/MAP/SHARE/SYNC,,POSITIVE_LIBRARY_ONLY,,libion.so,/system/lib64/libion.so + VNDK copy,process unknown,/dev/ion,ion_device,Phase5 TSV 0xbd8 0xff8 0x1490 0x15c8 + nm/objdump,host dependency/load graph only,,,,,
6TK ION provenance,work/luna_worker_phase6tk_ion_process_provenance_20260810.csv,48ebff7fafc83355210ddfa745e989d74786e518cf23b4aa4a1fe93daff9b33f,ION-P02,,,,,,custom/cache/DMA,,POSITIVE_LIBRARY_ONLY,,libion_mtk.so,/vendor/lib64/libion_mtk.so,process unknown,/dev/ion,mtk_hal_camera allow,Phase5 TSV 0xd74 0xe90 0x112c 0x131c 0x151c 0x161c + nm/objdump,do not infer invocation from symbols,,,,,
6TK ION provenance,work/luna_worker_phase6tk_ion_process_provenance_20260810.csv,48ebff7fafc83355210ddfa745e989d74786e518cf23b4aa4a1fe93daff9b33f,ION-P03,,,,,,alloc_fd/sync/import/free/custom,,POSITIVE_ELF_LIBRARY_CALLER; UNKNOWN_TOP_LEVEL_PROCESS,,gralloc.mt8183.so,/vendor/lib64/lib64/hw/gralloc.mt8183.so,allocator HAL unknown,/dev/ion,hal_graphics_allocator/composer allows,DT_NEEDED; rela.plt 0x1fe10 0x1fe48 0x1fe50 0x1fe68 0x1fe70 0x1ffe8; nm-D,prove service-to-HAL load and call path,,,,,
