surface_family,source_csv,source_sha256,path,hash,line,declaration,holder,grant,caller,gate,classification,next_safe_step,id,edge_or_input,uid_domain,status,offset_or_lines,method,input_path,sha256,downstream_effect,old_citation,canonical_public_citation,hash_scope,claim_replacement,unknown_or_limit
6TM-A H2 permission,work/luna_worker_phase6tm_h2_permission_20260810.csv,3913d9157e16b7ff3e99f8df3ce21824cb650688a6be3173b2cd4c0fffb30a35,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/017_com.amazon.h2clientservice.xmltree.txt,f14670a78cdbddf4c46375d78e1607fe491c33fd4d807de57abfe5e2b5300242,69-74,custom BIND_SERVICE declared; protectionLevel raw 0x2 (signature),UNKNOWN,UNKNOWN,UNKNOWN,signature declaration positive,DECLARATION_CONFIRMED_PROVENANCE_OPEN,preserve exact-build owner/request/signing-policy artifacts; no bind/call,,,,,,,,,,,,,,
6TM-A H2 permission,work/luna_worker_phase6tm_h2_permission_20260810.csv,3913d9157e16b7ff3e99f8df3ce21824cb650688a6be3173b2cd4c0fffb30a35,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/017_com.amazon.h2clientservice.xmltree.txt,f14670a78cdbddf4c46375d78e1607fe491c33fd4d807de57abfe5e2b5300242,102-110,H2ClientService permission reference; exported=true singleUser=true directBootAware=true,UNKNOWN,UNKNOWN,UNKNOWN external caller,custom signature gate positive,EXPORTED_BUT_SIGNATURE_BOUND,host-only caller/signature join; no service invocation,,,,,,,,,,,,,,
6TM-A H2 permission,work/luna_worker_phase6tm_h2_permission_20260810.csv,3913d9157e16b7ff3e99f8df3ce21824cb650688a6be3173b2cd4c0fffb30a35,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp_permissions.xml,643cf114ed7d7b82a642fea650ed7d2f53b5dab2291e4f043c272cbe577df732,78-84,H2 privapp block lists platform permissions only,not_custom_holder_record,no custom grant entry,UNKNOWN,platform signature|privileged policy only,PLATFORM_GRANTS_DO_NOT_PROVE_CUSTOM_GRANT,obtain preserved exact-build custom-permission grant/owner policy,,,,,,,,,,,,,,
6TM-A H2 permission,work/luna_worker_phase6tm_h2_permission_20260810.csv,3913d9157e16b7ff3e99f8df3ce21824cb650688a6be3173b2cd4c0fffb30a35,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp-permissions-platform.xml; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/sysconfig/framework-sysconfig.xml,0b30c1624ffdab6c5454746737a060157276da5d2bd43addc74cd3919ae4aad1; bd6e7c52f1c036be4a770bd3be06d0c3a237d05f97921f47c2f652de59ca8fc3,bounded search,no custom BIND_SERVICE entry observed,UNKNOWN,UNKNOWN,UNKNOWN,no custom policy evidence,CUSTOM_HOLDER_GRANT_UNKNOWN,preserve additional exact-build permissions/sysconfig XML,,,,,,,,,,,,,,
6TM-A H2 permission,work/luna_worker_phase6tm_h2_permission_20260810.csv,3913d9157e16b7ff3e99f8df3ce21824cb650688a6be3173b2cd4c0fffb30a35,artifacts/phase6mc-permission-holder-audit-20260810-05/permission-holders.csv,1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18,8,H2 UID 10012 and platform grants observed,not_proven_custom_holder,custom UNKNOWN; platform grants observed,UNKNOWN,platform grant inventory,UID_PLATFORM_GRANT_NOT_CUSTOM_PROVENANCE,keep custom holder/grant UNKNOWN; do not infer from UID,,,,,,,,,,,,,,
6TM-A H2 permission,work/luna_worker_phase6tm_h2_permission_20260810.csv,3913d9157e16b7ff3e99f8df3ce21824cb650688a6be3173b2cd4c0fffb30a35,output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv,8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1,2,package signature inventory records e627f73a,UNKNOWN,does not prove custom grant,UNKNOWN,package signing identity only,PACKAGE_SIGNING_IDENTITY_CONFIRMED_CUSTOM_HOLDER_UNKNOWN,join against custom permission owner/grant/signature source,,,,,,,,,,,,,,
6TM-A H2 permission,work/luna_worker_phase6tm_h2_permission_20260810.csv,3913d9157e16b7ff3e99f8df3ce21824cb650688a6be3173b2cd4c0fffb30a35,artifacts/phase6mc-caller-provenance-20260810-01/caller-provenance.csv,fbb4f21dad1c3948bb3748fe7bcf652b6b136a6fb07e62cb4e7d7e6d51e1b11d,2-3,H2 onBind/AIDL and add-user path,UNKNOWN,signature-bound workflow only,external production package/signature UNKNOWN,BIND_SERVICE plus workflow checks,PRODUCTION_CALLER_UNKNOWN_PROFILE_WORKFLOW_STATIC_ONLY,inspect preserved upstream client APK/source; no bind/replay,,,,,,,,,,,,,,
6TM-A H2 permission,work/luna_worker_phase6tm_h2_permission_20260810.csv,3913d9157e16b7ff3e99f8df3ce21824cb650688a6be3173b2cd4c0fffb30a35,findings/phase-6tj-tl-report.md,90e677aa19f058e6e4dd5adacba27448809649bbdb8f947a023e7181dbf302b0,19-21;31-33,Phase 6TJ: holder/grant/external client unproven,UNKNOWN,UNKNOWN,UNKNOWN,caller-gate-identity-scope-sink acceptance rule,UNKNOWN_NOT_NEGATIVE,retain bounded UNKNOWN; no low-privilege/HOME claim,,,,,,,,,,,,,,
6TM-B ION loader,work/luna_worker_phase6tn_ion_loader_graph_20260810.csv,567ab073bbdbe2d4b7bba938236161902180f253ae7ecf687ed257febb952ae6,,,,,,,,,,,E01,gralloc.mt8183.so -> libion.so/libion_mtk.so,system/hal_graphics_allocator_default,POSITIVE_ELF_LIBRARY_CALLER,0x1fe10;0x1fe48;0x1fe50;0x1fe68;0x1fe70;0x1ffe8,DT_NEEDED+relocation+nm/objdump,artifacts/phase9/.../vendor-lib64/lib64/hw/gralloc.mt8183.so,a86dfa6105cb6aaf680b34b4ea4e1dbb57a510db295cc45a0b6d8c4c424aadee,ION alloc/sync/import/free/custom at ELF level only,,,,,
6TM-B ION loader,work/luna_worker_phase6tn_ion_loader_graph_20260810.csv,567ab073bbdbe2d4b7bba938236161902180f253ae7ecf687ed257febb952ae6,,,,,,,,,,,E02,gralloc internal dlopen/dlsym,system/hal_graphics_allocator_default,POSITIVE_ELF_EXACT_DLOPEN_TARGET,0xcb6;0x127b;0x12cb,strings+symbol inspection,artifacts/phase9/.../vendor-lib64/lib64/hw/gralloc.mt8183.so,a86dfa6105cb6aaf680b34b4ea4e1dbb57a510db295cc45a0b6d8c4c424aadee,target gralloc.mt6771.so; success/process UNKNOWN,,,,,
