field,value,evidence_file,evidence_sha256,classification
model,KFTRWI,adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,READONLY_OBSERVED
device,trona,adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,READONLY_OBSERVED
build_fingerprint,"Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p,release-keys",adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,READONLY_OBSERVED
build_incremental,0031575863172,adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,READONLY_OBSERVED
android_release,9,adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,READONLY_OBSERVED
android_sdk,28,adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,READONLY_OBSERVED
security_patch,2024-08-01,adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,READONLY_OBSERVED
verified_boot_state,green,adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,READONLY_OBSERVED
selinux,Enforcing,adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/security_state.stdout.txt,8223f9c69b7774be120c2f67b067ae1e46ed1b0f822e734404aa8ee51a3efa58,READONLY_OBSERVED
home_resolve,priority=50 preferredOrder=0 match=0x108000 specificIndex=-1 isDefault=true,adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/home_resolve.stdout.txt,d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6,READONLY_OBSERVED
home_candidates_fire,yes,adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/home_candidates.stdout.txt,e85ea12c0b49b54392725c6f2f440f7c2b84ae4fdf47f604b9571c17427957e6,READONLY_OBSERVED
user_list,UserInfo{REDACTED} running; UserInfo{REDACTED},adb/phase6tu/PHASE6TU-DEVICE-READONLY-20260810-01/users.stdout.txt,77c85e86968506e429692543f91390524d8450a2cb2426458a01146a6ae5f044,READONLY_OBSERVED
