surface_family,source_csv,source_sha256,id,component_or_service,entry_surface,exported_or_registration,caller_to_permission,identity,user_scope,sink_or_effect,classification,evidence_path,evidence_sha256,class_method_line_or_offset,next_safe_step,status,category,capability_or_observation,path,sha256,line_or_offset,evidence,claim_boundary,scope,artifact_or_source_path,symbol_line_offset,channel_or_node,source_registration,exact_image_or_node_evidence,caller_policy_effect,min_safe_followup,test_id,phase_scope,test_family,completed_activity,mutation,restore_reboot_state,conclusion,caller_gate_sink_gap,evidence_path_hash_scope,confidence,duplicate_or_excluded,safe_readonly_retest
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-01,AmazonActivityManagerService,IAmazonActivityManager tx1 preWarmApplicationForUser,system service registration; not an exported app component,Binder transaction -> checkCallingPermission(com.amazon.permission.APP_PREWARM); result consumption not visible in bounded slice,Binder.clearCallingIdentity/restoreCallingIdentity observed after gate; caller UID handling beyond slice UNKNOWN,user int parameter supplied; cross-user validation UNKNOWN,startProcessLocked/PackageManager/ActivityManager; no component-state or HOME setter,STRONG_STATIC,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonActivityManagerService.BinderService.preWarmApplicationForUser; impl lines 40453-40534; proxy line 394721; tx1,host-only inspect the full method and permission-result branch; no Binder invocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-02,AmazonActivityManagerService,IAmazonActivityManager tx5/tx6 observer registration,system service registration; not an exported app component,Binder transaction -> enforceCallingPermission(com.amazon.permission.ACTIVITY_SWITCH_WATCHER),No caller UID read in bounded implementation,user not exposed in bounded method,RemoteCallbackList and onActivityResume callback; no HOME selector or PackageManager writer,NOT_A_SINK,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonActivityManagerService.BinderService.registerActivitySwitchObserver/unregisterActivitySwitchObserver; lines 40535-40564 and 40660-40680; proxy lines 394752 and 394817; tx5/tx6,retain as callback-only surface; no runtime callback registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-03,AmazonActivityManagerService,IAmazonActivityManager tx9 isOnHomeStack,system service registration; not an exported app component,Binder transaction -> no permission marker in bounded method; caller reachability unresolved,Binder.clearCallingIdentity/restoreCallingIdentity observed,user not exposed in bounded method,isOnHomeStack observation only; no HOME selection/write,NOT_A_SINK,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonActivityManagerService.BinderService.isOnHomeStack; lines 40336-40373; proxy line 394601; tx9,host-only inspect upstream publication and full permission path; do not infer HOME control,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-04,AmazonDevicePolicyManagerService,IAmazonDevicePolicyManager tx1 setRestrictionForUser,system service registration; not an exported app component,Binder transaction -> permission/helper gate present; exact helper literal unresolved,No caller UID marker in bounded implementation,user int parameter supplied; admin/profile-owner validation not in bounded slice,setUserRestrictionForUser/ComponentName policy effect; no HOME or enabled-state writer,CONFIRMED,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonDevicePolicyManagerService.BinderService.setRestrictionForUser; lines 46101-46107; proxy line 397209; tx1,resolve helper permission source from existing host decompilation only; no policy API call,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-05,AmazonDevicePolicyManagerService,IAmazonDevicePolicyManager tx2 clearRestrictionForUser,system service registration; not an exported app component,Binder transaction -> permission/helper gate present; exact helper literal unresolved,No caller UID marker in bounded implementation,user int parameter supplied; admin/profile-owner validation not in bounded slice,setUserRestrictionForUser/ComponentName policy effect; no HOME or enabled-state writer,CONFIRMED,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonDevicePolicyManagerService.BinderService.clearRestrictionForUser; lines 46047-46053; proxy line 397125; tx2,resolve helper permission source from existing host decompilation only; no policy API call,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-06,AmazonPackageManagerService,IAmazonPackageManager tx1/tx2/tx4/tx5 metadata writers,system service registration; not an exported app component,Binder transaction -> checkCallingOrSelfPermission(amazon.permission.ADD_RM_PKG_METADATA); result consumed,No caller UID marker in bounded implementation,explicit user int parameter; cross-user gate not shown in bounded slice,"set/removeAmazonFlagsForUser and set/removeAmazonMetadataForUser; metadata state only, not enabled-state or HOME",STRONG_STATIC,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2a; no,AmazonPackageManagerService.BinderService.setAmazonFlagsForUser/removeAmazonFlagsForUser/setAmazonMetadataForUser/removeAmazonMetadataForUser; lines 95955-96026; proxy lines 403202-403318; tx1/2/4/5,join exact permission holder and cross-user checks from host artifacts; no setter replay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-07,AmazonPackageManagerService,IAmazonPackageManager tx6/tx7 proxy receiver map,system service registration; not an exported app component,Binder transaction -> no permission marker in bounded implementation; PendingIntent creator/UID checks are recorded in existing host table,register path has no direct Binder UID check in bounded slice; deregister compares registered creatorUid to Binder.getCallingUid,user not explicit; map is service-global in bounded slice,Context.registerReceiver/unregisterReceiver and PendingIntent.send; not HOME or PackageManager state,UNKNOWN,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonPackageManagerService.BinderService.registerProxyReceiver/deregisterProxyReceiver; lines 95943-95954 and 95877-95888; proxy lines 403148 and 402937; tx6/tx7,host-only resolve publication permission and creator/caller join; no service invocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-08,AmazonWindowManagerService,IAmazonWindowManager tx1 lockNow and tx5 setPipVisibility,system service registration; not an exported app component,Binder transaction -> no permission marker in bounded implementation; caller gate UNKNOWN,No caller UID or clearCallingIdentity marker in bounded slices,user not exposed in bounded methods,window/pinning effects only; no HOME/package-state sink shown,UNKNOWN,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonWindowManagerService.BinderService.lockNow/setPipVisibility; lines 56109-56126 and 56150-56156; proxy lines 400104 and 400177; tx1/tx5,host-only inspect full implementation and service permission declaration; do not invoke transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-09,AmazonUserManagerService,private Amazon user service tx path,private fosinit service; not exported app component,Internal BinderService path -> existing lifecycle/profile gates; external caller and bind contract not reconstructed in bounded Phase 6TO input,No new onTransact caller UID proof in this slice,UserInfo.id supplied to enableKftLauncherComponent; child/profile scope only,"setComponentEnabledSetting and setApplicationEnabledSetting for Tahoe/Fire/Launcher3; child/KFT scoped, not User-0 HOME",STRONG_STATIC,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AmazonUserManagerService.BinderService.enableKftLauncherComponent; lines 54297-54325; offsets 0x04320a/0x043228/0x043242,join existing user-scope gate evidence; no transaction replay and no User-0 claim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TO IPC sink audit,work/luna_worker_phase6to_ipc_sink_audit_20260810.csv,43b7c270de32105680b12969b1a8dbd5a84d37a82a06d5ae24d08d0185e469a5,TO-10,AppAdapterHandler,internal Amazon OOBE action,internal service callback; not exported component evidence,No remote caller in bounded writer; fixed lifecycle/action input,No Binder.getCallingUid/checkCallingPermission/hasCallerGotPermission in writer slice,fixed component and implicit lifecycle scope,PackageManager.setComponentEnabledSetting for com.amazon.tv.oobe/.RegistrationActivity; no HOME,NOT_A_SINK,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,AppAdapterHandler.goToRegistration; line 26056; offset 0x02ab0c,retain as fixed OOBE component writer; no external caller inference,,,,,,,,,,,,,,,,,,,,,,,,,,,,
