surface_family,source_csv,source_sha256,scope,path,sha256,line,class,permission,owner,owner_uid,package,uid,signing_digest,requested_permission,grant_or_policy,client_status,classification,next_safe_step,id,artifact_or_source_path,symbol_line_offset,channel_or_node,source_registration,exact_config_image_manifest,file_context_selinux_init_uevent,shipped_status,caller_effect,min_safe_followup,caller,gate,identity_user,sink,evidence_path,evidence_sha256,class_method_offset,provenance_note
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,3329-3334,PackageManager permission record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,,,,,sourcePackage plus prot=signature|amazon; packageSetting android.amazon.perm/1000,,OWNER_POSITIVE_EFFECTIVE_PACKAGE_MANAGER_RECORD,retain exact permission dump and do not infer owner from H2 UID/priv-app,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/017_com.amazon.h2clientservice.xmltree.txt,f14670a78cdbddf4c46375d78e1607fe491c33fd4d807de57abfe5e2b5300242,69-74,AndroidManifest XML-tree,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,com.amazon.alta.h2clientservice,UNKNOWN,,,,,declared protectionLevel raw 0x2 (signature); no requested-permission in this owner declaration,DECLARATION_POSITIVE_OWNER_RECONCILIATION_OPEN,join effective owner to preserved manifest/package inventory only,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,8542,PackageManager package record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.alta.h2clientservice,10012,e627f73a,UNKNOWN,declared permissions shows prot=signature; this is owner-side declaration record,not external client,OWNER_DECLARATION_RECORD_NOT_CLIENT,do not treat H2 UID/signature as custom holder or caller,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,7538,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.venezia,10076,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,8780,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.h2settingsfortablet,10130,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,11251,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.csapp,10077,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,11568,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.tahoe,10128,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,13410,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.kindle.otter.oobe,10023,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,15146,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.wifilocker,10069,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call,,,,,,,,,,,,,,,,,,,
6TW H2 owner/grant,work/luna_worker_phase6tw_h2_owner_grant_20260810.csv,44187e7f8a4325a19a5802894de6b21ab2e228b01d1b60b9ccf55ad4d35e53fb,exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,15880,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.ags.app,10046,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call,,,,,,,,,,,,,,,,,,,
