surface_family,source_csv,source_sha256,package,grant,uid,signing_digest,requested_permission,bindService,ServiceConnection,IH2ClientService,artifact_path,line,class,classification,notes,row_id,path,production_caller,tx_code,permission_or_helper,userinfo_id_source,cross_user_admin_gate,sink,scope,evidence,id,subject,owner_or_source,protection_or_identity,grant_or_eligibility,status
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,com.amazon.venezia,POSITIVE,10076,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,7538,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.,,,,,,,,,,,,,,,,
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,com.amazon.h2settingsfortablet,POSITIVE,10130,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,8780,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.,,,,,,,,,,,,,,,,
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,com.amazon.csapp,POSITIVE,10077,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,11251,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.,,,,,,,,,,,,,,,,
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,com.amazon.tahoe,POSITIVE,10128,e627f73a,POSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/022_com_amazon_tahoe.xmltree.txt,70,AndroidManifest XML-tree uses-permission,REQUESTED_PERMISSION_POSITIVE_BIND_CLIENT_UNKNOWN,Exact custom permission is declared; no exact H2 bind/callsite recovered in bounded client scan.,,,,,,,,,,,,,,,,
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,com.amazon.kindle.otter.oobe,POSITIVE,10023,e627f73a,POSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/029_com.amazon.kindle.otter.oobe.xmltree.txt,85,AndroidManifest XML-tree uses-permission,REQUESTED_PERMISSION_POSITIVE_BIND_CLIENT_UNKNOWN,Exact custom permission is declared; no exact H2 bind/callsite recovered in bounded client scan.,,,,,,,,,,,,,,,,
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,com.amazon.wifilocker,POSITIVE,10069,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,15146,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.,,,,,,,,,,,,,,,,
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,com.amazon.ags.app,POSITIVE,10046,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,15880,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.,,,,,,,,,,,,,,,,
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,com.amazon.parentalcontrols,POSITIVE,10058,e627f73a,POSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/001_com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.xmltree.txt,106,AndroidManifest XML-tree uses-permission,REQUESTED_PERMISSION_POSITIVE_BIND_CLIENT_UNKNOWN,Exact custom permission is declared; no exact H2 bind/callsite recovered in bounded client scan.,,,,,,,,,,,,,,,,
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,com.amazon.avod,POSITIVE,10106,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,18450,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.,,,,,,,,,,,,,,,,
6UA H2 grant/client,work/luna_worker_phase6ua_h2_grant_client_20260810.csv,19ff5c49265689cb0d0e64324760c29c85e1e34c86134b349e7f89bd2a95d306,com.amazon.kindle,POSITIVE,10052,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,19476,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.,,,,,,,,,,,,,,,,
