field,value,source_file,source_sha256,classification
model,KFTRWI,target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,Confirmed
device,trona,target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,Confirmed
build_fingerprint,"Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p,release-keys",target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,Confirmed
build_incremental,0031575863172,target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,Confirmed
android_release,9,target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,Confirmed
android_sdk,28,target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,Confirmed
security_patch,2024-08-01,target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,Confirmed
verified_boot_state,green,target_id.stdout.txt,9d6158ab236efb6b72489e2109f2220506048f0dc1c77a0230fde41f655e0ea5,Confirmed
selinux,Enforcing,security_state.stdout.txt,8223f9c69b7774be120c2f67b067ae1e46ed1b0f822e734404aa8ee51a3efa58,Confirmed
home_resolve,priority=50 preferredOrder=0 match=0x108000 specificIndex=-1 isDefault=true,home_resolve.stdout.txt,d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6,Confirmed
home_priority,50,home_resolve.stdout.txt,d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6,Confirmed
home_candidate_count,3,home_candidates.stdout.txt,e85ea12c0b49b54392725c6f2f440f7c2b84ae4fdf47f604b9571c17427957e6,Confirmed
fire_home_candidate,yes,home_candidates.stdout.txt,e85ea12c0b49b54392725c6f2f440f7c2b84ae4fdf47f604b9571c17427957e6,Confirmed
resumed_activity,com.amazon.firelauncher/.Launcher,activity.stdout.txt,5c1cd50d4e137a184cf1db16873d08bd8b5895b8df55247d0b160d29ce0a07c1,Observed
current_focus,com.amazon.firelauncher/com.amazon.firelauncher.Launcher,window.stdout.txt,52834e25b261e7e8deb13457f377ac9866bc67b1f02f97be1ece101eb7c5a364,Observed
fire_user0_state_line,User 0: ceDataInode=852182 installed=true hidden=false suspended=false stopped=false notLaunched=false enabled=0 instant=false virtual=false,firelauncher_package.stdout.txt,86b91e5270d8f737609fd64481d9d7414fdcb164a169a936d038dc58450336ef,Observed
user_count,2,users.stdout.txt,77c85e86968506e429692543f91390524d8450a2cb2426458a01146a6ae5f044,Confirmed
