surface_family,source_csv,source_sha256,evidence_id,package/class/method,source path and line/offset,caller,gate,identity,sink,confidence,bounded limitations,id,source_or_anchor,input_sha256,gate_or_input,privileged_sink,scope,assessment,surface,source_path,evidence_record,test_id,area,duplicate_family,test_condition,observed_result,status,evidence_paths_hashes,next_safe_static_readonly_target
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-001,com.amazon.android.server.pm/AmazonUserManagerService.BinderService.enableKftLauncherComponent(UserInfo),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54325; codeOff 0x431e2,IAmazonUserManager tx3; private BinderService,contract mapping; no method-local permission marker in selected body,supplied UserInfo.id; no clearCallingIdentity in selected body,enables Tahoe FreeTimeLauncherActivity; sets Fire and Launcher3 application state=2 for supplied user,high static,Child-user lifecycle sink; no proof of User 0 or ordinary-app reachability; no transaction sent.,,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-002,com.amazon.android.server.pm/AmazonUserManagerService.BinderService.setActiveProfileType(int),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54880-55020; findings/phase-6gm-amazon-user-manager-tx5-boundary.md,IAmazonUserManager tx5,checkManageUsersPermission,no clearCallingIdentity reported,writes active profile type / downstream child-key policy; no direct PMS HOME writer shown,high static,Policy-state sink only; ordinary app probe was rejected in preserved evidence; exact offsets are disassembly-derived.,,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-003,com.amazon.android.server.pm/AmazonUserManagerService.BinderService.setUserSortedList(List),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54800-54880; artifacts/phase6l/binder-contract-audit-20260805-02/contract-methods.csv,IAmazonUserManager tx1,checkManageUsersPermission in helper path,no clearCallingIdentity reported,writes sorted-user-list/profile ordering state,medium static,Contract mapping exists but complete body excerpt is bounded; no direct HOME resolver write established.,,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-004,com.amazon.android.server.pm/AmazonPackageManagerService.BinderService.setAmazonFlagsForUser(...) / setAmazonMetadataForUser(...),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:95866-96009; artifacts/phase6l/binder-contract-audit-20260805-02/contract-methods.csv,IAmazonPackageManager tx1/4,permission/error branch markers; private service registration,no clearCallingIdentity shown in selected rows,writes Amazon per-user metadata/flags; not a standard enabled/component/preferred-HOME sink,medium static,Exact permission name/complete branch not reconstructed; shell handle denied in preserved runtime evidence.,,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-005,com.amazon.android.server.wm/AmazonWindowManagerService.BinderService.lockNow(Bundle),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:56070-56157; contract-methods.csv window rows,IAmazonWindowManager tx1,permission enforcement marker; service check not found,no clearCallingIdentity shown,lock-screen/window state; no package/profile/settings/OTA/HOME sink established,high static,Potentially disruptive method was not invoked.,,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-006,com.amazon.android.server.input/AmazonInputManagerService.BinderService.inject(...) / injectSequence(...),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:19508-19714; artifacts/phase6q/binder-service-audit-20260805-03/binder-method-candidates.csv,amazon_input / amazon_keyevent Binder surface,getCallingUid plus permission/signature-or-privileged markers and SecurityException paths,no clearCallingIdentity in selected rows,input injection/callback effects; indirect Home-key influence only,high static,Driver/input methods were not invoked; static rows do not prove runtime reachability.,,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-007,com.amazon.android.os/MigrationService.BinderService.migrateData(String),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:33003-33133; 33871-33891,IMigrationManager tx1,checkCallingOrSelfPermission(MOUNT_UNMOUNT_FILESYSTEMS),no getCallingUid or identity clear in recovered method,storage migration state/volume paths; fixed Fire availability refresh broadcast but no package-state/HOME writer,high static,Refresh broadcast is not evidence of component mutation; no Binder call made.,,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-008,com.android.server.devicepolicy/DevicePolicyManagerService.addPersistentPreferredActivity(...),decompiled/jadx/systemui/sources/com/android/server/devicepolicy/DevicePolicyManagerService.java:6742-6759,IDevicePolicyManager tx100; active admin/profile owner,"getActiveAdminForCallerLocked(who,-1)",clearCallingIdentity then restore,delegates to IPackageManager.addPersistentPreferredActivity and flushPackageRestrictionsAsUser,high static,Owner validation is not independently re-derived here; preserved reports document shell UID 2000 rejection.,,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-009,com.android.server.pm/PackageManagerService.addPersistentPreferredActivity(...),decompiled/jadx/systemui/sources/com/android/server/pm/PackageManagerService.java:13212-13220; IPackageManager tx73 mapping 13345-13376,system-server/DPM delegated caller,Binder.getCallingUid()==1000; SecurityException otherwise,no identity clear in PMS sink; DPM clears before delegation,persistent preferred records and future HOME resolution,high static,UID gate is explicit; no caller transaction sent.,,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-010,com.android.server.pm/PackageManagerService.setApplicationEnabledSetting(...) / setComponentEnabledSetting(...),decompiled/jadx/systemui/sources/com/android/server/pm/PackageManagerService.java:13731-13758; helper gate 13839-13845,IPackageManager Binder contract,setEnabledSetting path; CHANGE_COMPONENT_ENABLED_STATE and user checks,Binder.getCallingUid used in helper; no clearCallingIdentity in shown entry,package/component enabled state for a user,high static,JADX helper body is partially incomplete; no bypassability inferred.,,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-011,com.android.server.pm/PackageManagerService.setPackagesSuspendedAsUser(...),decompiled/jadx/systemui/sources/com/android/server/pm/PackageManagerService.java:9370-9379,IPackageManager Binder contract,method body not decompiled; nearby UID/permission checks present,identity behavior of omitted body unknown,package suspension state,bounded candidate,"Explicitly not decompiled; candidate only, not proof of weakness.",,,,,,,,,,,,,,,,,,
6UI IPC privileged sinks,work/luna_worker_phase6ui_ipc_sinks_20260810.csv,5dc944d2f618ede728cf83de0d8c9f00af9f9aad51c32d596936c2e7a7deed82,IPC-012,com.android.server.pm/PackageManagerService.replacePreferredActivity(...),decompiled/jadx/systemui/sources/com/android/server/pm/PackageManagerService.java:12985-13015,IPackageManager Binder contract,enforceCrossUserPermission plus SET_PREFERRED_APPLICATIONS check/enforce,Binder.getCallingUid captured before gate; no clearCallingIdentity shown,"ordinary preferred activity records, potentially affecting HOME selection",high static,Preferred is not persistent; no Fire-specific special case shown; no transaction sent.,,,,,,,,,,,,,,,,,,
6UJ OTA post-install,work/luna_worker_phase6uj_ota_postinstall_20260810.csv,437c6aeb639b38fb1203261d75d129d3b4047376b2396c3bf0e7f1c82cbb568e,,,,,,,,high,,INV-01,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin:ZIP metadata/member inventory,9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,release-keys; release; product trona; ota-type BLOCK,system/vendor/boot-chain payload members,full device update,exact local package present; no execution,,,,,,,,,,,
6UJ OTA post-install,work/luna_worker_phase6uj_ota_postinstall_20260810.csv,437c6aeb639b38fb1203261d75d129d3b4047376b2396c3bf0e7f1c82cbb568e,,,,,,,,high,,INV-02,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:1-2,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,build timestamp and ro.product.device==trona,abort gate before update,package-level,confirmed static gate,,,,,,,,,,,
6UJ OTA post-install,work/luna_worker_phase6uj_ota_postinstall_20260810.csv,437c6aeb639b38fb1203261d75d129d3b4047376b2396c3bf0e7f1c82cbb568e,,,,,,,,high,,INV-03,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:6-10,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,script-controlled block_image_update,system and vendor block devices,privileged recovery,confirmed sink; expected OTA behavior,,,,,,,,,,,
6UJ OTA post-install,work/luna_worker_phase6uj_ota_postinstall_20260810.csv,437c6aeb639b38fb1203261d75d129d3b4047376b2396c3bf0e7f1c82cbb568e,,,,,,,,high,,INV-04,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:13-23,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,script-controlled package_extract_file,boot/preloader/lk/tee1/tee2/spmfw/sspm_1/cam_vpu1-3,boot chain,confirmed sink; expected OTA behavior,,,,,,,,,,,
6UJ OTA post-install,work/luna_worker_phase6uj_ota_postinstall_20260810.csv,437c6aeb639b38fb1203261d75d129d3b4047376b2396c3bf0e7f1c82cbb568e,,,,,,,,high,,INV-05,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:24,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,script-controlled extraction,target.blocklist -> /cache/recovery/last_blocklist,recovery cache,confirmed static write,,,,,,,,,,,
6UJ OTA post-install,work/luna_worker_phase6uj_ota_postinstall_20260810.csv,437c6aeb639b38fb1203261d75d129d3b4047376b2396c3bf0e7f1c82cbb568e,,,,,,,,high,,INV-06,firmware/extracted/PS7331/META-INF/com/google/android/update-binary,0x02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,RegisterInstallFunctions 0x406978; handler registry,package_extract_file/getprop/apply_patch/run_program/write_value/reboot_now,updater interpreter,static symbol evidence,,,,,,,,,,,
6UJ OTA post-install,work/luna_worker_phase6uj_ota_postinstall_20260810.csv,437c6aeb639b38fb1203261d75d129d3b4047376b2396c3bf0e7f1c82cbb568e,,,,,,,,high,,INV-07,artifacts/phase6md-native-updater-path-audit-20260810-02/path-write-call-edges.csv:1-23,7dc9e3ef02a86d978d59736440bad0273288d83c71b8e7117eefb96c7bfffdbb,indirect handler dispatch,open/write/rename/chown/ota_open/ota_write,update-binary process,selected direct edges; no runtime reachability,,,,,,,,,,,
6UJ OTA post-install,work/luna_worker_phase6uj_ota_postinstall_20260810.csv,437c6aeb639b38fb1203261d75d129d3b4047376b2396c3bf0e7f1c82cbb568e,,,,,,,,high,,INV-08,artifacts/phase6mm-updater-blockimage-20260810-01/block-image-registration.csv:1-6; selected-functions.csv:1-13,778bc4774b4ade436bd979b366c1f3c8e9a1ce91fe6aa2d306040d32629cebcb,block_image_update -> BlockImageUpdateFn -> PerformBlockImageUpdate,WriteToPartition/open/chown/rename,system/vendor block update,static indirect-dispatch closure,,,,,,,,,,,
