surface_family,source_csv,source_sha256,surface,source_config,shipped_object_module,dt_init,node_mode_label,caller,effect,anchors,input_hashes,confidence,verdict,evidence_id,artifact_or_hash,source_symbol_anchor,gate_or_identity,sink_or_effect,status,remaining_unknown,id,evidence_type,path,line_or_offset,observation,static_anomaly,reachability_status,sha256,edge,source_presence,registration,handle_visibility,method_gate,effect_or_sink,missing_edge,input_refs,csv_parse_note
6UN native node join,work/luna_worker_phase6un_native_node_join_20260810.csv,bceef4c32150d91e9b006a251d6cee85931947ad818aaee32d6c18c188d024f0,CMDQ/MDP,platform.tar: kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c; kernel.config CONFIG_MTK_CMDQ=y CONFIG_MTK_CMDQ_TAB=y,CONFIG-selected built-in is supported by preserved Image/config; exact vmlinux symbol-to-Image inclusion and any separate .ko packaging UNKNOWN; source registers chrdev/device_create for mtk_cmdq,"Source OF match mediatek,gce at cmdq_driver.c:52-53; init path alloc_chrdev_region/device_create at :848-865; no Android init rc registration found in supplied source/image inventories; trona DTS checked but no CMDQ node anchor preserved","/dev/mtk_cmdq name is source-defined; char-node mode, ueventd rule, file_contexts type, and vendor allow/domain join UNKNOWN; proc debug entries are source mode 0440 at :816-824; sysfs attrs owner read/write at :894-898",No native framework/HAL client or direct open/ioctl caller established in selected APK/JAR/native inventories; no device operation performed,Async command/wait/readback and MDP register/display/DMA effects are possible from source; PackageManager/Settings/HOME/privilege effect UNKNOWN,"cmdq_driver.c:52-53,816-824,848-865,894-898; mdp_ioctl_ex.c:332-405,602-729; kernel.config:1247-1248",platform.tar=69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; boot.img=cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b,medium,PARTIAL: source/config and DT driver match confirmed; shipped node policy and caller join UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,
6UN native node join,work/luna_worker_phase6un_native_node_join_20260810.csv,bceef4c32150d91e9b006a251d6cee85931947ad818aaee32d6c18c188d024f0,ION,platform.tar: kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/ion.c and .../ion/mtk/ion_drv.c; kernel.config CONFIG_ION=y CONFIG_MTK_ION=y,CONFIG-selected built-in is supported by preserved Image/config; exact object symbol/inclusion and module packaging UNKNOWN; ion_drv.c:703 creates ion device and :832-872 registers platform driver,No matching DT node/compatible or Android init registration established in checked trona DTS/init inventories; ION creation is platform-driver/source driven; DT/init edge UNKNOWN,"Saved prior metadata records /dev/ion mode 0666 owner system:graphics label ion_device, but this phase input does not contain final ueventd/file_contexts/TE source; debugfs policy likewise UNKNOWN",Bounded selected 307 APK/JAR/native scan found no direct ION client marker; GPU/native HAL caller and exact open/ioctl path UNKNOWN; no open/ioctl performed,Allocation/free/map/share/import/sync/custom ioctl can affect memory/DMA state; package/settings/HOME/privilege effect UNKNOWN,"ion.c:1502-1658,1906-1956; ion_drv.c:703-705,832-872; kernel.config:3532-3535",platform.tar=69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; selected-manifest=b098f85287a729d03cfac1ac6f767a3ba6a15ce8c65d7f9e581cbbed75448a74,medium,"PARTIAL: source/config and saved metadata join; final policy, DT/init, and caller remain UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,
6UN native node join,work/luna_worker_phase6un_native_node_join_20260810.csv,bceef4c32150d91e9b006a251d6cee85931947ad818aaee32d6c18c188d024f0,Amazon-LD,platform.tar: kernel/mediatek/mt8183/4.4/drivers/staging/amazon/amzn_ld.c; kernel.config CONFIG_AMAZON_LD=y CONFIG_AMAZON_LD_SWITCH=y,Config-selected built-in is supported by preserved Image/config; exact object symbol/inclusion not independently closed; module_param values at amzn_ld.c:27-28 and platform_driver_register at :896,"DT compatible amzn,ld at amzn_ld.c:878-879; platform driver registration at :883-896; no matching amzn,ld node found in checked trona_hvt DTS (only unrelated LDO/ld strings); no init rc registration found; DT instance UNKNOWN","Sysfs attrs stop_detection/ctrl_mode/threshold_l/threshold_h/sleep_interval declared 0664 at amzn_ld.c:638,663,687,711,737; module params 0664 at :27-28; final ueventd is not applicable to sysfs, file_contexts/TE/domain allow and exact runtime label UNKNOWN",No native framework/HAL client or direct sysfs/module-param caller established; saved shell audit reported no user attrs and denied module parameters; no write performed,Liquid/thermal/USB behavior and control thresholds may change if instantiated and authorized; package/settings/HOME/privilege effect UNKNOWN,"amzn_ld.c:27-28,618-638,649-663,673-711,721-738,878-896; kernel.config:3563-3564",platform.tar=69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; boot.img=cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b,medium,"PARTIAL: config/source and driver registration confirmed; DT instance, policy label, and caller reachability UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,none host inventory,,,,,,6UO-01,OTA container sha256=9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin:metadata/member inventory,PS7331.4463 / Fire OS 7.3.3.1; product trona; BLOCK; release-keys/release,package identity,VERIFIED,Exact package provenance is local-only; no execution,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,Recovery/updater context implied by package,,,,,,6UO-02,updater-script sha256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:1-2,build timestamp anti-newer-build check; ro.product.device == trona,abort gate before update,VERIFIED,Runtime evaluation not performed,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,Edify dispatch into recovery updater,,,,,,6UO-03,updater-script sha256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,updater-script:6-10,fixed system/vendor block-image commands,system/vendor block devices,VERIFIED,Static script-to-handler runtime dataflow not executed,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,Edify dispatch into recovery updater,,,,,,6UO-04,updater-script sha256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,updater-script:13-24,fixed boot-chain/firmware members; target.blocklist,boot/preloader/LK/TEE/SPMFW/SSPM/camera and /cache/recovery/last_blocklist,VERIFIED,Expected full-OTA sink; no partition mutation,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,OTA package verifier context,,,,,,6UO-05,otacert sha256=5d52405362dcc9e755a4d972074ac7f886a5450e18fb6a6c2c2dad2b55730fe1,firmware/extracted/PS7331/META-INF/com/android/otacert:member,certificate member present,certificate input to verification,VERIFIED-PRESENCE,Accepted key/cryptographic replay not established,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,DeviceSoftwareOTA verifier,,,,,,6UO-06,metadata sha256=9501caa9c986904bda3fe0f5e0f21134f968edaf30a4949779357d2aeb66bbf2,firmware/extracted/PS7331/META-INF/com/android/metadata:member,post-build/incremental/timestamp/product/signature metadata,OTA admission decision,VERIFIED-CONTRACT,Arbitrary package was not verified,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,DeviceSoftwareOTA privileged controller,,,,,,6UO-07,Java OTA corpus; SideloadMetadataChecker APK sha256=35b2cd7ab72549277b691e603039a155d26a9a850c753f80c7cda968053c88ce,"OSUpdateValidator.java:73-78; RecoverySystemWrapper.java:21-23; SideloadVerifier.java:31-48,55-59","hash, metadata/sanity, product/device/PVT and RecoverySystem.verifyPackage",verified-package handoff,VERIFIED-EDGE,Platform recovery verifier and native caller identity missing,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,DeviceSoftwareOTA install context,,,,,,6UO-08,Java OTA corpus,"SideloadInstaller.java:65-84,87-95; SideloadMover.java:31-44",integrity/recovery-check path; basename staging to OTA external-data directory,FileHelper.moveFile then install staging,VERIFIED-EDGE,canonicalPath/NOFOLLOW/race/native flags unknown; no traversal test,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,DeviceSoftwareOTA privileged context,,,,,,6UO-09,Java OTA corpus,UpdateSystemWrapper.java:33-44,path remap and OTA state handling before API call,UpdateSystem.install API boundary,VERIFIED-EDGE,Recovery handoff after API boundary missing,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,recovery/updater context only,,,,,,6UO-10,update-binary sha256=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,update-binary:main 0x400cac/0x400cb0; RegisterInstallFunctions 0x406978; RegisterFunction 0x41d528,Edify callback registry; indirect command dispatch,package_extract_file/block_image_update/write_value/run_program and related handlers,CAPABILITY-VERIFIED,ELF not executed; no shell/ordinary-app caller,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,registered native handler,,,,,,6UO-11,update-binary sha256=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,PackageExtractFileFn 0x401fb8 -> ota_open 0x426338; ota_write 0x426d58,package extraction and file I/O path,open/write/fsync/close/extracted file,CAPABILITY-VERIFIED,Archive path policy and runtime arguments unknown,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,recovery/updater context only,,,,,,6UO-12,update-binary plus phase6MM/phase6MD derived call-edge tables,block_image_update -> BlockImageUpdateFn -> PerformBlockImageUpdate; VerifyBlocks; WriteToPartition 0x413c40/0x413dcc-0x4142f0,block verification markers and fixed script targets,open/chown/rename; ota_open -> ota_write -> libc write,CAPABILITY-VERIFIED,"Indirect CFG, runtime target and caller identity unknown",,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,PerformBlockImageUpdate,,,,,,6UO-13,phase6NE direct-call-edges.csv sha256=d653e4a84898509781a333c56502087a83981781fcf6612d7026bfd79602b477,MakeFreeSpaceOnCache 0x417778-0x417fc4 -> __readlink_chk 0x4ce4e8; CacheSizeCheck,cache-size/free-space helper control,stat/unlink/readlink-family cache handling,BOUNDED-UNKNOWN,No direct selected canonicalization-to-write edge; no symlink/malformed test,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,recovery/verified-boot context,,,,,,6UO-14,missing local paths,firmware/extracted/PS7331/vbmeta.img; firmware/extracted/PS7331/META-INF/com/android/avb*,AVB descriptors and rollback-index inputs absent,AVB/rollback enforcement,MISSING,Exact local AVB artifact and implementation cannot be traced,,,,,,,,,,,,,,,,,
6UO OTA verifier/handoff,work/luna_worker_phase6uo_ota_verifier_handoff_20260810.csv,555957894258c019fbd30b69385818db507f4d3aae5679ef48d02f696ebcccb2,,,,,,UpdateSystem.install caller identity unknown,,,,,,6UO-15,missing local path,platform recovery verifier implementation; UpdateSystem.install native continuation,"certificate-chain, recovery acceptance, execution flags/SELinux context",native recovery -> update-binary handoff,UNKNOWN,Only Java API boundary and native updater capability are present,,,,,,,,,,,,,,,,,
