surface_family,source_csv,source_row,source_sha256,id,sink_class,operation,exact_build_path,line_or_offset,binder_interface,transaction,publication_or_service,permission_selinux_service_manager_gate,caller_or_publisher,user_scope,target_or_literal,evidence_sha256,confidence,unknowns,row_id,delta_type,topic,evidence_location,capability,reachability,observed_effect,disposition,surface,source_config,dt_init_ueventd_file_contexts_vendor_te,native_artifact_dt_needed_relocations,identity_policy_sink,result,unknown_boundary,provenance_sha256,scope,route_family,canonical_result,duplicate_or_contradiction,integrated_status,new_safe_read_only_probe,prohibited_replay,evidence_paths_sha256,category,status,evidence_file
6WG Framework IPC residual,work/luna_worker_phase6wg_ipc_residual_20260810.csv,2,c87c7df3d0f94272b233775646454f5b03f35a19639f277f6da71b9317a26d76,WG-001,FireOsDisplayPowerControllerService$BinderService,dump --set-brightness -> setBrightness -> Settings.System.putInt,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,16376-16534; 16413-16464; 16519-16524,non-AIDL BinderService (Binder); dump entrypoint,UNKNOWN,FireOsDisplayPowerController published Binder service `FireOsDisplayPowerController`,android.permission.DUMP checked in dump; service-manager/SELinux rule UNKNOWN,external dumpsys caller subject to DUMP; exact UID UNKNOWN,device/default settings user (explicit user overload absent),screen_brightness,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,transaction number; exact service-manager and SELinux rule; whether caller is shell/system UID UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WG Framework IPC residual,work/luna_worker_phase6wg_ipc_residual_20260810.csv,3,c87c7df3d0f94272b233775646454f5b03f35a19639f277f6da71b9317a26d76,WG-002,InputFilterMonitorInputManagerServiceCallback,notifyCameraCoverSwitchChanged -> Settings.Secure.putInt,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,27078-27265; 27426-27435; 28453-28456,callback/local input-manager path (not independently published Binder),UNKNOWN,AmazonInputManagerService publishes `amazon_input` and local input services; callback publication linkage is static-only,system_server/internal callback; permission and SELinux/service-manager gate UNKNOWN,system_server input-monitor caller/publisher; external Binder caller not recovered,system/default secure-settings scope (non-user overload),camera_shutter_state,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,external caller authorization; transaction; user scope and SELinux rule UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WG Framework IPC residual,work/luna_worker_phase6wg_ipc_residual_20260810.csv,4,c87c7df3d0f94272b233775646454f5b03f35a19639f277f6da71b9317a26d76,WG-003,AlexaModeSwitchManagerService$AlexaModeSwitchAPIImpl,setOrientation -> SecureSettingsHelper.putIntForUser,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,29345-29355; 29384-29400; 29517-29520; 29570-29580; 29308-29317,IAlexaModeSwitchAPI (Stub),UNKNOWN,`alexa_modeswitch` Binder service via publishBinderService at 29386-29390,com.amazon.alexa.permission.MODE_SWITCH enforced by checkCallingOrSelfPermission; service-manager/SELinux rule UNKNOWN,remote Binder caller with MODE_SWITCH; exact UID UNKNOWN,USER_CURRENT/-2 passed to putIntForUser,orientation_in_previous_mode,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,transaction number; exact permission protection level; service-manager and SELinux rule UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,2,226903b904fe99968ff0842c9345f76249b11b8ac8ab2060c59b5811b5463b70,,,,,,,,,,,,,d88e35ec08d9ef0a55a3dbc17dc430b62d3b419810653542b6dd3077095cca24;4d0128ee85eec7b0c88716012858bef699f740907e46e854939c83a6c9e99077,,,6WH-01,new,native handler registration versus exact script,"artifacts/phase6mk-updater-dispatch-20260810-04/registration-dispatch.csv:7,16,19-22; updater-script-entrypoints.csv:2-13; addresses 0x406b8c,0x406e0c,0x406ee4,0x406f2c,0x406f6c,0x406fac",registered handlers and fixed-target script calls,untrusted caller reachability UNKNOWN,NONE,Capability confirmed; no arbitrary script/caller reachability closure,,,,,,,,,,,,,,,,,,,
6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,3,226903b904fe99968ff0842c9345f76249b11b8ac8ab2060c59b5811b5463b70,,,,,,,,,,,,,d653e4a84898509781a333c56502087a83981781fcf6612d7026bfd79602b477,,,6WH-02,new,cache readlink and cleanup helper,"artifacts/phase6ne-updater-cache-flow-20260810-03/direct-call-edges.csv:1-5,42-43; addresses 0x417bf0,0x417ea8,0x417eb0,0x409cb4,0x409cdc",cache helper invokes readlink-check unlink and free-space routines,writer dataflow and untrusted reachability UNKNOWN,NONE,Bounded native path evidence; not symlink or TOCTOU proof,,,,,,,,,,,,,,,,,,,
6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,4,226903b904fe99968ff0842c9345f76249b11b8ac8ab2060c59b5811b5463b70,,,,,,,,,,,,,1136d4815ae63011522fead17ef743bc0daa57334ae6ebb3b4c05c1d09507c52,,,6WH-03,new,post-install context user scope and receiver metadata,"artifacts/phase6my-bootafter-ota-package-helper-20260810-01/call-edges.csv:6MY-E03-E04,E08,E10",context-scoped component/settings mutation capability,User-0 and protected-broadcast caller reachability UNKNOWN,NONE,Narrows scope to receiver context; no numeric user closure,,,,,,,,,,,,,,,,,,,
6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,5,226903b904fe99968ff0842c9345f76249b11b8ac8ab2060c59b5811b5463b70,,,,,,,,,,,,,d68768263846c87ffc6b1b1d100b5b5bcd34212d5605c4e3eb1085da8c67d1e0,,,6WH-04,residual-explicit,OTA controller permission holder,"artifacts/phase6j/phase6j-ota-controller-holders-20260805-01/controller-permission-context.txt:10537-10541,27271-27275",signature|privileged permission is declared,exact service/exported/caller join UNKNOWN,NONE,Permission strength is not proof of caller authorization or reachability,,,,,,,,,,,,,,,,,,,
6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,6,226903b904fe99968ff0842c9345f76249b11b8ac8ab2060c59b5811b5463b70,,,,,,,,,,,,,59131cf032d8544cd44ea839ad63eb37993d2853b4925bf56d10ede721693f63;55a7f44a70735626be7ebde25e96812346f336fddbec2c87ca0fb709b980,,,6WH-05,residual-explicit,Java OTA staging,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMover.java:31-44; FileHelper.java:305-339,basename staging with rename then copy/delete fallback,caller/path/race reachability UNKNOWN,NONE,No canonicalization/no-follow/mode-label closure,,,,,,,,,,,,,,,,,,,
6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,7,226903b904fe99968ff0842c9345f76249b11b8ac8ab2060c59b5811b5463b70,,,,,,,,,,,,,c99f6884fa298546b18722a5addb46ae35aff4c9f6003d8ad3ccaebe2edfdbd9,,,6WH-06,residual-explicit,AVB rollback and recovery caller handoff,firmware/extracted/PS7331/vbmeta.img absent; firmware/extracted/PS7331/META-INF/com/android/avb* absent; UpdateSystemWrapper.java:33-44,Java handoff capability reaches UpdateSystem.install,recovery caller identity SELinux execution flags AVB rollback UNKNOWN,NONE,No AVB/rollback or recovery caller closure,,,,,,,,,,,,,,,,,,,
6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,2,97e7a355e1ffa06de3a94c5eab3ef4fcb288b8a4f65fbe4157a399f6de21884b,WI-01,,,,,,,,,,,,,,,,,,,,,,,/dev/mtk_cmdq CMDQ/MDP,"cmdq_driver.c:660-743,848-865,894-898; kernel.config:1247-1248; boot Image strings include mtk_cmdq_device",vendor_file_contexts:326 labels /dev/mtk_cmdq as mtk_cmdq_device; vendor_sepolicy.cil:9 has proc mtk_cmdq_debug/status; exact DT node and ueventd/init instance not retained,bounded native-inventory.csv and phase5cs strings/symbol scans contain no exact /dev/mtk_cmdq open plus CMDQ ioctl call-site; boot Image is kernel-only; no DT_NEEDED/relocation tuple,policy names device type only; no exact caller identity or framework/HOME/package sink,UNKNOWN,selected config and policy do not prove delivered device instance or userland caller; no device access,cmdq_driver.c=b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; Image=10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d; vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e,,,,,,,,,,,
