package,component,system_app,priv_app,persistent,core_app,required_for_system_user,amazon_signed,device_owner_related,protected_by_framework,package_disable_result,component_disable_result,suspend_result,uninstall_user_result,evidence,confidence
com.amazon.firelauncher,com.amazon.firelauncher/.Launcher,YES,YES,NOT_OBSERVED,NOT_OBSERVED,UNKNOWN,UNKNOWN,NO_CURRENT_OWNER_MATCH,YES,REJECTED_PROTECTED_PACKAGE,REJECTED_PROTECTED_PACKAGE,UNKNOWN,UNKNOWN,"P2-RUN-001; P2-RUN-002; P2-STATIC-001; P2-STATIC-004",Confirmed
com.android.systemui,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"P2-SHA-001 (included only as baseline context)",Unknown
com.android.settings,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"P2-SHA-001 (included only as baseline context)",Unknown
com.android.providers.settings,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"P2-SHA-001 (included only as baseline context)",Unknown
com.amazon.venezia,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"device baseline package list",Unknown
com.amazon.alexa.multimodal.gemini,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"device baseline package list",Unknown
com.amazon.device.software.ota,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"device baseline package list",Unknown
com.android.managedprovisioning,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"device baseline package list",Unknown
com.microsoft.launcher,com.microsoft.launcher/.Launcher,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_CURRENT_OWNER_MATCH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"P2-HOME-001; P2-HOME-003",Unknown
org.mozilla.firefox,UNKNOWN,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"device baseline package list",Unknown
