# Tool Inventory

Checked at (UTC): 2026-08-03T03:25:42Z
Project root: /Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire

| Tool | Requirement | Status | Version output | Path | Source |
|---|---|---|---|---|---|
| adb | required-for-initial-phase | AVAILABLE | Android Debug Bridge version 1.0.41 | `/opt/homebrew/bin/adb` | Homebrew-or-local-PATH |
| java | recommended-or-later-phase | UNUSABLE | The operation couldn’t be completed. Unable to locate a Java Runtime. | `/usr/bin/java` | system |
| python3 | required-for-initial-phase | AVAILABLE | Python 3.14.6 | `/opt/homebrew/bin/python3` | Homebrew-or-local-PATH |
| rg | required-for-initial-phase | AVAILABLE | ripgrep 15.2.0 (rev e89fff89ac) | `/Applications/ChatGPT.app/Contents/Resources/rg` | PATH/unknown |
| diff | recommended-or-later-phase | AVAILABLE | Apple diff (based on FreeBSD diff) | `/usr/bin/diff` | system |
| git | recommended-or-later-phase | AVAILABLE | git version 2.40.0 | `/opt/homebrew/bin/git` | Homebrew-or-local-PATH |
| jadx | recommended-or-later-phase | AVAILABLE | 1.5.6 | `/opt/homebrew/bin/jadx` | Homebrew-or-local-PATH |
| apktool | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| baksmali | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| smali | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| d2j-dex2jar | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| sqlite3 | recommended-or-later-phase | AVAILABLE | 3.51.0 2025-06-12 13:14:41 f0ca7bba1c5e232e5d279fad6338121ab55af0c8c68c84cdfb18ba5114dcaapl (64-bit) | `/usr/bin/sqlite3` | system |
| aapt2 | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| apkanalyzer | recommended-or-later-phase | UNUSABLE | /opt/homebrew/bin/apkanalyzer: line 173: test: : integer expression expected | `/opt/homebrew/bin/apkanalyzer` | Homebrew-or-local-PATH |
| bundletool | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| payload-dumper-go | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| simg2img | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| lpunpack | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| unzip | recommended-or-later-phase | AVAILABLE | UnZip 6.00 of 20 April 2009, by Info-ZIP, with modifications by Apple Inc. | `/usr/bin/unzip` | system |
| 7z | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| file | recommended-or-later-phase | AVAILABLE | file-5.41 | `/usr/bin/file` | system |
| strings | recommended-or-later-phase | UNUSABLE | error: /Library/Developer/CommandLineTools/usr/bin/strings: unknown flag: -h | `/usr/bin/strings` | system |
| readelf | recommended-or-later-phase | MISSING | not found on PATH | `-` | - |
| objdump | recommended-or-later-phase | AVAILABLE | Apple LLVM version 21.0.0 | `/usr/bin/objdump` | system |
| shasum | required-for-initial-phase | AVAILABLE | 6.02 | `/usr/bin/shasum` | system |
| sha256sum | required-for-initial-phase | AVAILABLE | sha256sum (Darwin) 1.0 | `/sbin/sha256sum` | system |
| brotli | recommended-or-later-phase | AVAILABLE | brotli 1.2.0 | `/opt/homebrew/bin/brotli` | Homebrew-or-local-PATH |
| debugfs | recommended-or-later-phase | AVAILABLE | debugfs 1.47.4 (6-Mar-2025) | `/opt/homebrew/opt/e2fsprogs/sbin/debugfs` | Homebrew-or-local-PATH |
| vdexExtractor | recommended-or-later-phase | AVAILABLE |               vdexExtractor ver. 0.6.0 | `/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/tools/third-party/vdexExtractor/bin/vdexExtractor` | PATH/unknown |
