id,artifact,path,size_bytes,sha256,version_or_build,source_scope,analysis_value,mutation_risk,missing_edge
INV-001,official_source_tarball_7331,firmware/original/Fire_HD10-7.3.3.1-20250617.tar.bz2,2563328975,02ffafddb97999ebcc4419dda28cab9ea6ddacf7123b1301a073a3809c762aea,Fire OS 7.3.3.1 / PS7331,official Amazon source archive,Kernel/build/Amazon driver provenance and source analysis,HIGH,UNKNOWN
INV-002,update_bin_7331,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,1301005356,9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,PS7331.4463N / post-build 0031575863040,official Amazon OTA route,OTA metadata payload and update-flow static analysis,HIGH,Not exact PS7330 firmware
INV-003,source_tree_7331,firmware/extracted/PS7331-SOURCE-20250617,UNKNOWN,UNKNOWN,PS7331 / 20250617,read-only unpacked source tree,Kernel 4.4 and Fire OS/Amazon source analysis,HIGH,Aggregate directory digest UNKNOWN
INV-004,source_platform_tar_7331,firmware/extracted/PS7331-SOURCE-20250617/platform.tar,UNKNOWN,UNKNOWN,PS7331 / platform source,member from official source archive,Platform/kernel/device/vendor source analysis,HIGH,Individual tar hash UNKNOWN
INV-005,source_fireos_tar_7331,firmware/extracted/PS7331-SOURCE-20250617/fireos.tar,UNKNOWN,UNKNOWN,PS7331 / fireos source,member from official source archive,Fire OS source and build analysis,HIGH,Individual tar hash UNKNOWN
INV-006,boot_image_7331,firmware/extracted/PS7331/boot.img,9885696,cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b,PS7331 adjacent OTA / Android boot image,official OTA extracted artifact,Offline boot header/kernel analysis,HIGH,No exact PS7330 boot image
INV-007,boot_unpacked_7331,firmware/extracted/PS7331/boot_unpacked,UNKNOWN,UNKNOWN,PS7331,read-only unpacked boot tree,Kernel Image and boot static analysis,HIGH,Aggregate directory digest UNKNOWN
INV-008,system_image_7331,firmware/extracted/PS7331/system.img,UNKNOWN,da8a935484de24251e890fbf4e7dd9155567ebe158fc255d43684ea14c62b1e5,PS7331,read-only reconstructed OTA filesystem image,System/framework/vendor package inspection,HIGH,Stat size not separately preserved in manifest
INV-009,vendor_image_7331,firmware/extracted/PS7331/vendor.img,UNKNOWN,d1db5a5349d046361710bd6966adb7ef88dc4ddc550295e8c1926cb279f213eb,PS7331,read-only reconstructed OTA filesystem image,Vendor files and HAL/config static inspection,HIGH,Stat size not separately preserved in manifest
INV-010,low_level_images_7331,firmware/extracted/PS7331/images,UNKNOWN,UNKNOWN,PS7331,preloader/LK/TEE/SSPM/SPMFW/VPU images,Offline low-level image comparison and provenance,HIGH,Aggregate digest UNKNOWN
INV-011,selected_framework_apks_jars_7331,firmware/extracted/PS7331/selected/system,UNKNOWN,UNKNOWN,PS7331,read-only selected system paths,Direct resolver/IPC/permissions/system-server analysis,HIGH,Aggregate digest UNKNOWN
INV-012,selected_manifest_7331,firmware/extracted/PS7331/selected/extraction-manifest.tsv,UNKNOWN,UNKNOWN,PS7331,local extraction manifest,Per-file APK/JAR hashes and exact source paths,LOW,File size/hash UNKNOWN
INV-013,compiled_odex_vdex_7331,firmware/extracted/PS7331/compiled-02/system,UNKNOWN,UNKNOWN,PS7331,read-only selected compiled artifacts,Bytecode and framework compiled-artifact correlation,HIGH,Aggregate digest UNKNOWN
INV-014,compiled_manifest_7331,firmware/extracted/PS7331/compiled-02/extraction-manifest.tsv,UNKNOWN,UNKNOWN,PS7331,local extraction manifest,Per-file ODEX/VDEX hashes and exact paths,LOW,File size/hash UNKNOWN
INV-015,ota_metadata_manifest_7331,firmware/manifests/OTA-20260803-01,UNKNOWN,UNKNOWN,PS7331,local OTA provenance and sha256 manifest,Metadata/build/target/updater analysis,LOW,Aggregate digest UNKNOWN
INV-016,amazon_framework_apk_jar_set_7331,firmware/extracted/PS7331/selected/system/framework,UNKNOWN,UNKNOWN,PS7331,selected system framework paths,Contains framework-res.apk framework.jar services.jar fosframework.jar fosservices.jar,HIGH,Per-file hashes in extraction manifest; aggregate size/hash UNKNOWN
INV-017,amazon_priv_app_set_7331,firmware/extracted/PS7331/selected/system/priv-app,UNKNOWN,UNKNOWN,PS7331,selected privileged system apps,Contains com.amazon.firelauncher plus TabletSystemUI TabletSettings SettingsProvider,HIGH,Aggregate size/hash UNKNOWN
INV-018,resolver_ipc_static_audit,artifacts/phase6r/ota-ipc-static-audit-20260805-01,UNKNOWN,UNKNOWN,PS7331 adjacent OTA,local static audit outputs,OTA receiver/method matrix for IPC/resolver follow-up,LOW,Report inputs are reference-only
INV-019,ipc_ota_closure,artifacts/phase6bk/ipc-ota-closure-20260810-01,UNKNOWN,UNKNOWN,PS7331 adjacent OTA,local closure reports and input manifest,Method/reference maps for OTA IPC analysis,LOW,Reference scope must be checked per input
INV-020,ps7331_decompiled_outputs,decompiled/jadx/ota-PS7331,UNKNOWN,UNKNOWN,PS7331 adjacent OTA,local JADX output,Static Java/API/component analysis,MEDIUM,Not exact PS7330 evidence
INV-021,ps7331_baksmali_outputs,decompiled/baksmali/ota-PS7331,UNKNOWN,UNKNOWN,PS7331 adjacent OTA,local baksmali/VDEX output,Bytecode/service/resolver analysis,MEDIUM,Not exact PS7330 evidence
INV-022,official_source_tarball_7330,firmware/original/Fire_HD10-7.3.3.0-20240730.tar.bz2,UNKNOWN,569eca7321910b095f7af8905592f92e47610d302e6930fd27a6a5dee9593665,Fire OS 7.3.3.0 / PS7330,official Amazon source archive,Source-level comparison only,HIGH,Exact OTA/boot/system/vendor images missing
