package,uid,code_path,system_app,privileged,signature_digest,granted_permissions,permission_protection,grant_flags,code_or_sink_path,caller_reachability,provenance,source_ref
"com.amazon.speakscreen","10174","/system/priv-app/com.amazon.speakscreen","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:2; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.photos","10113","/system/priv-app/com.amazon.photos","true","true","UNKNOWN","android.permission.MANAGE_USERS","signature|privileged","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:3; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.kindle.otter.oobe.forced.ota","10097","/system/priv-app/com.amazon.kindle.otter.oobe.forced.ota","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:4; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.venezia","10076","/system/priv-app/com.amazon.venezia","true","true","UNKNOWN","android.permission.DELETE_PACKAGES|android.permission.INSTALL_PACKAGES|android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:5; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.dpcclient","10118","/system/priv-app/com.amazon.dpcclient","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:6; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.firelauncher","10120","/system/priv-app/com.amazon.firelauncher","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:7; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.alta.h2clientservice","10012","/system/priv-app/com.amazon.h2clientservice","true","true","e627f73a","android.permission.CHANGE_COMPONENT_ENABLED_STATE|android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","user/profile lifecycle; no direct HOME/package sink in bounded APK review","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:8; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18 | signature=output/tables/phase6lz-component-state-permissions/component-state-permission-holders.csv:2; SHA256=8eeb03c1757832d9ea33abe4968724444ce3d0fe2befc4ea296e482b5ac398e1"
"com.amazon.advertisingidsettings","10029","/system/priv-app/AdvertisingIdSettings","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:9; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.dp.fbcontacts","10006","/system/priv-app/com.amazon.dp.fbcontacts","true","true","UNKNOWN","android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:10; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
"com.amazon.h2settingsfortablet","10130","/system/priv-app/com.amazon.h2settingsfortablet","true","true","UNKNOWN","android.permission.MANAGE_USERS|android.permission.WRITE_SECURE_SETTINGS","signature|privileged; WRITE_SECURE_SETTINGS=signature|privileged|development","granted=true; per-holder grant flags not preserved","UNKNOWN (no saved package-specific sink evidence in Phase 6 tables)","UNKNOWN","saved package-state granted row; source/grant provenance UNKNOWN","output/tables/phase6mc-permission-holders.csv:11; SHA256=1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18"
