surface,source/artifact,user_entry,permission_or_selinux,caller_reachability,sink,existing_evidence,status,next_safe_step
cmdq_dispatch,"firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:739-741,865,894-898; source SHA-256 b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899; artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config:1247-1248","device_create + unlocked_ioctl/compat dispatch; exact runtime node path not inferred","CONFIG_MTK_CMDQ=y and CONFIG_MTK_CMDQ_TAB=y; node mode, file-context label, and SELinux allow remain separate gates","Existing Phase 5 zeroed v2-shaped compatibility result returned -ENOTTY; no ordinary-app caller or new ioctl operation","Driver-controlled CMDQ/hardware submission candidate; no AMS/ATMS/PMS/HOME sink","work/luna_worker_kernel_gpl_driver_surface_followup_20260810.md; findings/phase-6g-cmdq-static-surface.md; findings/phase-6is-selinux-driver-route-closure.md","source-capability-only; exploitability not established","Offline join registration -> fops -> Kconfig -> extracted file-context/policy; do not send ioctl"
cmdq_secure_metadata,"drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:350-401; cmdq_sec.c:392-399,744-750; cmdq_record.c:3567-3581; source SHA-256 b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899, 1d7e2d73bdc5beeede1f2edd46c6c8d7f0418202ecd465f078d345e245d41f3b, 780726731c122c159a8ee9cd65200665efcac834e254aef575d6f3f06d5ee4ee","user-controlled metadata/count reaches copy and downstream validation paths","No low-privilege node or SELinux caller is proven; build inclusion is config-dependent","No preserved caller reaches async/DMA/TrustZone path; no payload or malformed request executed","Potential hardware/secure-world state candidate only; no framework sink or exploit primitive demonstrated","findings/phase-6ft-cmdq-secure-metadata-candidate.md; work/luna_worker_kernel_driver_privilege_inventory_20260810.md","risk-rejected for dynamic testing; static candidate only","Offline integer-width and check-order dataflow review"
ged_proc_query,"drivers/misc/mediatek/gpu/ged/src/ged_main.c:278-312,335-344,411; source SHA-256 95671972e22b12d0f6301c28750ebc28e371e02a75610ff62a94a90953fa30c5","/proc/ged read/open plus ioctl query surface","Source mode 0644; preserved runtime used shell UID 2000 under u:r:shell:s0 and SELinux Enforcing","Shell read-only query reachability confirmed; no ordinary-app reachability and no write/reset bridge used","Telemetry/query sink only; no package, HOME, AMS, ATMS, or PMS writer","findings/phase-6bq-ged-readonly-ioctl.md; adb/phase6bq/PHASE6BQ-GED-RO-20260805-02/; findings/phase-6br-amazon-kernel-user-surfaces.md","confirmed shell telemetry; not an LPE; higher-impact ioctl paths remain untested","Offline compare file-context/policy lines with preserved query evidence"
ion,"drivers/staging/android/ion/ion.c:1502-1503,1657-1658,1906-1924; drivers/staging/android/ion/mtk/ion_drv.c:428,703; source SHA-256 abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63","/dev/ion alloc/free/map/share/import/sync/custom ioctl and compat handlers","Historical metadata records mode 0666 and ion_device label; extracted policy allows are host evidence, not successful access","No preserved open/ioctl; bounded 307 APK/JAR scan found no direct ION/libion caller","DMA/buffer-management state candidate; no framework/HOME sink and no memory-safety issue proven","findings/phase-6np-ion-and-control-surface-closure.md; output/tables/phase6n-kernel-user-surfaces.csv","unknown reachability; exploitability not established","Offline registration/config/file-context/policy/native-caller join; do not open node"
amazon_ld_sysfs,"drivers/staging/amazon/amzn_ld.c:638-711,737-786; source SHA-256 4ef656e1a4e54bce29c6f54d62478b5b68dd093abe2641b85ee15feb1f30d1bc","Conditional liquid-detection sysfs store attributes and module parameters","Source declares writable 0664 attributes; preserved device evidence found no exposed odm:ld attributes and shell-denied parameter access","No shell or ordinary-app sysfs write; node presence and label not independently inferred from source mode","Liquid-detection/device state sink; no package/HOME/framework sink","findings/phase-6br-amazon-kernel-user-surfaces.md; findings/phase-6is-selinux-driver-route-closure.md","closed for demonstrated low-privilege route; write path intentionally untested","Offline Kconfig/init/file-context comparison"
amazon_proc_surfaces,"platform/device/amazon/kernel/driver/{amzn_idme.c,amzn_sign_of_life.c,amzn_logger.c}; hashes in work/luna_worker_source_scope_driver_audit_20260810.md","/proc/idme, /proc/life_cycle_reason, /dev/metrics, /dev/vitals read/poll interfaces","IDME strips write bits/restricts ownership; lifecycle is 0444/read-only; logger nodes root:log 0640; shell reads denied or not consumed","Existing Phase 6 evidence shows no writable low-privilege caller; no logger read performed because it consumes ring entries","Telemetry/device lifecycle sink only; no state-changing framework sink","findings/phase-6br-amazon-kernel-user-surfaces.md; findings/phase-6n-kernel-surface-index.md","closed for untrusted state change; source capability does not imply access","Offline resolve init registration and extracted labels only"
amazon_drv_test,"platform/device/amazon/kernel/driver/amzn_drv_test.c; source SHA-256 6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e; Kconfig:65-68, Makefile:28","/proc/amzn_drv and writable test children if built","Kconfig default n; trona_defconfig enables dependencies but not CONFIG_AMZN_DRV_TEST; official Image marker audit observed 3/9 non-test markers","No built-image proof for test controls and no caller/node/SELinux evidence; no test write executed","Engineering/test control sink only; no HOME/PMS/ATMS edge","work/luna_worker_source_scope_driver_audit_20260810.md; artifacts/phase6nd-amzn-drv-test-image-marker-20260810-01/phase6nd-image-marker-audit.md","strong negative for shipped test surface; exploitability not claimed","Offline resolve config/object/module inclusion and exact proc names"
input_evdev,"drivers/input/evdev.c:840-892,1329-1331; source SHA-256 7664e11a712c24b906da6cbf3504c96e00a6b3ca7d64e5b286a345141ada2d28; kernel.config:1971","evdev ioctl/compat and input-event user copies","CONFIG_INPUT_EVDEV=y; device-node mode, file-context label, and SELinux access not established","No preserved ordinary-app evdev open or event injection; no input ioctl sent","Input event/state sink could affect consumers, but no direct package/HOME writer found","work/luna_worker_kernel_gpl_driver_surface_followup_20260810.md; findings/phase-6me-driver-control-closure.md","static-only; exploitability not established","Offline map input registration to extracted labels/policy"
usb_devio,"drivers/usb/core/devio.c:976-1112,1628-1650,2396-2398,2449; source SHA-256 655a3f79b2230031e0f2dfef4fbb699d832db9054debf47fd5186acec0af2768; kernel.config:2994-3018","USB devio ioctl, URB submission, and user-copy paths","USB/XHCI/MTK config enabled; node/domain access is not proven by config or source","No preserved USB ioctl/URB caller, ordinary-app access, or control transfer","USB/device hardware state sink; no framework/HOME sink","work/luna_worker_kernel_gpl_driver_surface_followup_20260810.md; findings/phase-6br-amazon-kernel-user-surfaces.md","static-only; dynamic control-transfer testing rejected","Offline restrict to product config/init/file-context/caller references"
rpmb,"drivers/char/rpmb/rpmb-mtk.c:2377-2401,2560-2582,2736-2776; source SHA-256 a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5","RPMB ioctl/user-copy and device registration","No preserved node mode, file-context, SELinux allow, or runtime caller evidence","No RPMB open/ioctl, key operation, or storage mutation; source lacks a demonstrated caller gate","Sensitive authenticated-storage sink; no framework/HOME sink proven","output/tables/phase6n-kernel-user-surfaces.csv; work/luna_worker_kernel_gpl_driver_surface_followup_20260810.md","unknown; exploitability not established","Offline correlate CONFIG_MMC/RPMB, registration, labels, policy, and native callers"
