surface,source_path,line_or_offset,source_sha256,config_or_artifact,runtime_evidence,caller_permission_boundary,framework_sink,disposition,smallest_safe_next_analysis
cmdq_dispatch,drivers/misc/mediatek/cmdq/v3/cmdq_driver.c,739-741;865;894-898,b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899,kernel.config:1247-1248; CONFIG_MTK_CMDQ=y; CONFIG_MTK_CMDQ_TAB=y,phase6g result and prior zeroed v2 compatibility result only; no new ioctl,device registration plus SELinux/file-context join required; no ordinary app proof,no direct AMS/ATMS/PMS/HOME edge,static-only,offline registration-to-policy mapping
cmdq_secure_metadata,drivers/misc/mediatek/cmdq/v3/cmdq_driver.c; drivers/misc/mediatek/cmdq/v3/cmdq_sec.c; drivers/misc/mediatek/cmdq/v3/cmdq_record.c,350-401;392-399;744-750;3567-3581,b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899;1d7e2d73bdc5beeede1f2edd46c6c8d7f0418202ecd465f078d345e245d41f3b;780726731c122c159a8ee9cd65200665efcac834e254aef575d6f3f06d5ee4ee,CONFIG_MTK_CMDQ=y,source-only candidate; async/DMA/TrustZone deliberately absent,caller and shipped-binary equivalence unknown,no direct framework sink,risk-rejected,offline integer-width/check-order proof
ged_proc_query,drivers/misc/mediatek/gpu/ged/src/ged_main.c,278-312;335-344;411,95671972e22b12d0f6301c28750ebc28e371e02a75610ff62a94a90953fa30c5,phase6bq existing result,ADB shell uid 2000 enforcing shell opened read-only /proc/ged and completed 20 queries; no higher-impact bridge invoked,proc_ged mode 0644; shell reachability demonstrated; ordinary app not demonstrated,no HOME/PMS/ATMS writer,closed,offline policy/file-context comparison only
ion,drivers/staging/android/ion/ion.c; drivers/staging/android/ion/mtk/ion_drv.c,1502-1503;1657-1658;1906-1924;428;703,abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63,phase6np metadata and extracted policy, /dev/ion mode 0666 metadata only; no open/ioctl; 307 APK/JAR scan had no direct ION caller,policy allow is not live reachability; caller/effect unknown,no HOME/PMS/ATMS edge,unknown,offline registration-config-policy-caller join
amazon_ld_sysfs,drivers/staging/amazon/amzn_ld.c,638-711;737-786,4ef656e1a4e54bce29c6f54d62478b5b68dd093abe2641b85ee15feb1f30d1bc,config/module evidence in phase6np,existing audit reports no exposed odm:ld attributes and shell-denied module parameters; no sysfs write,source 0664 attributes do not establish node access, no framework sink,closed,offline Kconfig/init/file-context comparison
amazon_path_correction,drivers/amazon (absent); drivers/staging/amazon (present),directory inventory,,kernel source tree path inventory,phase6br/phase6np read-only or shell-denied Amazon surfaces,canonical path is staging; no caller-to-framework edge,no HOME/PMS/ATMS edge,closed,retain canonical path correction
rpmb,drivers/char/rpmb/rpmb-mtk.c,2377-2401;2560-2582;2736-2776,a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5,phase6n CSV source-only inventory,no preserved RPMB open/ioctl or node policy evidence; source has no local caller gate,caller/node boundary unknown,no framework sink,unknown,offline config-registration-file-context-caller join
input_evdev,drivers/input/evdev.c,840-892;1329-1331,7664e11a712c24b906da6cbf3504c96e00a6b3ca7d64e5b286a345141ada2d28,kernel.config:1971 CONFIG_INPUT_EVDEV=y,no runtime app caller or event injection evidence,generic evdev boundary not established for ordinary app,no direct framework sink,static-only,offline device registration and SELinux label mapping
usb_devio,drivers/usb/core/devio.c,976-1112;1628-1650;2396-2398;2449,655a3f79b2230031e0f2dfef4fbb699d832db9054debf47fd5186acec0af2768,kernel.config:2994-3018 USB/XHCI/MTK paths enabled,no preserved USB ioctl/URB caller or effect,USB node/domain boundary not established,no direct framework sink,static-only,offline product config/init/file-context/caller review
vendor_mediatek_path,platform/vendor/mediatek (present); platform/kernel/mediatek/mt8183/4.4/vendor/mediatek (absent),directory inventory,,,no runtime binding of arbitrary vendor files to booted kernel or caller,archive vendor tree is not kernel-root build proof,no direct sink,unknown,hash only files referenced by Makefiles/Kconfig/manifests
kernel_to_home_negative,canonical kernel C/H tree literal search,zero direct hits for launcher/package_manager/com.amazon.firelauncher/setHomeActivity/preferred_home/ACTION_MAIN/CATEGORY_HOME,,,phase6ha/phase6is and prior followup close route,source has no framework caller boundary,no driver-to-HOME/PMS/ATMS sink,closed,revisit only with exact new caller/framework artifact
