id,path_or_symbol,surface,caller_or_entry,permission_or_gate,sink_or_effect,existing_runtime_test,evidence,confidence,missing_edge,next_safe_step
A-001,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:53,225-290,350-524,663-742,823-827,897-899","CMDQ ioctl/proc/sysfs","platform driver fops; no exact shipped native opener/callsite recovered","CONFIG_MTK_CMDQ=y; CONFIG_MTK_CMDQ_TAB=y; DT mediatek,gce match; node policy/SELinux allow UNKNOWN","task submit/wait; register read/write batches; notification/DTS queries; display/engine/DMA state","No device open/ioctl; existing source/config/DT audit only","Phase6XG/8D/13D joins; mt8183.dts GCE node; trona_defconfig/kernel.config","Confirmed","final object/module+DTB delivery; exact node mode/owner; merged allow; caller UID/domain; caller-input-to-sink","Host-only join of image manifest, DTB, ueventd/file_contexts/TE and native ELF references"
A-002,"platform/kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/ion.c:1478-1617,1906-1924","ION generic ioctl/debugfs","Android graphics/media caller names are candidates only; exact top-level opener UNKNOWN","CONFIG_ION=y; CONFIG_ION_TEST/DUMMY not enabled in saved config; /dev/ion policy candidate; exact allow UNKNOWN","alloc/free/map/share/import/sync and buffer lifetime/DMA state","No /dev/ion open/ioctl; existing native-inventory/source audit only","Phase6TN/8D/13D; libion capability strings/symbols do not prove caller","Confirmed","heap enablement; final node/object; gralloc/codec caller; UID/domain and policy; sink provenance","Host-only inspect final heap/config/object and saved native caller graphs"
A-003,"platform/kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/mtk/ion_drv.c:319-435,612,641-671,765","ION MTK custom/debugfs","No exact shipped caller for custom ioctl or debugfs client found","CONFIG_MTK_ION=y; ION_RUNTIME_DEBUGGER conditional; exact custom ioctl allow/node UNKNOWN","MTK system/physical-address/secure-memory controls; client/heap diagnostics","No custom ioctl/debugfs interaction; static source/config review only","Phase6TN/8D/13D; source registration and custom ioctl markers","Confirmed","custom heap/object delivery; macro value; node/debugfs mount and policy; caller UID/domain; effect chain","Host-only resolve config macro, final image/module and SELinux/debugfs policy"
A-004,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809,2220-2270; m4u_debug.c","M4U proc/debug and conditional misc","No exact shipped proc opener; /dev/M4U_device branch is source #if 0","CONFIG_MTK_M4U=y; source proc mode 0; init records system:media 0440 candidate; exact proc genfscon/allow UNKNOWN","MVA/port/power/monitor/TF and DMA/IOMMU state","No /proc/m4u or M4U node access; existing source/config/policy review only","Phase6SG/8D/13D; init.mt8183.rc lines 290-296; mt8183 DT M4U intent","Confirmed","compiled object/DTB; exact proc policy; native caller UID/domain; input-to-operation validation","Host-only join compiled DTB/object and saved policy/caller evidence"
A-005,"platform/kernel/mediatek/mt8183/4.4/drivers/input/misc/uinput.c:909-933","uinput ioctl/write","No exact shipped ELF open/write/ioctl caller in bounded inventory","CONFIG_INPUT_UINPUT=y and CONFIG_INPUT_EVDEV=y; node mode/owner/allow UNKNOWN","UI_DEV_CREATE/DESTROY and synthetic input event injection","No /dev/uinput access; existing native caller negative scan only","Phase6XG/8D/13D; uinput fops and config source","Confirmed","ueventd/file_contexts/merged allow; shipped object; caller UID/domain; downstream input consumer","Host-only resolve final node policy and native caller/consumer edges"
A-006,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/auxadc/mtk_auxadc.c:553-667,1515-1651,1713-1750,1959","AUXADC proc/sysfs/calibration","No exact native proc/sysfs writer or calibration ioctl caller","CONFIG_MTK_AUXADC_INTF=y; source registers writable calibration/sysfs and proc status; final label/allow UNKNOWN","ADC/register diagnostics and calibration slope/offset/channel state","No proc/sysfs write or calibration device access; source/config audit only","Phase7C/8D; platform_driver_register and device_create_file source","Confirmed","final DT/object/device node; modes/labels/allow; writer UID/domain; calibration sink provenance","Host-only inspect final DT/object and policy plus native writers"
A-007,"platform/kernel/mediatek/mt8183/4.4/drivers/staging/amazon/amzn_ld.c:665-673,758-777","Amazon liquid-detection sysfs","No caller in preserved framework/launcher source","CONFIG_AMAZON_LD=y; of_match amzn,ld and platform registration; exact sysfs mode/label/allow UNKNOWN","Writable stop/control/threshold/interval/ADC liquid-detection settings","No sysfs write; existing Phase6UK source/native inventory only","Phase6UK row amazon_ld_sysfs; source hash and registration lines","Confirmed","compiled DT/object; exact sysfs node policy; caller UID/domain; hardware effect","Host-only join DT/object, file_contexts/TE and native caller references"
A-008,"platform/kernel/mediatek/mt8183/4.4/drivers/amazon/amzn_drv_test.c; drivers/amazon/Kconfig","Amazon factory/engineering driver-test proc dispatcher","No production caller; diagnostic/factory entry not established","CONFIG_AMZN_DRV_TEST is not set in saved kernel.config/trona_defconfig; source Kconfig default n","Conditional /proc/amzn_drvs sign_of_life/idme/logger and factory/RTC branches","No proc interaction; negative config audit only","Phase12D/13D-006; kernel.config and trona_defconfig negative gate","Disproved","final product object/module manifest and product-specific override; proc policy/caller if enabled","Host-only verify final config-to-object/module manifest; do not enable or invoke test path"
A-009,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203; mtk_gpufreq_core.c:1542-1549,2784","perfmgr/GPU debug proc","init writes selected perf paths; no exact native handler caller closed","CONFIG_MTK_PERFMGR_TOUCH_BOOST=y and CONFIG_AMAZON_DEBUG_CLK=y candidates; proc labels/allow incomplete","FPSGO/perf controls and GPU frequency/power tuning","No proc write; existing init/source/policy audit only","Phase12D/13D-005; init.mt8183.rc perf writes; vendor_sepolicy proc_perfmgr markers","Strong evidence","final proc instances/object; init trigger/domain; complete merged policy; non-init caller and effect provenance","Host-only join init domain, final proc policy/object and saved callers"
A-010,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/mu3phy/mt8183/usb20_phy_debugfs.c; usb_c/tcpc/*.c","USB PHY/Type-C debugfs and control capability","Kernel platform/Type-C callbacks are source entries; no external caller or debugfs writer identified","Driver Kconfig/DT dependency; debugfs mount/permissions and SELinux policy UNKNOWN","USB PHY diagnostics and Type-C/PD role/alert state","No USB node/debugfs access; source tree inspection only","MT8183 source file inventory and targeted registration search; no runtime probe","Strong evidence","selected object/DT instance; debugfs mount/policy; userspace caller and hardware effect","Host-only resolve Kconfig/DT/object and saved debugfs policy/caller material"
