id,scope,surface,source_entry,shipped_config_or_artifact,node_policy,shipped_userspace_caller,gate,input_validation,ioctl_or_api,sensitive_sink,evidence_class,status,missing_edge
12D-001,drivers/misc/mediatek,CMDQ,"drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:660-743; 359-405","CONFIG_MTK_CMDQ=y; CONFIG_MTK_CMDQ_TAB=y; init.mt8183.rc:302-303 creates /dev/mtk_cmdq provenance","vendor_file_contexts:/dev/mtk_cmdq -> mtk_cmdq_device; mode/owner from init only; merged TE allow not joined","No exact shipped ELF open()+CMDQ ioctl caller; graphics/media names are capability markers only","ioctl structs and user-copy paths visible; complete caller-side bounds/identity not closed","CMDQ_IOCTL_ASYNC_EXEC/WAIT/READBACK; async engine/readback","MDP/register/DMA/display-resource state; no PMS/AMS/HOME sink","UNKNOWN","UNKNOWN","compiled object/DT delivery; exact native caller UID/domain; merged allow; end-to-end effect"
12D-002,drivers/staging/android/ion + drivers/misc/mediatek,ION generic/custom,"drivers/staging/android/ion/ion.c:1478-1617; drivers/staging/android/ion/mtk/ion_drv.c:319-435","CONFIG_ION=y; CONFIG_MTK_ION=y; /dev/ion and libion markers retained","plat/vendor_file_contexts:/dev/ion -> ion_device; source/init mode and final allow not fully joined","libion.so/libion_mtk.so inventory markers do not identify a process or open/ioctl callsite","CONFIG_ION_TEST absent; heap/object/DT instance unresolved; source checks only","alloc/free/map/share/import/sync paths accept user structures; full caller preconditions unknown","ION ioctl family and MTK custom ioctl","DMA buffer/heap/secure/physical-address state; no package/HOME sink","UNKNOWN","UNKNOWN","exact heap/object/DT; shipped caller UID/domain; Binder-to-open edge; merged TE allow"
12D-003,drivers/misc/mediatek,M4U,"drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809; 2220-2270","CONFIG_MTK_M4U=y; init.mt8183.rc:290-296 records /proc/m4u and disabled misc-node branch","init gives /proc/m4u mode 0440 and system:media; proc genfscon/allow not closed","No exact native proc opener or operation caller in preserved ELF inventory","Source proc registration mode 0; active /dev/M4U_device path is #if 0","M4U power/MVA/port/monitor/TF controls","DMA/IOMMU mapping and device state; no framework sink","UNKNOWN","UNKNOWN","compiled DT/object; exact proc label+allow; native caller identity; input-to-effect chain"
12D-004,drivers/input,uinput/evdev,"drivers/input/misc/uinput.c:909-933; drivers/input/evdev.c:840-892","CONFIG_INPUT_UINPUT=y; CONFIG_INPUT_EVDEV=y; init.mt8183.rc:474 sets /dev/uinput owner/group","plat/vendor_file_contexts:/dev/uinput -> uhid_device/uinput_device; exact merged allow absent","Native inventory found no exact shipped ELF open/write/ioctl caller","uinput create/destroy and evdev paths have source checks but no caller identity closure","UI_DEV_CREATE/DESTROY; event write; ioctl/compat_ioctl/read","Synthetic input graph and user-facing events; no direct HOME/PMS sink","UNKNOWN","UNKNOWN","final node policy/allow; shipped object; native caller UID/domain; downstream consumer"
12D-005,drivers/misc/mediatek,AUXADC,"drivers/misc/mediatek/auxadc/mtk_auxadc.c:553-667; 1515-1651","CONFIG_MTK_AUXADC_INTF=y; Image/source markers retained","Sysfs/proc/device labels and allow tuple absent","No exact shipped native ioctl/proc/sysfs writer recovered","Calibration/dump handlers validate some values locally; complete API contract/caller not closed","AUXADC ioctl/compat_ioctl; writable calibration/status attributes","ADC/register/calibration state; no package/HOME sink","UNKNOWN","UNKNOWN","selected DT/object; exact node/sysfs policy; caller UID/domain; downstream sink"
12D-006,drivers/misc/mediatek,performance/perfmgr,"drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203","init.mt8183.rc:20,112-116,773-781,887-892 writes selected /proc/perfmgr entries; config/source correspondence retained","init names system ownership for selected paths; proc labels/TE allow not fully joined","init is a shipped writer context, but no exact service/native caller chain beyond init was closed","Source ioctl/proc handlers expose FPSGO/performance controls; input validation is handler-specific","FPSGO/perf ioctl, compat_ioctl, proc writes","scheduler/governor/touch-boost/resource state; no HOME sink","UNKNOWN","UNKNOWN","exact init trigger/domain and other caller identities; merged proc policy; effect provenance"
12D-007,drivers/staging/amazon,Amazon liquid detection,"drivers/staging/amazon/amzn_ld.c:638-711,737-786","CONFIG_AMAZON_LD=y; CONFIG_AMAZON_LD_SWITCH=y; selected DT compatible not proven","Sysfs owner/group, file_contexts and TE allow not joined; source attrs include writable modes","No shipped native sysfs writer identified","DT/driver registration is conditional; source attrs do not establish runtime instance","threshold/interval/stop/control/ADC attributes; per-attribute parsing only","liquid-detection/USB/device behavior; no package/HOME sink","UNKNOWN","UNKNOWN","compiled DT/object; exact sysfs label+allow; writer UID/domain; downstream effect"
12D-008,drivers/staging/amazon,Amazon driver test,"device/amazon/kernel/driver/amzn_drv_test.c:747-812","trona_defconfig lacks CONFIG_AMZN_DRV_TEST=y/m; source Kconfig default n","proc label/init import/TE allow absent","No production caller; source path is test-only and not shipped-confirmed","Strong negative build gate in trona defconfig; conditional source capability only","decimal test_index dispatch is source-visible; no production input path","/proc/amzn_drvs/{sign_of_life,idme,logger}; proc write","factory-reset/RTC special-mode state if built; no low-privilege route proven","UNKNOWN","UNKNOWN","product object/module gate; proc policy; production caller identity"
12D-009,drivers/power,thermal/PMIC writable controls,"drivers/thermal/thermal_core.c:1672-1753; drivers/misc/mediatek/pmic/common/upmu_debugfs.c:323-351","CONFIG_THERMAL_WRITABLE_TRIPS=y; init.mt8183.rc:339-341,423-430 sets selected PMIC sysfs ownership/mode","init gives selected PMIC paths root:radio 0664; thermal/debugfs labels and allow not fully joined","No exact shipped thermal/PMIC writer or UID/domain recovered","Provider/zones/debugfs registration and per-attribute parsing remain variant-dependent","thermal mode/trip/emul attrs; PMIC access/debugfs APIs","thermal/power availability or PMIC register state; no HOME/PMS sink","UNKNOWN","UNKNOWN","compiled zones/provider/object; exact policy; shipped writer and identity; sink effect"
12D-010,drivers/usb,USB devio/MTK xHCI,"drivers/usb/core/devio.c:976-1112,1628-1650; drivers/usb/host/xhci-mtk.c:189-195","CONFIG_USB=y; CONFIG_USB_XHCI_MTK=y; MTK USB config retained","plat_file_contexts:/dev/bus/usb -> usb_device; debugfs USB type exists; caller allow not joined","No preserved USB ioctl/URB caller with UID/domain","USB controller/DT selection and usbfs node permissions are incomplete","USBDEVFS ioctl, URB submit/control transfer; xhci debugfs testmode","USB peripheral/control-transfer/hardware state; no framework sink","UNKNOWN","UNKNOWN","exact usbfs node mode+allow; controller object/DT; native caller identity"
