item,path_or_evidence,sha256_or_content,version,device_product,fingerprint,security_patch,classification,notes
source_outer,firmware/original/Fire_HD10-7.3.3.1-20250617.tar.bz2,02ffafddb97999ebcc4419dda28cab9ea6ddacf7123b1301a073a3809c762aea,Fire OS 7.3.3.1,product trona,not embedded,not embedded,EXACT_PS7331_SOURCE,"2,563,328,975 bytes; 35 members; EOF reached; no execution"
source_platform,firmware/extracted/PS7331-SOURCE-20250617/platform.tar,69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,Fire OS 7.3.3.1,platform trona/MT8183,not embedded,not embedded,EXACT_PS7331_NESTED_SOURCE,"nested source member"
source_fireos,firmware/extracted/PS7331-SOURCE-20250617/fireos.tar,bb7030296545dd45edcf47d3e742043e7813852844f4b0fbbe8d223899b369,Fire OS 7.3.3.1,product trona,not embedded,not embedded,EXACT_PS7331_NESTED_SOURCE,"nested source member"
source_ps7330,firmware/original/Fire_HD10-7.3.3.0-20240730.tar.bz2,569eca7321910b095f7af8905592f92e47610d302e6930fd27a6a5dee9593665,Fire OS 7.3.3.0,product trona,not embedded,2024-02-01,EXACT_PS7330_SOURCE_NOT_PS7331,"comparison source archive"
kernel_config,artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config,eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04,PS7331.4463N,trona/MT8183,not embedded,2024-08-01,PS7331_CONFIG,"ARM64/Linux 4.4.146; FUTEX/RT_MUTEXES evidence"
boot_img,firmware/extracted/PS7331/boot.img,cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b,PS7331.4463N,trona/MT8183,Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p;release-keys,2024-08-01,PS7331_NOT_EXACT_PS7330,"adjacent/reference boot"
kernel_unpacked,firmware/extracted/PS7331/boot_unpacked/kernel,a608a5f99c155dc8e8b12b308528cbd17175b47199985d017613f9e2fbb1edba,PS7331.4463N,trona/MT8183,PS7331 fingerprint family,2024-08-01,PS7331_NOT_EXACT_PS7330,"unpacked kernel"
kernel_Image,firmware/extracted/PS7331/boot_unpacked/Image,10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d,PS7331.4463N,trona/MT8183,PS7331 fingerprint family,2024-08-01,PS7331_NOT_EXACT_PS7330,"ARM64 Image"
ota_bin,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,PS7331.4463N,trona,Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p;release-keys,2024-08-01,EXACT_PS7331_OTA,"full BLOCK OTA; release-keys"
ota_prop,firmware/extracted/PS7331/ota.prop,f91b4c792339c605d81a2d6d5e819fee5d522a7514111daa1468717e07319ded,Fire OS 7.3.3.1 (PS7331.4463N/4463),trona,content above,2024-08-01,EXACT_PS7331_OTA_METADATA,"release-keys; version_number 0031575863172"
build_prop,firmware/extracted/PS7331/system/build.prop,SHA256_NOT_SAVED_IN_REVIEWED_MANIFESTS,Fire OS 7.3.3.1,trona/MT8183,Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p;release-keys,2024-08-01,PS7331_CONTENT_HASH_GAP,"hash not recomputed under no-external-tool constraint"
selected_manifest,firmware/extracted/PS7331/selected/manifest.sha256,b098f85287a729d03cfac1ac6f767a3ba6a15ce8c65d7f9e581cbbed75448a74,PS7331.4463N,trona,PS7331 fingerprint family,2024-08-01,EXACT_PS7331_SELECTED_MANIFEST,"hash of extraction-manifest.tsv"
compiled_manifest,firmware/extracted/PS7331/compiled-02/manifest.sha256,7da7040b4c7454084d8c30452edc05d4c68ce3813fe20700d4016036e4097716,PS7331.4463N,trona,PS7331 fingerprint family,2024-08-01,EXACT_PS7331_COMPILED_MANIFEST,"hash of extraction-manifest.tsv"
runtime_baseline,device/baseline/BASELINE-20260803-04/device_properties.txt,8c9cf873c061c641fec0d7f9fd1e1a74fe74be7710b471a4df562ff62ac037a5,PS7330.4104N,trona/KFTRWI,Amazon/trona/trona:9/PS7330.4104N/0030099376128:user/amz-p;release-keys,2024-02-01,EXACT_PS7330_RUNTIME_BASELINE,"saved 2026-08-03 baseline; no live recheck"
runtime_ps7331_logs,logs/device-safe-verify-20260810-095532/fingerprint.txt,content-only_saved_fingerprint,PS7331.4463N,trona,Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p;release-keys,2024-08-01,EXACT_PS7331_SAVED_RUNTIME_SLICE,"saved log; not re-collected in Phase 19E"
