id,surface,artifact_or_path,caller,gate,sink,missing_edge,classification,evidence
P21B-001,LauncherConfigurationReceiver,artifacts/phase6ps-vending-receiver-20260810-01/LauncherConfigurationReceiver.java,"Manifest action com.android.launcher3.action.FIRST_SCREEN_ACTIVE_INSTALLS; sender identity UNKNOWN","exported=true; no manifest permission; verificationToken required; missing token returns","Accepted receiver path after token parsing","External sender UID and token provenance are not established","PARTIAL_CLOSED","Receiver source SHA-256 71d17a064272f88d02f4619a2f4fa6fedf0ae91a233c29e0ad6d4110643b6b47; prior P20D-VENDING-002 closure"
P21B-002,LauncherConfigurationReceiver,artifacts/phase6ps-vending-receiver-20260810-01/LauncherConfigurationReceiver.java,"Token creator package is the effective identity input; external caller UNKNOWN","Creator equals current launcher, or Setup/ApplicationInfo plus launcher qualification branch","Receiver acceptance and payload processing","Profile/user binding and exact legitimate caller remain unknown; exported status is insufficient","OPEN_EDGE","Same receiver source; agyy.d/b/g and ahmo.u branches"
P21B-003,LauncherConfigurationReceiver,artifacts/phase6ps-vending-receiver-20260810-01/LauncherConfigurationReceiver.java,"Accepted creator-qualified receiver path","Item-list extras; restore/account feature gates; no direct privilege gate beyond acceptance","aoba item flags/bookkeeping; aofc downstream restore bookkeeping","Exact downstream persistence and user/profile ownership are incomplete","BOUNDED_NEGATIVE","Recovered body consumes hotseat/widget/workspace/folder lists; no HOME component setter or Fire Launcher literal"
P21B-004,DseService manifest and entry,artifacts/phase6mb-vending-static-20260810-01/manifest-print.txt; artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java,"External Binder caller package/UID UNKNOWN","exported=true; DSE permission; mi DeviceSetup feature ahwm.i; o Binder.getCallingUid plus arjs authorization ahwm.d","mph binder surface and authorized DSE operations","Permission declaration semantics and arbitrary-caller/bypass reachability are not proven; no Binder call performed","OPEN_EDGE","Manifest SHA-256 e332aa77041fd4c4c58c4861471341a8563c7f6c51fc64f54c651fccb27e61c4; DseService SHA-256 79c903844c1e80f6f04423de1a3cff6a456490339bebd12f7cef824070dd7beb"
P21B-005,DSE g duplicated/partial branch,artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java,"mph installDse/installApp after o(); exact upstream caller authorization is gated but provenance incomplete","Nonempty package; refetch/choice matching; DSE feature gates; installed-state and cleanup conditions","Search/default selection state; metrics; injected install/bookkeeping paths","JADX duplicated-block warnings prevent exact branch equivalence; original control-flow artifact unavailable in bounded set","OPEN_EDGE","DseService g() lines 363-485; warnings B:51/B:53/B:55/B:56/B:59"
P21B-006,DSE browser selection,artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java,"aocc install-event callback and authorized DSE path; exact external caller remains gated/unknown","Package/selection checks; UserHandle.myUserId(); DSE authorization upstream","PackageManager.setDefaultBrowserPackageNameAsUser(str,myUserId)","Caller-to-user/profile handoff and prior authorization-to-user binding incomplete","PARTIAL_CLOSED","DseService t(); aocc.java:35 caller; browser-default sink only"
P21B-007,DSE search selector and returned token,artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java,"Authorized DSE caller path; supplied first-party PendingIntent origin UNKNOWN","Device/network eligibility; DeviceDefaultAppSelection ahwe.x; optional returning token","Setup Wizard search-selector activity; optional PendingIntent.send in i()","Token creator/origin and runtime caller chain not recoverable; invocation prohibited","CAPABILITY_ONLY","DseService h()/i(); action com.google.android.apps.setupwizard.searchselector.LAUNCH_CHOICE_SCREEN"
P21B-008,DSE eligibility settings,artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java,"Authorized DSE path expected; injected callback caller details UNKNOWN","Country/search selection; injected vku.y writer callback; exception handling","Eligibility secure-settings writer","Exact key, provider, target user, and writer authority are absent","OPEN_EDGE","DseService j(); log text says Failed to write eligibility secure settings"
P21B-009,Search preferred activity downstream,artifacts/phase6mb-vending-jadx-20260810-01/base/sources/defpackage/aocc.java; artifacts/phase6mb-vending-jadx-20260810-01/base/sources/defpackage/uez.java,"aocc install-event listener; selected search package match","DeviceDefaultAppSelection gate; API Q gate; WEB_SEARCH resolution and current-package checks","PackageManager.replacePreferredActivity for WEB_SEARCH + DEFAULT","Exact install-event source and user/profile context remain incomplete","BOUNDED_NEGATIVE","aocc SHA/context from prior closure; uez SHA-256 a60801882f5b1ada40110f32010a697aa2d809484dff1ce9b16fae6aba8d3497; no HOME action"
P21B-010,DSE install/bookkeeping boundary,artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java; artifacts/phase6mb-vending-jadx-20260810-01/base/sources/defpackage/mph.java,"mph.c/mph.d after DSE o(); injected installer/work manager caller UNKNOWN","o() authorization; SDK/bundle checks; v(1/2) and DeviceSetup feature gates","Injected install scheduling, package selection, cleanup, and bookkeeping","Installer authority, account/user handoff, and completion callback provenance incomplete; no APK install executed","OPEN_EDGE","mph SHA-256 93ffc418fb31cb58038f6ecbdefc020e4fb5221f8b80cce141a48b3591be30a1; s() uses injected aacm.k"
