row_id,surface,source_ref,image_ref,init_or_config,selinux_or_permission,client_or_caller,sink,remainder,risk_status,confidence,evidence,next_safe_step
6RH-01,Amazon/MTK driver registration,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/Kconfig:43-68; platform/kernel/mediatek/mt8183/4.4/drivers/staging/Kconfig:117-120; platform/kernel/mediatek/mt8183/4.4/drivers/staging/Makefile:52-53,firmware/extracted/PS7331/boot_unpacked/Image; SHA-256 10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d,platform/device/amazon/kernel/driver/Makefile:28; platform/kernel/mediatek/mt8183/4.4/arch/arm64/configs/trona_defconfig:523-530,UNKNOWN: no Android file_context/CIL mapping in source scope; no image label proof,UNKNOWN: build/config registration only; no app or shell caller established,driver/module/proc surfaces; exact shipped registration and runtime sink UNKNOWN,CONFIG_AMZN_DRV_TEST is not selected in trona defconfig; module loading and node state not proven,medium,high,work/luna_worker_source_scope_driver_audit_20260810.md; work/luna_worker_phase6na_amzn_drv_test_closure_20260810.md,Keep as static build-reachability row; do not load module or access proc node
6RH-02,amzn_drv_test proc test surface,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_drv_test.c:747-790; :792-866,UNKNOWN: Image marker audit reports amzn_drvs marker absent from official Image,platform/device/amazon/kernel/driver/Kconfig:65-68 default n; Makefile:28; trona_defconfig lacks CONFIG_AMZN_DRV_TEST=y/m,UNKNOWN: Unix mode appears S_IRUGO|S_IWUSR in source; SELinux label and caller UNKNOWN,proc_write/copy_from_user to test callbacks; downstream test effects UNKNOWN,source has three child proc entries and shared write callback; no shipped/reachable proof,UNKNOWN,medium,high,artifacts/phase6nb-amzn-drv-test-source-closure-20260810-01/phase6nb-amzn-drv-test-source.csv; sha256sums.txt,Static review only; compare future signed image manifest if supplied
6RH-03,IDME registration and lifecycle,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_idme.c:302-356; platform/device/amazon/kernel/driver/Kconfig:43-68,UNKNOWN: no verified IDME node in boot_unpacked file listing,platform/device/amazon/kernel/driver/Makefile and trona_defconfig: Amazon dependency chain; exact selected symbol UNKNOWN,source creates proc root and removes child write bits/restricts owner per prior audit; SELinux and ordinary caller UNKNOWN,proc IDME read path and lifecycle initialization; final consumer/sink UNKNOWN,build source is present but shipped image and runtime lifecycle are not closed,UNKNOWN,medium,high,work/luna_worker_source_scope_driver_audit_20260810.md; work/luna_worker_phase6_ota_postinstall_audit_20260810.md,Index init/permission declarations from any newly supplied vendor image; no device probing
6RH-04,MTK AUXADC ioctl/factory surface,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/4.4/drivers/misc/mediatek/auxadc/mtk_auxadc.c:553-625; :661-668,firmware/extracted/PS7331/boot_unpacked/Image; literal markers AUXADC/store_AUXADC_register/AUXADC_read_channel reported,platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/auxadc/; exact defconfig/module selection UNKNOWN,UNKNOWN: node mode; file_context/CIL and allow rules not present in bounded source scope,UNKNOWN: ioctl caller and UID not established,ioctl handlers and copy_from_user; calibration/register state sink,source/image literal correspondence is not proof of node access or SELinux reachability,medium,high,work/luna_worker_source_scope_driver_audit_20260810.md; work/luna_worker_phase6_ota_postinstall_audit_20260810.md,Only inspect static source and preserved image strings; no node/ioctl execution
6RH-05,Android init/file_context/CIL provenance,source archive has no platform/system/core/init or complete Android userspace policy loader; only kernel init and build-side policy references,boot_unpacked contains preserved boot artifacts but no verified Android file_context/CIL asset in bounded listing,UNKNOWN: init rc/config and selected policy mapping are not closed,UNKNOWN: no SELinux allow rule or permission grant can be attributed to these driver names,UNKNOWN: no caller or sink,negative scope result; absence in bounded source/archive must not be generalized to uncollected image partitions,UNKNOWN,low,high,work/luna_worker_source_scope_driver_audit_20260810.md; work/luna_worker_phase6_ota_postinstall_audit_20260810.md,If a full system/vendor unpack is provided index file_contexts/CIL/init rc only
6RH-06,OTA package metadata and gating,source-side updater implementation not in Android userspace source archive; existing static package metadata is authoritative for this row,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin; SHA-256 9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,updater-script lines 1-2 gate build date and ro.product.device trona,otacert is package verification asset; exact verifier permission/caller UNKNOWN,recovery/update context consumes metadata; sink is gated updater dispatch,signature/staging implementation and invoking caller not dynamically validated,UNKNOWN,high,high,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/ota-findings.csv:16-19; work/luna_worker_phase6_ota_postinstall_audit_20260810.md,Continue static member/hash comparison only; do not run updater or recovery
6RH-07,OTA block-image and boot-chain writer provenance,not present as Android source; static updater dispatch artifact only,firmware/extracted/PS7331 package members system.new.dat.br vendor.new.dat.br boot.img images/*.img,updater-script:6-23; no init rc needed for recovery script,UNKNOWN: recovery SELinux policy and caller authorization not represented in package script,UNKNOWN: ordinary APK/shell caller to recovery writer not established,block_image_update/package_extract_file target system/vendor/boot and boot-chain partitions,post-install caller chain and signature/staging internals remain UNKNOWN; no write occurred,high,high,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/summary.json; work/luna_worker_phase6_ota_postinstall_audit_20260810.md,Preserve as capability-only row; no malformed package or partition test
6RH-08,OTA post-install/cache provenance,known package member META-INF/com/amazon/android/target.blocklist and updater-binary; outer source archive audit is bounded,artifact members.json and summary.json; no payload.bin or A/B postinstall executable found in known set,updater-script:24 extracts target.blocklist to /cache/recovery/last_blocklist,UNKNOWN: recovery file_context/allow and post-install caller UNKNOWN,UNKNOWN: cache file sink only; no post-install executable route proven,known-member negative only; outer archive EOF limitation prevents universal negative,medium,high,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/ota-findings.csv:2,46; artifacts/phase6mi-source-tar-eof-20260810-03/source-tar-flow.mmd,Re-run only bounded archive inventory if a complete archive artifact is supplied
6RH-09,OtaDexopt lifecycle service,framework source not present in GPL/source archive; existing decompiled artifact is static evidence,installed PS7331 services VDEX contains com.android.server.pm.OtaDexoptService; service-list artifact records otadexopt,SystemServer gate and OtaDexoptService/OtaDexoptShellCommand line refs in existing audit,service is framework/Binder-visible; exact SELinux domain and caller authorization UNKNOWN,shell command prepares/cleans dexopt command/OAT state; no partition/HOME/root sink established,service visibility is not arbitrary Binder authority and no mutating command was run,UNKNOWN,medium,high,work/luna_worker_phase6_ota_postinstall_audit_20260810.md; artifacts/phase6af/otadexopt-implementation-closure-20260805-02/implementation.json,Static VDEX/disassembly review only; do not invoke service
6RH-10,OTA boot-after lifecycle receiver,framework source not in GPL source archive; existing decompiled artifact only,installed fosservices disassembly artifact; no direct image init asset verified,UNKNOWN: receiver registration/boot phase and upgrade gate are in decompiled framework; exact manifest permission UNKNOWN,system_server boot phase 550 and PackageManagerService.isUpgrade gate; ordinary sender not established,OOBE/setup state and OobeHomeActivity lifecycle writes; no ordinary HOME caller proven,receiver action alone is not sender authentication,UNKNOWN,medium,high,work/luna_worker_phase6_ota_postinstall_audit_20260810.md; work/luna_worker_ota_inventory_20260810.md,Keep lifecycle and caller as separate UNKNOWN fields
