"row_id","surface","source_path_line","source_sha256","node_or_entry","ueventd_evidence","selinux_evidence","userspace_caller","sensitive_effect","status","confidence","evidence_paths_hashes"
"1","MTK CMDQ/MDP","platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:739-741,865,894-898; mdp/mdp_ioctl_ex.c:332-405,602-729","b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899","/dev/mtk_cmdq; CMDQ_IOCTL_ASYNC_EXEC -> MDP secure/readback","Exact PS7331 ueventd rule not preserved; prior metadata crw-r--r-- system:system","vendor_file_contexts:326 mtk_cmdq_device; exact TE allow for caller not closed","UNKNOWN: no direct APK/JAR or exact native open/ioctl caller; Phase 6FT only closes driver-side data-flow","Structured user copies, secure metadata/readback, display/register/DMA effects theoretical; no framework/PMS/HOME edge","source+config+label metadata confirmed; caller/effect reachability UNKNOWN","HIGH","findings/phase-6g-cmdq-static-surface.md=ac78936554dcb83522ae76da3619b0f313260f54069ae4de3155680a39d2814d; artifacts/phase6ft/cmdq-dataflow-audit-20260807-01/command-output.txt=211b59ad29e1af93b7e30eb987f04b02f5b63ee61df2bf28bea6f91ffd568754; artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config=verified existing evidence"
"2","MTK accelerometer factory","platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/sensors-1.0/accelerometer/accel_factory.c:35-168,202-227","b00912925e4b053f7d80e25ee01b40a70e2eccd6f6eb3db6ea7d398ff32601c","/dev/gsensor; SET_CALI/CLR_CALI/ENABLE_CALI","Exact ueventd rule/mode not preserved","vendor_file_contexts:304 gsensor_device; exact domain allow not closed","UNKNOWN: no source client found","Sensor calibration/device behavior only; no package/HOME/boot sink","source and label mapping confirmed; caller UNKNOWN","MEDIUM","work/luna_worker_phase6rz_20260810.md=63b75fce577e9176e68b8bb61c4e5bba932a5e41521ac6306ee42d57fac69b0f"
"3","MTK performance ioctl","platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203,231-232","df846d7463d14af07fa98bb0a26d389c1a5e41a46b58763327c9d47a2aa3ff09","/proc/perfmgr/perf_ioctl; proc mode 0664; read/write/ioctl/compat","Source declares proc mode 0664; exact init ownership join absent","Exact genfscon/TE allow not found in preserved join","UNKNOWN: no direct caller established; adjacent performanced policy is not proof of proc writer","FPSGO/fbc/touch-boost scheduling/resource state; no package/settings/HOME edge","writable source surface; access and caller UNKNOWN","MEDIUM","work/luna_worker_phase6rz_20260810.md=63b75fce577e9176e68b8bb61c4e5bba932a5e41521ac6306ee42d57fac69b0f"
"4","MTK M4U","platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809,2220-2270","6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6","/proc/m4u; active proc registration; /dev/m4u branch inactive","proc_create mode 0; no ueventd rule for active proc entry preserved","No exact genfscon/TE allow join preserved","UNKNOWN: no source userspace caller found","MVA allocation, port configuration, monitor/power and translation-fault/IOMMU state theoretical","source-only/access/caller UNKNOWN; mode is not a vulnerability","MEDIUM","work/luna_worker_phase6rz_20260810.md=63b75fce577e9176e68b8bb61c4e5bba932a5e41521ac6306ee42d57fac69b0f"
"5","ION","platform/kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/ion.c:1502-1658,1906-1956; ion/mtk/ion_drv.c:428-492,703-736","abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63","/dev/ion; alloc/free/map/share/import/sync/custom ioctl","Prior metadata mode 0666 owner system:graphics; exact ueventd rule not preserved","vendor_file_contexts:198 ion_device; plat_sepolicy.cil:10162 shell allow; policy is not live operation proof","Native graphics/camera/codec/media symbols exist, but exact open/ioctl caller and ordinary APK/JAR caller UNKNOWN; 307 APK/JAR scan had no direct marker","Memory/DMA/buffer sharing effects theoretical; no PMS/ATMS/HOME edge","source+config+label+policy confirmed; exact caller/effect UNKNOWN","HIGH","findings/phase-6np-ion-and-control-surface-closure.md=e794860432a2b8819bf738e91f54a10039a9aebb98e9b1980bdeb7e160952d6d; artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_sepolicy.cil=4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d"
"6","MTK RPMB / rpmb_svc","platform/kernel/mediatek/mt8183/4.4/drivers/char/rpmb/rpmb-mtk.c:2377-2401,2560-2582,2736-2776","a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5","MTK RPMB char path; /dev/rpmb0,/dev/emmcrpmb0 and RPMB block paths","vendor_file_contexts:430,627,650; exact ueventd ownership/mode not preserved","Labels rpmb_block_device/teei_rpmb_device; rpmb_svc tee_exec; service-to-driver allow/caller UNKNOWN","rpmb_svc binary exists in preserved inventory, but source-to-service open/ioctl edge UNKNOWN","Authenticated persistent storage; boot/policy/identity effects theoretical","source+labels+binary presence; caller/effect UNKNOWN","MEDIUM","work/luna_worker_phase6rz_20260810.md=63b75fce577e9176e68b8bb61c4e5bba932a5e41521ac6306ee42d57fac69b0f"
"7","Amazon IDME","platform/device/amazon/kernel/driver/amzn_idme.c:62-71,319-351","ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e","/proc/idme/<field>; IDME block/HAL-adjacent entries","Proc source masks write bits; exact ueventd/init rule not preserved","proc_idme fs type; vendor_file_contexts:687 labels idme_block_device; exact read caller allow UNKNOWN","IDME HAL binary/context exists; exact /proc/idme read caller UNKNOWN","Read-only product/calibration/identity disclosure; no userspace write fop/state-writer edge","read-only bounded negative for direct write; caller/read reachability partially UNKNOWN","HIGH","work/luna_worker_phase6rz_20260810.md=63b75fce577e9176e68b8bb61c4e5bba932a5e41521ac6306ee42d57fac69b0f"
"8","Amazon diagnostic/test proc","platform/device/amazon/kernel/driver/amzn_drv_test.c:747-812; 681-682","6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e","/proc/amzn_drvs/{sign_of_life,idme,logger}; decimal proc write dispatcher","Source requests 0644; exact init/ueventd/final proc policy not preserved","Exact file-context/genfscon/TE allow not preserved","UNKNOWN: no client; final config has # CONFIG_AMZN_DRV_TEST is not set; shipped module/node unproven","Source labels factory-reset/OTA special-mode/RTC test controls; conditional on build/delivery/authorization","conditional source-only; not shipped-confirmed; metadata is not vulnerability","HIGH","work/luna_worker_phase6mz_driver_inventory_20260810.md=not recomputed; artifacts/phase5/ps7331-ikconfig-20260804-01/kernel.config=verified existing evidence"
"9","Amazon metrics diagnostic","platform/device/amazon/kernel/driver/amzn_logger.c:698-738; Documentation/amazon_logger.txt:104-109","9293b2f75e8e7760f961d5849b3fe3e666e8e2df0b2906b6fcdf4b2190d7afbd","/dev/metrics and /dev/vitals; read/poll only","Exact ueventd mode/owner not preserved","Exact file-context/TE allow not preserved","UNKNOWN: no direct package/client caller established","Metrics/logging read state only; no write fop or package/HOME sink","source+config confirmed; caller and installed node policy UNKNOWN","HIGH","work/luna_worker_phase6rz_20260810.md=63b75fce577e9176e68b8bb61c4e5bba932a5e41521ac6306ee42d57fac69b0f"
"10","Amazon lifecycle diagnostic","platform/device/amazon/kernel/driver/amzn_sign_of_life.c:255-265,277-370","87e455617e0960658bade537a316c5168a47048db1f2e72922b3e38129449419","/proc/life_cycle_reason; read-only proc","Source mode 0444; exact init/ueventd not applicable/preserved","proc genfscon not separately preserved","UNKNOWN: no userspace write caller; setters are kernel APIs, not proc write callbacks","Read-only lifecycle telemetry; kernel-originated reasons separate from userspace caller","read-only bounded negative for direct userspace write","HIGH","work/luna_worker_phase6rz_20260810.md=63b75fce577e9176e68b8bb61c4e5bba932a5e41521ac6306ee42d57fac69b0f"
"11","MTK GED reference boundary","platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/gpu/ged/src/ged_main.c:340-344,411","95671972e22b12d0f6301c28750ebc28e371e02a75610ff62a94a90953fa30c5","/proc/ged; reference surface for caller/effect comparison","Source mode 0644; exact ueventd not applicable","proc_ged label and shell query evidence preserved in Phase 6IS","Known saved caller is shell UID 2000/u:r:shell:s0 for query-only telemetry; no ordinary-app caller","Query telemetry only; no Framework/PMS/HOME edge","confirmed shell telemetry boundary; not sensitive effect","HIGH","findings/phase-6is-selinux-driver-route-closure.md=f83bd9ba704268e11e0b2580cf2af6454a571a0cbc4712226e2876eabe387718"
