id,subject,relation,source,source_sha256,line,observed,requested,granted,holder_or_grant,service_permission,caller,sink,scope,status,confidence,notes
SF-001,amazon.permission.ADD_RM_PKG_METADATA,declaration,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,1822,"permission name declared by package android.amazon.perm",NA,NA,"declaration source=android.amazon.perm",NA,NA,NA,"saved exact-build permission XML",CONFIRMED,High,"Corrects older 6RY/6SB stale note: this exact declaration is present in the preserved XML."
SF-002,amazon.permission.ADD_RM_PKG_METADATA,protectionLevel,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,1822,"protectionLevel raw=0x80000002 (signature|privileged encoding)",NA,NA,NA,NA,NA,NA,"saved exact-build permission XML",CONFIRMED,High,"The raw value is directly observed; symbolic decode follows Android protection-bit convention."
SF-003,amazon.permission.ADD_RM_PKG_METADATA,privapp grant/holder,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp_permissions.xml,643cf114ed7d7b82a642fea650ed7d2f53b5dab2291e4f043c272cbe577df732,1-9999,"no exact custom permission row found",NA,NA,"not found in this privapp XML",NA,NA,NA,"bounded extracted system privapp policy",BOUNDED_NOT_FOUND,Medium-High,"Does not prove no grant exists elsewhere or at runtime."
SF-004,amazon.permission.ADD_RM_PKG_METADATA,platform privapp grant/holder,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp-permissions-platform.xml,0b30c1624ffdab6c5454746737a060157276da5d2bd43addc74cd3919ae4aad1,1-9999,"no exact custom permission row found",NA,NA,"not found in this platform privapp XML",NA,NA,NA,"bounded extracted platform privapp policy",BOUNDED_NOT_FOUND,Medium-High,"Does not prove no grant exists elsewhere or at runtime."
SF-005,amazon.permission.ADD_RM_PKG_METADATA,sysconfig grant/allowlist,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/sysconfig/framework-sysconfig.xml,bd6e7c52f1c036be4a770bd3be06d0c3a237d05f97921f47c2f652de59ca8fc3,1-9999,"no exact permission or package allowlist row found",NA,NA,"not found in this sysconfig XML",NA,NA,NA,"bounded extracted system sysconfig",BOUNDED_NOT_FOUND,Medium,"No negative claim outside this file."
SF-006,amazon.permission.ADD_RM_PKG_METADATA,holder census,artifacts/phase6mc-permission-holder-audit-20260810-05/permission-holders.csv,1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18,1-9999,"census targets standard permissions only; no exact custom row",NA,NA,"no exact holder row in bounded census",NA,NA,NA,"Phase 6MC holder corpus",BOUNDED_NOT_FOUND,Medium-High,"The census summary itself labels custom exact holder as unavailable; holder is not determined."
SF-007,amazon.permission.ADD_RM_PKG_METADATA,method authorization,decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,366135-366143,"AmazonPackageManagerImpl.addAmazonMetadataForPackage checks checkCallingOrSelfPermission",NA,NA,"method gate only; no holder inferred",NA,"framework facade caller path",AmazonApplicationFlags metadata path,"exact VDEX/JADX-derived framework",CONFIRMED,High,"Caller-controlled permission check is not proof of a production caller."
SF-008,amazon.permission.ADD_RM_PKG_METADATA,method authorization,decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,368031-368039,"AmazonPackageManagerImpl.removeAmazonMetadataForPackage checks checkCallingOrSelfPermission",NA,NA,"method gate only; no holder inferred",NA,"framework facade caller path",AmazonApplicationFlags metadata path,"exact VDEX/JADX-derived framework",CONFIRMED,High,"Same gate applies to the remove metadata facade."
SF-009,amazon.permission.ADD_RM_PKG_METADATA,Binder mutator gate,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,95991-96025,"BinderService tx4/tx5 checks the permission then calls AmazonApplicationFlags setters",NA,NA,"no grant/holder encoded in method block",NA,"IAmazonPackageManager BinderService",NA,"system_server VDEX",CONFIRMED,High,"tx4=setAmazonFlagsForUser; tx5=setAmazonMetadataForUser."
SF-010,amazon.permission.ADD_RM_PKG_METADATA,Binder mutator gate,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,95949-95984,"BinderService tx1/tx2 checks the permission then calls AmazonApplicationFlags removers",NA,NA,"no grant/holder encoded in method block",NA,"IAmazonPackageManager BinderService",NA,"system_server VDEX",CONFIRMED,High,"tx1=removeAmazonMetadataForUser; tx2=removeAmazonFlagsForUser."
SF-011,amazon.permission.ADD_RM_PKG_METADATA,service permission,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,96130-96136,"service is published as BinderService under getSystemServiceName; no service-level permission argument observed",NA,NA,NA,"no service permission observed in publication call","IAmazonPackageManager BinderService","published system-server Binder service","bounded fosservices VDEX",NOT_OBSERVED,Medium-High,"Method-level check is observed; service-level manifest permission is not established by this publication slice."
SF-012,ADD_RM metadata methods,production caller,artifacts/phase6mc-caller-provenance-20260810-01/caller-provenance.csv,fbb4f21dad1c3948bb3748fe7bcf652b6b136a6fb07e62cb4e7d7e6d51e1b11d,1-9999,"inventory records facade/service paths but does not prove an upstream production caller",NA,NA,"not established",NA,"IAmazonPackageManager facade/Binder",UNKNOWN,Phase 6MC caller provenance corpus,BOUNDED_NOT_FOUND,Medium,"Do not convert generated Proxy/Stub or facade callsites into actual production caller identity."
SF-013,amazon.permission.ADD_RM_PKG_METADATA,requested permission,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,1-9999,"no uses-permission entry for this exact name in the saved permission-owner XML",NOT_FOUND,NA,"not established",NA,NA,NA,"bounded exact permission-owner manifest",BOUNDED_NOT_FOUND,Medium,"This file is a declaration owner, not a complete package-request census."
SF-014,amazon.permission.ADD_RM_PKG_METADATA,granted permission,artifacts/phase6mc-permission-holder-audit-20260810-05/summary.json,f507f30499f778c94b3b52f5835cdd5ce365039ffdb88c02180509661f840103,1-9999,"summary has no exact custom grant row and does not claim complete custom-permission coverage",NA,NOT_ESTABLISHED,"unknown",NA,NA,NA,"bounded Phase 6MC package-state grant evidence",BOUNDED_NOT_FOUND,Medium,"Unknown is intentional; not equivalent to runtime denial or nonexistence."
SF-015,com.amazon.permission.RECEIVE_HOME_LONGPRESSED_ACTION,HOME-related declaration,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,477-478,"declared with raw protectionLevel=0x80000002",NA,NA,"holder/grant not joined",NA,NA,NA,"saved exact-build permission XML",CONFIRMED,High,"HOME event receiver permission; not a HOME selector writer."
SF-016,com.amazon.permission.RECEIVE_CUSTOM_HOME,HOME-related declaration,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,480-481,"declared with raw protectionLevel=0x80000002",NA,NA,"holder/grant not joined",NA,NA,NA,"saved exact-build permission XML",CONFIRMED,High,"HOME-related permission; declaration alone does not establish preferred HOME mutation."
SF-017,amazon.intent.permission.HOME_PRESSED,HOME-related declaration,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,1459-1464,"permission declared for HOME_PRESSED/HOME_DOUBLE_PRESSED receiver broadcasts; raw protectionLevel=0x12",NA,NA,"holder/grant not joined",NA,NA,"HOME broadcast only; protected broadcast permission context","saved exact-build permission XML",CONFIRMED,High,"Broadcast reception is distinct from preferred-activity/HOME setter access."
SF-018,com.amazon.permission.RECEIVE_HOME_LAUNCH_REASON,HOME-related declaration,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,1937-1940,"declared with raw protectionLevel=0x80000002",NA,NA,"holder/grant not joined",NA,NA,NA,"saved exact-build permission XML",CONFIRMED,High,"Related HOME launch-reason permission, separate from ADD_RM metadata."
SF-019,HOME/package-state consumer gap,negative linkage,decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,368089-368259,"preferred and enabled-state APIs exist as separate delegate methods; no ADD_RM-to-these edge in inspected facade slice",NA,NA,NA,NA,NA,"preferred/activity and enabled-state APIs; separate PackageManager delegate methods","bounded framework VDEX",BOUNDED_NOT_FOUND,Medium-High,"Not found in bounded linkage review; not proof the full image has no edge."
SF-020,AmazonApplicationFlags persistence,first sink,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,95440-95556,"metadata/flags update locked maps and writeToFile",NA,NA,NA,NA,"BinderService delegates here", "AmazonApplicationFlags XML persistence", "bounded exact VDEX",CONFIRMED,High,"Confirmed metadata persistence; no HOME meaning inferred."
