surface,source_registration_and_abi,config_scope,extracted_policy_or_node_join,exact_shipped_native_caller,completeness_result,notes
"Amazon IDME /proc/idme/*","amzn_idme.c:315-344 proc root and seq read fops; permission write bits removed and fallback 0400:334-344","CONFIG_AMZN_IDME=y trona_defconfig:528 and merged kernel.config:3583","policy label and CIL evidence cited by 6SO/6SG; exact final caller not established","native inventory has IDME HAL libraries only; no exact proc open/read callsite","UNKNOWN — source/config/policy present; caller incomplete","Read-only source-bounded negative; do not infer HAL presence as proc caller"
"Amazon lifecycle /proc/life_cycle_reason","amzn_sign_of_life.c:255-265 read/seq-only fops and proc_create mode 0444","CONFIG_AMZN_SIGN_OF_LIFE=y and CONFIG_AMZN_SIGN_OF_LIFE_RTC=y trona_defconfig:524-525","exact proc label/allow not closed in preserved extraction","native inventory has no exact proc reader callsite","UNKNOWN — caller/policy join incomplete","Kernel RTC setters are internal producer paths not userspace write surface"
"Amazon metrics and vitals misc nodes","amzn_logger.c:696-738 read/poll/open/release-only fops and misc_register; docs name /dev/metrics and /dev/vitals","CONFIG_AMZN_METRICS_LOG=y and CONFIG_AMZN_MINERVA_METRICS_LOG=y trona_defconfig:526-527","vendor file-context exact labels not found in bounded grep; prior 6SO/6MZ source evidence retained","native inventory has no exact open/read callsite for these paths","UNKNOWN — source/config present; shipped node/caller incomplete","No write callback in source; 6SO/6MZ result referenced without rerun"
"Amazon driver-test proc subtree","amzn_drv_test.c:784-841 test_fops and child proc_create entries with S_IRUGO|S_IWUSR; factory/RTC test dispatch","CONFIG_AMZN_DRV_TEST absent from trona and merged config","6SO/6MZ recorded no shipped /proc/amzn_drvs node; no final label join","native inventory has no exact /proc/amzn_drvs caller","BOUNDED NEGATIVE — source exists but selected config/shipped delivery not established","Do not treat engineering source as shipped reachability"
"Amazon keycombo/input driver","amzn_keycombo.c:probe/device-tree key-down/up properties; no proc/sysfs/ioctl registration found in scoped file","CONFIG_AMZN_INPUT_KEYCOMBO=y trona_defconfig:529","No exact keycombo node label/init rule in preserved policy","No exact shipped native caller; kernel input path only","UNKNOWN — config/source present; policy/caller incomplete","Input event routing is not an exact caller proof"
"MediaTek GED proc ioctl","drivers/misc/mediatek/gpu/ged/src/ged_main.c:321-326 fops read/write/unlocked_ioctl/compat and :392 proc_create mode 0644","CONFIG_MTK_GPU_SUPPORT=y trona_defconfig:142-144 and merged config:1255-1257","vendor file_contexts:471 labels /sys/kernel/debug/ged; proc label/owner mode not exact in extraction; CIL allow not caller proof","native inventory lists libged.so and libged_sys.so only; no exact proc ioctl callsite","UNKNOWN — source/config/debugfs policy-name join; exact proc caller absent","Separate debugfs GED path from proc GED ioctl"
"MediaTek GED debugfs","ged_debugFS.c:114-173 debugfs_create_file/dir; debugfs directory name is GED_DEBUGFS_DIR_NAME","CONFIG_MTK_GPU_SUPPORT=y","vendor file_contexts:471 /sys/kernel/debug/ged -> debugfs_ged; no exact per-file mode/allow join","native inventory has libged names only; no exact debugfs open/write callsite","UNKNOWN — source/config/label present; caller incomplete","No debugfs operation performed"
"MediaTek PMIC debugfs/sysfs","upmu_debugfs.c:127,165,203 DEVICE_ATTR 0664; :323-351 mtk_pmic debugfs and dump_pmic_reg S_IRUGO|S_IWUSR plus device attrs","CONFIG_MTK_PMIC_NEW_ARCH=y; CONFIG_MTK_PMIC_COMMON=y; CONFIG_MTK_PMIC_CHIP_MT6358=y; CONFIG_MTK_AUXADC_INTF=y trona:110-113 and merged:1184-1196","No exact mtk_pmic file-context/ueventd rule found in preserved extraction","native inventory has no exact PMIC debugfs/sysfs open/write caller","UNKNOWN — selected source/config; policy and exact caller incomplete","Potential hardware-control debug surface; not a reachability finding"
"MediaTek memory config proc","mtk_memcfg.c:710-758 /proc/mtk_memcfg/memory_layout and engineering frag/oom entries; write handlers at :481-528","CONFIG_MTK_MEMCFG=y trona:219 and merged config relevant MTK_MEMCFG entry","No exact proc label/allow or shipped init rule in preserved extraction","native inventory has no exact proc write caller","UNKNOWN — source/config scope only","Engineering-only entries additionally gated by CONFIG_MTK_ENG_BUILD; no product selection evidence"
"MediaTek thermal proc control","mtk_thermal_monitor.c:234-249 creates /proc/mtkcooler and /proc/mtktz; :1089-1100 and :1615-1616 writable monitor/indicator/scenario entries","CONFIG_THERMAL=y; CONFIG_THERMAL_WRITABLE_TRIPS=y; CONFIG_AMZN_THERMAL_VIRTUAL_SENSOR=y trona:332-338","No exact proc file-context/ueventd/init join in preserved extraction","native inventory has no exact thermal proc write caller","UNKNOWN — source/config present; policy/caller incomplete","Source mode is not runtime SELinux or owner proof"
