id,surface,source_config_shipped_evidence,native_artifact_result,status,exact_gap
TC-01,"GED proc /proc/ged","ged_main.c:321-326,392; CONFIG_MTK_GPU_SUPPORT; prior GED policy/debugfs labels","libged.so/libged_kpi.so/libged_sys.so inventory only; no exact path-specific ELF open/read/write/ioctl call site; shell query-only telemetry excluded",UNKNOWN,"shipped native proc caller"
TC-02,"GED debugfs /sys/kernel/debug/ged/*","ged_debugFS.c:114-173; GED/debugfs file-context label","GED library names only; no exact debugfs path operation and call site",UNKNOWN,"shipped ELF debugfs caller"
TC-03,"Vcodec /dev/Vcodec","videocodec_kernel_driver.c:1846,2972-2981,3112-3134; CONFIG_MTK_VIDEOCODEC_DRIVER=y; vendor label","libvcodec_oal.so/libvcodec_utility.so presence only; no exact /dev/Vcodec open/ioctl call-site/relocation tuple",UNKNOWN,"shipped Vcodec node caller"
TC-04,"camera ISP /dev/camera-*","camera ISP registration/ioctl source; CONFIG_MTK_CAMERA_ISP_*; camera vendor labels","no exact camera path joined to shipped ELF open/ioctl call site; HAL identity excluded",UNKNOWN,"shipped camera node caller"
TC-05,"sensor misc nodes","sensor source/factory/ioctl paths; CONFIG_MTK_SENSOR_SUPPORT=y; sensor vendor labels","no exact sensor path plus shipped ELF open/ioctl call-site/relocation tuple; HAL presence excluded",UNKNOWN,"shipped sensor node caller"
TC-06,"thermal proc /proc/mtkcooler and /proc/mtktz","mtk_thermal_monitor.c:234-249,1089-1100,1615-1616; thermal/writable-trip config","no exact proc path and native ELF read/write call site",UNKNOWN,"shipped thermal proc caller"
TC-07,"USB SSUSB sysfs mode/reg/cmode","ssusb_sysfs.c:153,326,330,343-345; USB MU3D/SIB config","no exact sysfs attribute plus shipped ELF write call site",UNKNOWN,"shipped USB sysfs writer"
TC-08,"Type-C typec%u device/sysfs","typec-ioctl.c:691-707,745-756; adjacent USB/PMIC config","no exact /dev/typec* or Type-C sysfs path joined to ELF open/write/ioctl call site",UNKNOWN,"shipped Type-C caller"
TC-09,"PMIC debugfs dump_pmic_reg","upmu_debugfs.c:127,165,203,323-351; PMIC common/AUXADC/MT6358 config","no exact PMIC debugfs path plus native ELF write/ioctl call site",UNKNOWN,"shipped PMIC debugfs caller"
TC-10,"PMIC 0664 device attrs","upmu_debugfs.c:127,165,203; selected PMIC config","no exact attribute path and shipped ELF read/write call site",UNKNOWN,"shipped PMIC sysfs caller"
TC-11,"Amazon IDME /proc/idme/*","amzn_idme.c:315-344; CONFIG_AMZN_IDME=y; proc/policy/init evidence; source read/seq-only","IDME HAL libraries only; no exact /proc/idme string plus open/read call site or relocation chain",UNKNOWN,"shipped IDME proc reader"
TC-12,"Amazon lifecycle /proc/life_cycle_reason","amzn_sign_of_life.c:255-265; read-only 0444; lifecycle config","no exact proc reader ELF string/call site; kernel setter is not userspace caller",UNKNOWN,"shipped lifecycle proc reader"
TC-13,"Amazon metrics/vitals /dev/metrics and /dev/vitals","amzn_logger.c:696-738; read/poll/open/release-only misc fops; metrics config","no exact device path plus shipped ELF open/read/poll call site",UNKNOWN,"shipped metrics/vitals reader"
TC-14,"Amazon diagnostics /proc/amzn_drvs/*","amzn_drv_test.c:784-841; CONFIG_AMZN_DRV_TEST absent; prior shipped snapshot lacks node","no shipped ELF caller; package/diagnostic HAL names are not path-specific",UNKNOWN,"shipped delivery and exact native caller"
