id,edge_or_input,uid_domain,status,offset_or_lines,method,input_path,sha256,downstream_effect
E01,"gralloc.mt8183.so -> libion.so/libion_mtk.so","system/hal_graphics_allocator_default",POSITIVE_ELF_LIBRARY_CALLER,"0x1fe10;0x1fe48;0x1fe50;0x1fe68;0x1fe70;0x1ffe8","DT_NEEDED+relocation+nm/objdump","artifacts/phase9/.../vendor-lib64/lib64/hw/gralloc.mt8183.so",a86dfa6105cb6aaf680b34b4ea4e1dbb57a510db295cc45a0b6d8c4c424aadee,"ION alloc/sync/import/free/custom at ELF level only"
E02,"gralloc internal dlopen/dlsym","system/hal_graphics_allocator_default",POSITIVE_ELF_EXACT_DLOPEN_TARGET,"0xcb6;0x127b;0x12cb","strings+symbol inspection","artifacts/phase9/.../vendor-lib64/lib64/hw/gralloc.mt8183.so",a86dfa6105cb6aaf680b34b4ea4e1dbb57a510db295cc45a0b6d8c4c424aadee,"target gralloc.mt6771.so; success/process UNKNOWN"
E03,"hwcomposer.mt8183.so -> libion.so/libion_mtk.so","system/hal_graphics_composer_default",POSITIVE_ELF_LIBRARY_CALLER,"0xae010;0xafe80-0xafea8","DT_NEEDED+relocation+nm/objdump","artifacts/phase9/.../vendor-lib64/lib64/hw/hwcomposer.mt8183.so",482e7a1decda4656c80b1b9aa0bb5970bf99f139fe273e9f42c8768f834d7564,"ION map/import/share/free at ELF level only"
E04,"allocator service -> gralloc implementation","system/hal_graphics_allocator_default",UNKNOWN_SERVICE_LOAD,"rc line 1; service NEEDED interface only; manifest lines 92-100","init rc+DT_NEEDED+VINTF","artifacts/phase6c/.../vendor/etc/init/android.hardware.graphics.allocator@2.0-service.rc; artifacts/phase5/.../compatibility/vendor_manifest.xml","bf196b7d0accd30fb6f35d4351e2708dfebcc3c00c03140a72a3064888aea5bd;6ec44067befbceb6b528078b616ab4b2fd80b51ae2f9f075197afc83cd1ed6f4","no exact implementation load"
E05,"composer service -> hwcomposer implementation","system/hal_graphics_composer_default",UNKNOWN_SERVICE_LOAD,"rc line 1; service NEEDED interface only; manifest lines 102-109","init rc+DT_NEEDED+VINTF","artifacts/phase6c/.../vendor/etc/init/android.hardware.graphics.composer@2.1-service.rc; artifacts/phase5/.../compatibility/vendor_manifest.xml","ebf95c6a24b082e199929a10f538fb555aaeadfd163e3dc9587c21e7baec7bbe;6ec44067befbceb6b528078b616ab4b2fd80b51ae2f9f075197afc83cd1ed6f4","no exact implementation load"
E06,"UREE DRM -> ION libs","owner process/domain UNKNOWN",POSITIVE_ELF_LIBRARY_CALLER,"0x144e;0x1845;0x1856;0x185f;0x186a","DT_NEEDED+strings+nm/objdump","artifacts/phase9/.../vendor-lib64/lib64/lib_uree_mtk_modular_drm.so",4c442d31ab6c803a6c32ff5fbfd3ac693155613051e77d81bc0457020285be0e,"DRM shared-memory effects only; exact dlopen target UNKNOWN"
E07,"mediaserver -> libstagefright -> libion","media/mediaserver",UNKNOWN_RUNTIME_LOAD,"rc lines 1-6; DT_NEEDED closure","init rc+DT_NEEDED","artifacts/phase9/.../system-bin/bin/mediaserver; artifacts/phase9/.../system-lib64/lib64/libstagefright.so","925c142a9a32a2b7d7f5a01976ccb753fb7ef3907f5cb5c8d9296d92b2ff60b3;bc7a3274eb7083870c672123fc862dc43380711ceaceb6d6d2d4551526276feb","transitive possibility only"
E08,"camerahalserver process","cameraserver/mtk_hal_camera",UNKNOWN_PROCESS_CHAIN,"rc lines 1-6; vendor contexts line 59","init rc+file_contexts+CIL","artifacts/phase6c/.../vendor/etc/init/camerahalserver.rc; artifacts/phase6c/.../vendor/etc/selinux/vendor_file_contexts","2f616b01dc163b4b8c72819d0e4d7fa7649fa47b9ef91f7165ced33659464c77;db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e","ION downstream UNKNOWN"
E09,"policy /dev/ion","platform+vendor domains",POSITIVE_POLICY_EDGE,"plat line 226; vendor line 198","file_contexts+CIL","artifacts/phase6c/.../system/etc/selinux/plat_file_contexts; artifacts/phase6c/.../vendor/etc/selinux/vendor_file_contexts","218c3b071433b2dc466ef3fec23c28ab625587ee376c0ddf0ce1ded3831e37eb;db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e","authorization only"
I01,"Phase6TK provenance MD",NA,INPUT,document,"SHA256+prior evidence",work/luna_worker_phase6tk_ion_process_provenance_20260810.md,8e7b6b1984474ad1ee11f3d5a05d8d18ddfd174358e3b31c7904228bfd19fd95,"prior result retained UNKNOWN"
I02,"Phase6TK provenance CSV",NA,INPUT,document,"SHA256+prior evidence",work/luna_worker_phase6tk_ion_process_provenance_20260810.csv,48ebff7fafc83355210ddfa745e989d74786e518cf23b4aa4a1fe93daff9b33f,"prior input manifest"
I03,"Phase6C init rc set",NA,INPUT,"lines cited in report","SHA256+numbered text search","artifacts/phase6c/phase6c-image-policy-extract-20260804-02/{system,etc/init,vendor/etc/init}","72b74027f5aa8b6cefc31d2c91312c1740da814c0233b7967aa423dab31e2b61;80ad0a94c9e9a80578db9ec933c27075d96cfad84c97d3712279dd60c74fca0a;7c5a7de2e3e8b6b4ee3bc8480d2e956341b812c627886421020092bd617b7cc3;c31a17738008b7171c6639fb6f35d580c95f96b73261684940bdc41558c9111d;1135f1685167622d6b7c1b93d78e9965d1dbbf64ebafe006d4758dac9061d9e8;a56e76ce0cb3933dcda463c7b401aee5bf15c78d16279edc98db7bda23bf4ec9;2f616b01dc163b4b8c72819d0e4d7fa7649fa47b9ef91f7165ced33659464c77;bf196b7d0accd30fb6f35d4351e2708dfebcc3c00c03140a72a3064888aea5bd;ebf95c6a24b082e199929a10f538fb555aaeadfd163e3dc9587c21e7baec7bbe","service identities and UID candidates"
I04,"Phase6C SELinux file_contexts/CIL",NA,INPUT,"plat 226; vendor 59,162,170,198,277,280,293","SHA256+numbered text search","artifacts/phase6c/.../system/etc/selinux/plat_file_contexts; vendor/etc/selinux/vendor_file_contexts; plat_sepolicy.cil; vendor_sepolicy.cil","218c3b071433b2dc466ef3fec23c28ab625587ee376c0ddf0ce1ded3831e37eb;db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e;4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d;82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035","labels/authorization only"
I05,"Phase5 HAL manifests",NA,INPUT,"vendor 33-109; system 37-44","XML search+SHA256","artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/compatibility/vendor_manifest.xml; system_manifest.xml","6ec44067befbceb6b528078b616ab4b2fd80b51ae2f9f075197afc83cd1ed6f4;31e695053e4730fe1365e188f185d0ff11ecf0772ed7707730e8a17fe4d907e1","HAL contract/registration only"
I06,"Phase9 service and ELF set",NA,INPUT,"see E01-E07","SHA256+objdump -p+strings+nm","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/{vendor-lib64,system-lib64,system-bin,vendor-bin}","see E01-E07 hashes plus 925c142a9a32a2b7d7f5a01976ccb753fb7ef3907f5cb5c8d9296d92b2ff60b3;28c5f5e6916bd6d5ffde2a9da0b16caaf35b615d1f9b885bb1fe38440abfe49f;a3a5f861a69b3b9c0c9c130a91f9d97dda24897a21d297b5e1b36a2bf82a57b2;ce92b3c7a854b18b30efa449ce046b4f219da95b5e367f4afe7b3cf6c4da0eec;68fad3f7a2bf6f43da358cd4f590b43a0c1b7dda9e8a28982e93a6fd3e8853fb;05099dda9bc57243634d7f2aa42ce893b2d8d0fb022a96b9b3b1677ddcdaa6e4;cadbe6f4e31b30d039bb20931088161cff3b04a61c6c6bfc86dc2e70c8361d11","static ELF graph only"
