id,scope,artifact_or_source_path,sha256,symbol_line_offset,channel_or_node,source_registration,exact_image_or_node_evidence,caller_policy_effect,classification,min_safe_followup
TQ-001,ABSENT,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/amazon,(directory absent),path absent,drivers/amazon,none,not applicable,not applicable,ABSENT,none; use platform/device/amazon/kernel/driver
TQ-002,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_idme.c,ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e,62;316-347,/proc/idme/*,idme_fops; write bits stripped before proc_create_data,phase6br/phase6n ordinary entries read-only; mac_sec system:root 0400,SELinux/runtime mode gate; read-only information effect,POSITIVE_STATIC,metadata/policy diff only; no proc write
TQ-003,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_logger.c,9293b2f75e8e7760f961d5849b3fe3e666e8e2df0b2906b6fcdf4b2190d7afbd,696-738,/dev/metrics;/dev/vitals,read/poll/release only; no write/ioctl,phase6br/6n root:log 0640; reads intentionally not consumed,shell caller lacks log; telemetry only,POSITIVE_STATIC,retain metadata; do not open/read
TQ-004,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_sign_of_life.c,87e455617e0960658bade537a316c5168a47048db1f2e72922b3e38129449419,255-265,/proc/life_cycle_reason,read-only fops and proc_create mode 0444,phase6br/6n read denied under enforcing SELinux,kernel-internal RTC setters only; no HOME edge,POSITIVE_STATIC,metadata/SELinux correlation only
TQ-005,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_drv_test.c,6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e,784-866,/proc/amzn_drvs/*,write dispatcher; module_init,phase6np says built-in image marker excluded; runtime node not established,caller and shipped status incomplete; hardware-test effect,UNKNOWN,config+Image/module evidence only; never write
TQ-006,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_keycombo.c,09e19712f177e0740a96964f420f74adda3412442b65d6df5cec8187e38e6071,116-158;184-300,hardware input/device-tree,panic/orderly_reboot callbacks,Image/device-tree strings only; no userspace node,hardware event caller; reboot/panic not HOME,POSITIVE_STATIC,none; no hardware trigger
TQ-007,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/gpu/ged/src/ged_main.c,95671972e22b12d0f6301c28750ebc28e371e02a75610ff62a94a90953fa30c5,271-344;411;521,/proc/ged,ged_ioctl/fops; proc_create mode 0644; module_init,phase6n/6is node mode 0644 label proc_ged; query-only prior evidence,caller policy/query effect only; no PMS/HOME,POSITIVE_STATIC,no non-query ioctl
TQ-008,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/gpu/ged/src/ged_debugFS.c,7c6530b4ecfe6c142d1fbfac7c26c9e242c511216cd295b9836958fdebea88a5,68-173,/sys/kernel/debug/ged,debugfs fops/create,phase6n directory visible; files not enumerated or written,debugfs caller/file effect incomplete,UNKNOWN,read-only metadata only
TQ-009,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c,b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899,735-741;816-824;864-896;1081,/dev/mtk_cmdq;/proc/cmdq_debug/*;sysfs attrs,ioctl/compat; proc 0440; device_create; subsys_initcall,phase6n/6is system:system crw-r--r--; label mtk_cmdq_device; ENOTTY compatibility probe only,node+SELinux; DMA/display/secure effect; no HOME,POSITIVE_STATIC,no open/ioctl; count/length remains host-only UNKNOWN
TQ-010,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/ion.c,abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63,1478-1617;1657-1658;1920-1924,/dev/ion,ion ioctl ALLOC/FREE/SHARE/MAP/IMPORT/SYNC/CUSTOM and misc registration,phase6np policy labels ion_device; no node open/ioctl,caller reachability/effect incomplete,UNKNOWN,hash node/policy only; no ioctl
TQ-011,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/mtk/ion_drv.c,eb7fbf99acbc492d99d60c98fc62a67fe7350160c6e91dc033781d5bcd986411,689-736;703;856,debugfs ion clients_summary/ion_mm_heap,debugfs source present; exact runtime listing incomplete,allocator bookkeeping only; no HOME,UNKNOWN,read-only source correlation,
TQ-012,POSITIVE_STATIC,firmware/extracted/PS7331-SOURCE-20250617/platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/m4u/2.4/m4u.c,6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6,1577-2059;2261-2268,/dev/m4u or /proc/m4u,MTK_M4U_ioctl compat; misc/proc registration,Phase6N source index only; exact node/policy incomplete,DMA/memory translation; no HOME,UNKNOWN,host-only; no open/ioctl
