scope,path,sha256,line,class,permission,owner,owner_uid,package,uid,signing_digest,requested_permission,grant_or_policy,client_status,classification,next_safe_step
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,3329-3334,PackageManager permission record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,,,,,sourcePackage plus prot=signature|amazon; packageSetting android.amazon.perm/1000,,OWNER_POSITIVE_EFFECTIVE_PACKAGE_MANAGER_RECORD,retain exact permission dump and do not infer owner from H2 UID/priv-app
exact-build host artifact,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/017_com.amazon.h2clientservice.xmltree.txt,f14670a78cdbddf4c46375d78e1607fe491c33fd4d807de57abfe5e2b5300242,69-74,AndroidManifest XML-tree,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,com.amazon.alta.h2clientservice,UNKNOWN,,,,,declared protectionLevel raw 0x2 (signature); no requested-permission in this owner declaration,DECLARATION_POSITIVE_OWNER_RECONCILIATION_OPEN,join effective owner to preserved manifest/package inventory only
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,8542,PackageManager package record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.alta.h2clientservice,10012,e627f73a,UNKNOWN,declared permissions shows prot=signature; this is owner-side declaration record,not external client,OWNER_DECLARATION_RECORD_NOT_CLIENT,do not treat H2 UID/signature as custom holder or caller
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,7538,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.venezia,10076,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,8780,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.h2settingsfortablet,10130,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,11251,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.csapp,10077,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,11568,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.tahoe,10128,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,13410,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.kindle.otter.oobe,10023,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,15146,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.wifilocker,10069,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,15880,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.ags.app,10046,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,17940,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.parentalcontrols,10058,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,18450,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.avod,10106,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,19476,PackageManager install-permissions record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.kindle,10052,e627f73a,UNKNOWN,explicit exact custom permission granted=true,CUSTOM_GRANT_POSITIVE_CLIENT_CANDIDATE_NOT_BIND_PROVEN,inspect preserved manifest requested-permission and static bind edge; no bind/call
exact-build host artifact,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,21051,PackageManager service-resolution record,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,android.amazon.perm,1000,com.amazon.alta.h2clientservice,10012,e627f73a,UNKNOWN,service H2ClientService references exact custom permission,service gate POSITIVE; external client UNKNOWN,retain static-only client UNKNOWN; no invocation
bounded policy search,artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp_permissions.xml; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/permissions/privapp-permissions-platform.xml; artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/sysconfig/framework-sysconfig.xml,643cf114ed7d7b82a642fea650ed7d2f53b5dab2291e4f043c272cbe577df732; 0b30c1624ffdab6c5454746737a060157276da5d2bd43addc74cd3919ae4aad1; bd6e7c52f1c036be4a770bd3be06d0c3a237d05f97921f47c2f652de59ca8fc3,bounded search,XML policy files,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,UNKNOWN,UNKNOWN,,,,UNKNOWN,no matching custom entry in bounded privapp/sysconfig set; H2 block has platform grants only,POLICY_UNKNOWN_NOT_PLATFORM_HOLDER,obtain additional exact-build policy XML if available
host-only static client scan,artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2shared/aidl/IH2ClientService.java; artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2clientservice/H2ClientService.java,3c3c46e60bc6d63be9c7074fa148767e41b51b734d84ceb920719b352ce7cb4b; f30c3b42ce45c1e7ef717b2deb5b0402dbc01fc70cb5a86480d8b4a54e7fa9,4-710; 104-267,AIDL contract and service implementation,com.amazon.alta.h2clientservice.permission.BIND_SERVICE,UNKNOWN,UNKNOWN,,,,UNKNOWN,no additional production implementation/bind caller found in bounded JADX corpus,CLIENT_PACKAGE_UNKNOWN_BOUNDED_NEGATIVE,inspect more preserved exact-build source/APK manifests only
