package,grant,uid,signing_digest,requested_permission,bindService,ServiceConnection,IH2ClientService,artifact_path,line,class,classification,notes
com.amazon.venezia,POSITIVE,10076,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,7538,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.
com.amazon.h2settingsfortablet,POSITIVE,10130,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,8780,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.
com.amazon.csapp,POSITIVE,10077,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,11251,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.
com.amazon.tahoe,POSITIVE,10128,e627f73a,POSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/022_com_amazon_tahoe.xmltree.txt,70,AndroidManifest XML-tree uses-permission,REQUESTED_PERMISSION_POSITIVE_BIND_CLIENT_UNKNOWN,Exact custom permission is declared; no exact H2 bind/callsite recovered in bounded client scan.
com.amazon.kindle.otter.oobe,POSITIVE,10023,e627f73a,POSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/029_com.amazon.kindle.otter.oobe.xmltree.txt,85,AndroidManifest XML-tree uses-permission,REQUESTED_PERMISSION_POSITIVE_BIND_CLIENT_UNKNOWN,Exact custom permission is declared; no exact H2 bind/callsite recovered in bounded client scan.
com.amazon.wifilocker,POSITIVE,10069,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,15146,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.
com.amazon.ags.app,POSITIVE,10046,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,15880,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.
com.amazon.parentalcontrols,POSITIVE,10058,e627f73a,POSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/001_com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.xmltree.txt,106,AndroidManifest XML-tree uses-permission,REQUESTED_PERMISSION_POSITIVE_BIND_CLIENT_UNKNOWN,Exact custom permission is declared; no exact H2 bind/callsite recovered in bounded client scan.
com.amazon.avod,POSITIVE,10106,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,18450,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.
com.amazon.kindle,POSITIVE,10052,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,19476,PackageManager install-permissions record,GRANT_CANDIDATE_NOT_CLIENT,Per-package manifest/JADX bind artifact not preserved in bounded scope.
<owner/service>,POSITIVE,1000,e627f73a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt,3329-3334,PackageManager permission record,OWNER_POSITIVE_NOT_CLIENT,sourcePackage=android.amazon.perm; H2 service record at line 21051 is the gated callee.
<client scan>,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE_BOUNDED,artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2shared/aidl/IH2ClientService.java; artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2clientservice/H2ClientService.java,4-710; 104-267,AIDL contract and service implementation,NO_EXTERNAL_CLIENT_CLOSED,Bounded scan found generated contract/service only; no package-to-bind edge. No bind/call performed.
