package,evidence_type,classification,path,sha256,line,class_or_symbol,detail
com.amazon.venezia,package_path,CONFIRMED_PACKAGE_PROVENANCE,device/baseline/BASELINE-20260803-05/packages/package_focus.txt,edf238bc7aa0c1f4dafd2eb86d5fee5c5b87eab5bfd40678b04e27381417423,11,package_path,/system/priv-app/com.amazon.venezia/com.amazon.venezia.apk
com.amazon.venezia,uid_process,CONFIRMED_UID_HINT,device/baseline/BASELINE-20260803-05/packages/process_focus.txt,68d7e7d95837cca96e03451eff8a488febd7d7e729d2017e79bc98c53305f1cc,17-18,com.amazon.venezia; com.amazon.venezia:sync,u0_a76; uid shown as app-user label only; numeric package UID not present
com.amazon.venezia,uses-permission_xmltree,PARTIAL_PERMISSION_ONLY,artifacts/phase6ac/protected-broadcast-source-audit-20260805-02/manifest-aapt.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,92-122;1141-1156,manifest permission declarations,com.amazon.* venezia permissions observed; candidate APK manifest tree absent
com.amazon.venezia,signature_uid,UNKNOWN,device/baseline/BASELINE-20260803-05,NA,NA,NA,no per-package signing certificate or numeric UID artifact
com.amazon.venezia,jadx_bind_service,UNKNOWN,artifacts/**/jadx|decompiled,NA,NA,NA,no candidate-specific IH2ClientService/bindService/ServiceConnection source located in bounded scope
com.amazon.h2settingsfortablet,apk_provenance,CONFIRMED_APK_HASH,artifacts/phase6bg-h2-settings-readonly-20260805-01/sha256sums.txt,9b769646d63ee7aa303add1b244e963b75b20c9412946aca52dbe3c0cda549b0,1,com.amazon.h2settingsfortablet.apk,APK exists; source path recorded from baseline as /system/priv-app/com.amazon.h2settingsfortablet/com.amazon.h2settingsfortablet.apk
com.amazon.h2settingsfortablet,uses-permission_xmltree,UNKNOWN,artifacts/phase6bg-h2-settings-readonly-20260805-01/manifest.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,AndroidManifest.xml,aapt manifest output is empty; no uses-permission tree
com.amazon.h2settingsfortablet,signature_uid,UNKNOWN,artifacts/phase6bg-h2-settings-readonly-20260805-01,NA,NA,NA,no signature/UID dump in bounded artifacts
com.amazon.h2settingsfortablet,jadx_bind_service,UNKNOWN,artifacts/**/jadx|decompiled,NA,NA,NA,no JADX source or IH2ClientService symbol in bounded scope
com.amazon.h2settingsfortablet,split_provenance,UNKNOWN,artifacts/phase6bg-h2-settings-readonly-20260805-01,NA,NA,NA,only base APK hash/provenance; no split manifest provenance
com.amazon.csapp,package_path,CONFIRMED_PACKAGE_PROVENANCE,device/baseline/BASELINE-20260803-05/packages/package_focus.txt,edf238bc7aa0c1f4dafd2eb86d5fee5c5b87eab5bfd40678b04e27381417423,49,package_path,/system/priv-app/com.amazon.csapp/com.amazon.csapp.apk
com.amazon.csapp,uses-permission_xmltree,PARTIAL_PERMISSION_ONLY,artifacts/phase6ac/protected-broadcast-source-audit-20260805-02/manifest-aapt.xmltree.txt,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,156-172;913;1019,manifest permission declarations,CSAPP and DYK permission names observed; candidate APK manifest tree absent
com.amazon.csapp,signature_uid,UNKNOWN,device/baseline/BASELINE-20260803-05,NA,NA,NA,no per-package signing certificate or numeric UID artifact
