id,classification,artifact_sha256,path,class,method_or_symbol,offset_or_lines,evidence,scope_note
6UG-001,AMAZON,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,com.android.server.pm.permission.AmazonPermissionsGranter,grantSignaturePermission,codeOff=0xd242a; disassembly lines 195954-196000,"compiled branch masks protectionLevel with 0x80000000 then 0x40000000; returns SELinux grant result for first case and package restricted-set membership for restricted case",exact-build fosservices VDEX disassembly; AMAZON vendor control flow
6UG-002,AMAZON,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed,artifacts/phase6ac/protected-broadcast-source-audit-20260805-02/manifest-aapt.xmltree.txt,android.amazon.perm,permission declarations,lines 13-388,"manifest declares protection values 0x80000002 and 0x80000012; package is coreApp=true, platform build 28",android.amazon.perm APK manifest projection; AMAZON symbolic/vendor constants are not encoded as names in this dump
6UG-003,AMAZON,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,android.amazon.perm,APK manifest permission table,manifest evidence via adjacent aapt XML-tree artifact,"artifact SHA recorded; static manifest evidence only",APK bytes present locally; no device/runtime action
6UG-004,AMAZON,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,com.android.server.pm.permission.AmazonPermissionsGranter,addAmazonPermissions,codeOff=0xd24ca; disassembly lines 195930-195952,"compiled path checks SELinux amazon_policies/grant_amazon_permissions and substitutes Amazon INTERACT_ACROSS_USERS_FULL names",vendor permission-grant extension; AMAZON
6UG-005,AOSP_STANDARD,c36adc88a410335e980214fdc11bf4919675546e8691d0784f2e59ae4f33886b,aosp/android-9/android-9.0.0_r1/platform/frameworks/base/services/core/java/com/android/server/pm/PackageManagerService.java,com.android.server.pm.PackageManagerService,checkPermission; checkUidPermission,lines 5320-5333,"delegates package and UID checks to mPermissionManager",AOSP Android 9 r1 source baseline
6UG-006,AOSP_STANDARD,c36adc88a410335e980214fdc11bf4919675546e8691d0784f2e59ae4f33886b,aosp/android-9/android-9.0.0_r1/platform/frameworks/base/services/core/java/com/android/server/pm/PackageManagerService.java,com.android.server.pm.PackageManagerService,scan permission protection validation,lines 17310-17323 and 17376-17388,"uses PROTECTION_FLAG_INSTANT and PROTECTION_MASK_BASE; prevents non-runtime to dangerous protection change",AOSP Android 9 r1 parser/scan semantics
6UG-007,AOSP_STANDARD,929d2cfdba9edcd3af8d03dcfdc7c57ebd53dd013c2625be7635ee1a261663bd,aosp/android-9/android-9.0.0_r1/platform/frameworks/base/services/core/java/com/android/server/am/ActivityManagerService.java,android.app.PermissionController,checkPermission; isRuntimePermission,lines 9046-9074,AOSP checkPermission delegates to AMS and runtime classification masks PROTECTION_MASK_BASE,AOSP Android 9 r1 check semantics
6UG-008,AOSP_STANDARD,929d2cfdba9edcd3af8d03dcfdc7c57ebd53dd013c2625be7635ee1a261663bd,aosp/android-9/android-9.0.0_r1/platform/frameworks/base/services/core/java/com/android/server/am/ActivityManagerService.java,com.android.server.am.ActivityManagerService,checkPermission,lines 9121-9126,"null permission is denied; otherwise calls checkComponentPermission",AOSP Android 9 r1 check semantics
6UG-009,AOSP_STANDARD,d69f9bcfe29c379374f0fbd0a7769be33169f189fe9788fcdffcb52a538ed79d,aosp/android-9/android-9.0.0_r1/platform/frameworks/base/core/java/android/content/pm/PackageManager.java,android.content.pm.PackageManager,checkPermission; getPermissionInfo,lines 3221-3226 and 3435,"public API declarations only; implementation not present in this interface source",AOSP API surface
6UG-010,UNKNOWN,NA,aosp/android-9/android-9.0.0_r1/platform/frameworks/base/core/java/android/content/pm/PermissionInfo.java,android.content.pm.PermissionInfo,PROTECTION_FLAG_*; fixProtectionLevel; protectionToString,NOT_FOUND,"PermissionInfo.java is absent from the bounded AOSP corpus; exact numeric definitions and parser canonicalization cannot be proven from present source",required UNKNOWN ledger
6UG-011,UNKNOWN,NA,aosp/android-9/android-9.0.0_r1/platform/frameworks/base/core/java/android/content/pm/PackageParser.java,android.content.pm.PackageParser,permission XML protectionLevel parse,NOT_FOUND,"PackageParser.java is absent from the bounded AOSP corpus; compiled FireOS parser control flow was not located as a dedicated source-equivalent method",required UNKNOWN ledger
6UG-012,UNKNOWN,NA,decompiled/baksmali/vdexExtractor/services/disassembly.log,com.android.server.pm.permission.PermissionManagerService,grantSignaturePermission; checkPermission; checkUidPermission,compiled offsets not established,"service VDEX contains PermissionManagerService and related methods, but this bounded search did not establish the complete method-local parser/grant decision chain for every requested symbolic constant",compiled control-flow not fully established => UNKNOWN
6UG-013,UNKNOWN,NA,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,android.content.pm.PermissionInfo,PROTECTION_FLAG_* symbolic names,NOT_FOUND,"FireOS disassembly exposes PermissionInfo fields and calls but not a complete symbolic constant declaration table",symbolic mapping beyond observed masks remains UNKNOWN
