evidence_id,package/class/method,source path and line/offset,caller,gate,identity,sink,confidence,bounded limitations
IPC-001,"com.amazon.android.server.pm/AmazonUserManagerService.BinderService.enableKftLauncherComponent(UserInfo)","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54325; codeOff 0x431e2","IAmazonUserManager tx3; private BinderService","contract mapping; no method-local permission marker in selected body","supplied UserInfo.id; no clearCallingIdentity in selected body","enables Tahoe FreeTimeLauncherActivity; sets Fire and Launcher3 application state=2 for supplied user","high static","Child-user lifecycle sink; no proof of User 0 or ordinary-app reachability; no transaction sent."
IPC-002,"com.amazon.android.server.pm/AmazonUserManagerService.BinderService.setActiveProfileType(int)","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54880-55020; findings/phase-6gm-amazon-user-manager-tx5-boundary.md","IAmazonUserManager tx5","checkManageUsersPermission","no clearCallingIdentity reported","writes active profile type / downstream child-key policy; no direct PMS HOME writer shown","high static","Policy-state sink only; ordinary app probe was rejected in preserved evidence; exact offsets are disassembly-derived."
IPC-003,"com.amazon.android.server.pm/AmazonUserManagerService.BinderService.setUserSortedList(List)","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54800-54880; artifacts/phase6l/binder-contract-audit-20260805-02/contract-methods.csv","IAmazonUserManager tx1","checkManageUsersPermission in helper path","no clearCallingIdentity reported","writes sorted-user-list/profile ordering state","medium static","Contract mapping exists but complete body excerpt is bounded; no direct HOME resolver write established."
IPC-004,"com.amazon.android.server.pm/AmazonPackageManagerService.BinderService.setAmazonFlagsForUser(...) / setAmazonMetadataForUser(...)","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:95866-96009; artifacts/phase6l/binder-contract-audit-20260805-02/contract-methods.csv","IAmazonPackageManager tx1/4","permission/error branch markers; private service registration","no clearCallingIdentity shown in selected rows","writes Amazon per-user metadata/flags; not a standard enabled/component/preferred-HOME sink","medium static","Exact permission name/complete branch not reconstructed; shell handle denied in preserved runtime evidence."
IPC-005,"com.amazon.android.server.wm/AmazonWindowManagerService.BinderService.lockNow(Bundle)","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:56070-56157; contract-methods.csv window rows","IAmazonWindowManager tx1","permission enforcement marker; service check not found","no clearCallingIdentity shown","lock-screen/window state; no package/profile/settings/OTA/HOME sink established","high static","Potentially disruptive method was not invoked."
IPC-006,"com.amazon.android.server.input/AmazonInputManagerService.BinderService.inject(...) / injectSequence(...)","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:19508-19714; artifacts/phase6q/binder-service-audit-20260805-03/binder-method-candidates.csv","amazon_input / amazon_keyevent Binder surface","getCallingUid plus permission/signature-or-privileged markers and SecurityException paths","no clearCallingIdentity in selected rows","input injection/callback effects; indirect Home-key influence only","high static","Driver/input methods were not invoked; static rows do not prove runtime reachability."
IPC-007,"com.amazon.android.os/MigrationService.BinderService.migrateData(String)","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:33003-33133; 33871-33891","IMigrationManager tx1","checkCallingOrSelfPermission(MOUNT_UNMOUNT_FILESYSTEMS)","no getCallingUid or identity clear in recovered method","storage migration state/volume paths; fixed Fire availability refresh broadcast but no package-state/HOME writer","high static","Refresh broadcast is not evidence of component mutation; no Binder call made."
IPC-008,"com.android.server.devicepolicy/DevicePolicyManagerService.addPersistentPreferredActivity(...)","decompiled/jadx/systemui/sources/com/android/server/devicepolicy/DevicePolicyManagerService.java:6742-6759","IDevicePolicyManager tx100; active admin/profile owner","getActiveAdminForCallerLocked(who,-1)","clearCallingIdentity then restore","delegates to IPackageManager.addPersistentPreferredActivity and flushPackageRestrictionsAsUser","high static","Owner validation is not independently re-derived here; preserved reports document shell UID 2000 rejection."
IPC-009,"com.android.server.pm/PackageManagerService.addPersistentPreferredActivity(...)","decompiled/jadx/systemui/sources/com/android/server/pm/PackageManagerService.java:13212-13220; IPackageManager tx73 mapping 13345-13376","system-server/DPM delegated caller","Binder.getCallingUid()==1000; SecurityException otherwise","no identity clear in PMS sink; DPM clears before delegation","persistent preferred records and future HOME resolution","high static","UID gate is explicit; no caller transaction sent."
IPC-010,"com.android.server.pm/PackageManagerService.setApplicationEnabledSetting(...) / setComponentEnabledSetting(...)","decompiled/jadx/systemui/sources/com/android/server/pm/PackageManagerService.java:13731-13758; helper gate 13839-13845","IPackageManager Binder contract","setEnabledSetting path; CHANGE_COMPONENT_ENABLED_STATE and user checks","Binder.getCallingUid used in helper; no clearCallingIdentity in shown entry","package/component enabled state for a user","high static","JADX helper body is partially incomplete; no bypassability inferred."
IPC-011,"com.android.server.pm/PackageManagerService.setPackagesSuspendedAsUser(...)","decompiled/jadx/systemui/sources/com/android/server/pm/PackageManagerService.java:9370-9379","IPackageManager Binder contract","method body not decompiled; nearby UID/permission checks present","identity behavior of omitted body unknown","package suspension state","bounded candidate","Explicitly not decompiled; candidate only, not proof of weakness."
IPC-012,"com.android.server.pm/PackageManagerService.replacePreferredActivity(...)","decompiled/jadx/systemui/sources/com/android/server/pm/PackageManagerService.java:12985-13015","IPackageManager Binder contract","enforceCrossUserPermission plus SET_PREFERRED_APPLICATIONS check/enforce","Binder.getCallingUid captured before gate; no clearCallingIdentity shown","ordinary preferred activity records, potentially affecting HOME selection","high static","Preferred is not persistent; no Fire-specific special case shown; no transaction sent."
