id,source_or_anchor,input_sha256,gate_or_input,privileged_sink,scope,confidence,assessment
INV-01,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin:ZIP metadata/member inventory,9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,release-keys; release; product trona; ota-type BLOCK,system/vendor/boot-chain payload members,full device update,high,exact local package present; no execution
INV-02,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:1-2,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,build timestamp and ro.product.device==trona,abort gate before update,package-level,high,confirmed static gate
INV-03,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:6-10,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,script-controlled block_image_update,system and vendor block devices,privileged recovery,high,confirmed sink; expected OTA behavior
INV-04,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:13-23,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,script-controlled package_extract_file,boot/preloader/lk/tee1/tee2/spmfw/sspm_1/cam_vpu1-3,boot chain,high,confirmed sink; expected OTA behavior
INV-05,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:24,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,script-controlled extraction,target.blocklist -> /cache/recovery/last_blocklist,recovery cache,high,confirmed static write
INV-06,firmware/extracted/PS7331/META-INF/com/google/android/update-binary,0x02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,RegisterInstallFunctions 0x406978; handler registry,package_extract_file/getprop/apply_patch/run_program/write_value/reboot_now,updater interpreter,high,static symbol evidence
INV-07,artifacts/phase6md-native-updater-path-audit-20260810-02/path-write-call-edges.csv:1-23,7dc9e3ef02a86d978d59736440bad0273288d83c71b8e7117eefb96c7bfffdbb,indirect handler dispatch,open/write/rename/chown/ota_open/ota_write,update-binary process,high,selected direct edges; no runtime reachability
INV-08,artifacts/phase6mm-updater-blockimage-20260810-01/block-image-registration.csv:1-6; selected-functions.csv:1-13,778bc4774b4ade436bd979b366c1f3c8e9a1ce91fe6aa2d306040d32629cebcb,block_image_update -> BlockImageUpdateFn -> PerformBlockImageUpdate,WriteToPartition/open/chown/rename,system/vendor block update,high,static indirect-dispatch closure
INV-09,artifacts/phase6ne-updater-cache-flow-20260810-03/direct-call-edges.csv; return-branches.csv,d653e4a84898509781a333c56502087a83981781fcf6612d7026bfd79602b477;95f469e697c636a2f09bcb6d3f27540f9d336a4bf042d2a5b33b37156a28b87b,CacheSizeCheck and MakeFreeSpaceOnCache,readlink_chk/unlink/cache cleanup,cache staging,medium,static relation only
INV-10,artifacts/phase6md-native-updater-path-audit-20260810-02/path-marker-strings.csv:104-106;134-135,3fe90198a4de2b30d743191996e8476630603998df20d8f9f91fe942bc244ebb,realpath/readlink markers; no selected direct extraction edge,canonicalization/path sink,updater filesystem,medium,UNKNOWN for complete path hardening
