surface,source_path,source_sha256,evidence_record
amazon_ld_sysfs,drivers/staging/amazon/amzn_ld.c,911bff33d20748da04e20f410621471bff102fde0bb9df0f0585812a81da0bcd,"line=665-673,758-777; gate=CONFIG_AMAZON_LD=y; registration=device_create_file + of_match amzn,ld + platform_driver_register; callers=none in preserved framework/launcher source; label=no exact sysfs mode/owner/SELinux label; capability=writable liquid-detection controls; possible_effect=stop/ctrl/threshold/interval/ADC changes; reachable_effect=unproven, requires DT/object/node/write policy; provenance=GPL source exact-build-labelled PS7331; missing=compiled DTB/DTBO, init, policy, caller; confidence=high"
amazon_logger,drivers/staging/amazon/amazon_logger.c,112ffa26d1eeaacaee0f9e1b6222016b99e1f6fb611b8b5fc1a8c06709967321,"line=585,665; gate=CONFIG_AMAZON_METRICS_LOG=n and CONFIG_AMAZON_MINERVA_METRICS_LOG=n; registration=copy_to_user + misc_register; callers=none; label=exact misc mode/owner/SELinux absent; capability=metrics/log read path; possible_effect=kernel logging/info disclosure; reachable_effect=not from captured config; provenance=GPL source + config SHA eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; missing=conditional object/image link/modules; confidence=high"
amazon_sign_of_life,drivers/staging/amazon/sign_of_life.c,f4dad9fad092064675ebb078fef27295e095d0765a4340fd9069560156093cec,"line=160; gate=CONFIG_AMAZON_SIGN_OF_LIFE=n; registration=proc_create; callers=none; label=proc mode/owner/SELinux absent; capability=boot/shutdown lifecycle reporting; possible_effect=factory-reset string is metadata only; reachable_effect=not from captured config; provenance=GPL source; missing=proc/init/policy join; confidence=medium"
cmdq_ioctl,drivers/misc/mediatek/cmdq/v3/cmdq_driver.c,6cd0eb968497d0e6502b81085e2da2d151d102c93ad4fdf031ff293c7b59fd54,"line=53,225-290,350-524,578,613-656,663-742,823-827,897-899,1006; gate=CONFIG_MTK_CMDQ=y; registration=mediatek,gce match + ioctl fops + proc/sysfs + platform register; callers=none in preserved framework/launcher source; label=CMDQ node/mode/SELinux allow absent; capability=task submission, register read/write batch, engine notification, DTS query, secure metadata; possible_effect=hardware/display/engine control; reachable_effect=unproven, requires linked driver/DT/node/policy; provenance=GPL source + DT line 1374 + config SHA; missing=compiled DTB, init, vendor policy, native caller, image symbol/module join; confidence=high"
ion_generic,drivers/staging/android/ion/ion.c,5aa9f066c4b12432542df5337f3b5f0cc49e4b43fa5868b41459970190e01413,"line=1506-1663,1912-1962; gate=CONFIG_ION=y and CONFIG_ION_TEST=n; registration=copy_from/to_user + ioctl fops + misc_register + debugfs; callers=Android graphics callers outside preserved source scope; label=/dev/ion mode/owner/SELinux absent; capability=alloc/free/share/map/import/sync/custom buffers; possible_effect=DMA/buffer exposure subject to heaps/policy; reachable_effect=unproven; provenance=GPL source + config SHA; missing=exact node, gralloc/codec caller, heap config, SELinux, modules; confidence=high"
ion_mtk_custom,drivers/staging/android/ion/mtk/ion_drv.c,2b8b9565569290bfc11a2b86a92b78dfb0a85810d30208bbd7dbbef460af4c4f,"line=319-435,612,765; gate=CONFIG_MTK_ION=y; registration=custom ioctl + ion_device_create + platform register; callers=none in preserved framework/launcher source; label=node/allow absent; capability=MTK custom system/physical-address/debug metadata and secure heap paths; possible_effect=buffer/physical-address/secure-memory control; reachable_effect=external custom effect unproven; provenance=GPL source + config SHA; missing=custom caller, heap enablement, DT, image deployment, SELinux; confidence=high"
ion_debugfs,drivers/staging/android/ion/mtk/ion_drv.c,2b8b9565569290bfc11a2b86a92b78dfb0a85810d30208bbd7dbbef460af4c4f,"line=641-645,663-671; gate=ION_RUNTIME_DEBUGGER conditional Makefile:27-29; registration=debugfs clients_summary/history; callers=none; label=debugfs mount/permissions/SELinux absent; capability=ION client/heap diagnostics; possible_effect=information disclosure/debug control; reachable_effect=not established; provenance=GPL source + config SHA; missing=macro value, debugfs mount, image link; confidence=medium"
mediatek_dt_control,arch/arm64/boot/dts/mediatek/mt8183.dts,d9c982429007ddb0793d0f0d68f49583a6a33b311d651fb2cbc8cb836c96ed4b,"line=26,293,1093-1101,1181,1374; gate=DT source intent only; registration=mediatek,mt8183 + Amazon mdump reserve + M4U/DevAPC + CQDMA + gce; callers=kernel compatible matches only; label=DT is not access control; capability=resource/driver instantiation intent; possible_effect=CMDQ/M4U/DevAPC/CQDMA/crash-memory binding; reachable_effect=unproven; provenance=GPL DT source; missing=compiled DTB/DTBO and bootloader-selected variant; confidence=high"
mediatek_secure_world,drivers/misc/mediatek/atf_log/atf_logger.c,a59504307f97f11331d13ae6eaab81c47e131597288196c3e76e3bda70f880d8,"line=181,330-331,489-510; gate=driver Kconfig conditional; registration=secure-call markers + misc registration; callers=none in preserved framework/launcher source; label=node/SELinux allow absent; capability=ATF log/secure-call mediation; possible_effect=secure-world diagnostics, not automatic privilege transition; reachable_effect=unproven; provenance=GPL source + TEE image presence; missing=AP/TEE caller and authorization contract; confidence=medium"
mediatek_debug_procfs,drivers/misc/mediatek/base/power/mt8183/mtk_gpufreq_core.c,519d2e473413efab233c7665c04f4d43a57e446fc54d496a0c94a6faaaffca14,"line=1542-1549,2784; gate=driver Kconfig conditional; registration=proc_mkdir/proc_create + platform register; callers=none; label=proc mode source-visible but exact label/allow absent; capability=GPU frequency/power debug/tuning entries; possible_effect=power/performance change; reachable_effect=unproven, requires proc/mode/policy/caller; provenance=GPL source + CONFIG_AMAZON_DEBUG_CLK=y; missing=proc mount, dependency resolution, init, SELinux; confidence=medium"
amazon_kconfig,drivers/staging/amazon/Kconfig,ebd6864f5a4f155f3ef4672b6b50f7ae6d554c5117c21e610547ea20fa42f6e6,"line=4-65; gate=CONFIG_AMAZON=y; registration=build catalogue; callers=no runtime caller; label=Kconfig is build gate only; capability=metrics/sign-of-life/keycombo/integrity/liquid-detection/user-build options; possible_effect=depends on selected object; reachable_effect=not implied; provenance=GPL source + captured config SHA; missing=final config-to-object map and exact image symbol/module list; confidence=high"
