finding_id,area,conclusion,status,evidence_file,line_or_address,sha256,unknown_or_limit
6VB-001,exact-build,"Original OTA SHA-256 9f50d2f3...e3cd5; extracted script/binary match phase6md inputs.",CONFIRMED,"firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin; firmware/extracted/PS7331/META-INF/com/google/android/{updater-script,update-binary}",script:1-24,OTA=9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5; script=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248; binary=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,No complete tar-member comparison.
6VB-002,archive-path,"No archive traversal/symlink entries or duplicate file-map paths; file-map contains //system absolute/empty-segment paths.",CONFIRMED_WITH_LIMIT,artifacts/phase6bp/ota-path-audit-20260805-02/ota-path-audit.json,JSON entries,594ab2dddbb30739261418400913494d97dba1ad24de8422c1c831fc40ac4970,Archive clean does not prove runtime no-follow semantics.
6VB-003,Java-canonicalization,"SideloadMover uses getAbsolutePath, slash split and basename concatenation; no canonical/no-follow check visible.",CONFIRMED_WITH_LIMIT,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMover.java,39-42,59131cf032d8544cd44ea839ad63eb37993d2853b4925bf56d10ede721693f63,Adjacent phase6j JADX not decompiled path; runtime semantics UNKNOWN.
6VB-004,staging,"FileHelper renameTo; fallback copy then delete; existing destination requires MD5 equality before source delete.",CONFIRMED,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/framework/FileHelper.java,305-339,55a7f44a70735626be7ebde25e96812346f336fddbec2c87de29ac0fb709b980,No lstat/readlink/no-follow or atomicity proof.
6VB-005,caller-chain,"SideloadInstaller verifies without recovery check, moves staging file, then calls UpdateSystemWrapper.install; failure deletes sideload files.",CONFIRMED,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadInstaller.java,65-94,98fe15a329e96ec793fc3f50172d945d9d409b734efce084af38bbef49248e4a,Caller permission and Binder identity UNKNOWN.
6VB-006,RecoverySystem,"OSUpdateValidator performs helper hash assertion, RecoverySystem.verifyPackage, then update-property validation.",CONFIRMED,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/validate/OSUpdateValidator.java,73-78,36fca220ec2332bee5e5af3c9c2317056a425b90507951345d5b729c76c6f256,Recovery cryptographic implementation/key chain UNKNOWN.
6VB-007,UpdateSystem,"Wrapper remaps external to media path, writes persist.sys.ota.isScreenOffBeforeOTA, calls UpdateSystem.install with flags.",CONFIRMED,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/framework/UpdateSystemWrapper.java,29-47,c99f6884fa298546b18722a5addb46ae35aff4c9f6003d8ad3ccaebe2edfdbd9,Underlying enforcement/reboot behavior UNKNOWN; not invoked.
6VB-008,partition-cache,"Script targets system/vendor block_image_update, boot/firmware by-name writes, and /cache/recovery/last_blocklist.",CONFIRMED,artifacts/phase6md-native-updater-path-audit-20260810-02/updater-script-operations.csv,rows 1-13,baf9d3598cf35c009afe127401d77b3e2f0a2594c133ba71e6e5bf6b2562b367,No device write; post-install executor beyond extraction UNKNOWN.
6VB-009,native-writers,"Native graph reaches ota_open/extraction, open/chown/rename, and WriteToPartition ota_open/ota_write sinks.",CONFIRMED,artifacts/phase6md-native-updater-path-audit-20260810-02/path-write-call-edges.csv,rows 5-23,7dc9e3ef02a86d978d59736440bad0273288d83c71b8e7117eefb96c7bfffdbb,Low-privilege entry and complete indirect-call closure UNKNOWN.
6VB-010,native-canonicalization,"realpath/readlink markers exist; 6MM closes MakeFreeSpaceOnCache -> __readlink_chk, but no direct canonicalization-to-write edge.",CONFIRMED_WITH_LIMIT,artifacts/phase6md-native-updater-path-audit-20260810-02/path-marker-strings.csv; artifacts/phase6mm-updater-blockimage-20260810-01/canonicalization-call-sites.csv,markers 104-106/134-135; callsite 0x417bf0,3fe90198a4de2b30d743191996e8476630603998df20d8f9f91fe942bc244ebb; 8cc6d38c1e464b6b741b29bdee8aa253113e7aea286f368ffe1cf1c0cde5983d,Complete CFG/dataflow and runtime no-follow UNKNOWN.
6VB-011,rollback-AVB,"Visible state is active/needs-reset, post-update verification status and build-number success cleanup; AVB rollback index/slot handoff not closed.",CONFIRMED_WITH_LIMIT,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/install/OSUpdateInstaller.java; artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/SideloadVerificationTask.java; artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/metrics/PostOtaVerificationMetrics.java,41-60; 40-76; 47-76,70f44b73aecaf76945e20bbc3a81d31701c3032dd2e931b070a8a17a071457ce; 994951024511d9ae81d53e1093fd686a10dda01370955daaea515e2efc845760; 61e18e084a22fa82522abb209b80a1eef4583cb58388004ed35d325a0075fd1b,Authoritative rollback/post-install/AVB handoff UNKNOWN.
6VB-012,permission-identity,"Compat manifest names signature-level controller permission, but complete OTA manifest protectionLevel and runtime UID/SELinux/Binder caller closure are absent.",UNKNOWN,artifacts/phase6j/ota-holder-manifest-audit-20260805-03/compat.manifest.txt; artifacts/phase6j/phase6j-ipc-authorization-20260805-02/registrations.csv,16-23; 1-12,afe37a2d959f36d3ab271a7a6495fddc46b6211ef98f0c7921fb5dfa44180e6a; 6bb252e7d0cdd055416532388a4728908145579d1a87edcdf60b96dd9547b740,Do not infer privilege from @Inject or priv-app location.
6VB-013,input-completeness,"artifacts/phase6uo is missing; decompiled/jadx/ota-PS7331 has no matching OTA Java source path.",UNKNOWN,filesystem inventory,missing/none,UNKNOWN,Exact decompiled OTA implementation and phase6uo evidence unavailable.
