id,sink_class,operation,exact_build_path,line_or_offset,binder_interface,transaction,publication_or_service,permission_selinux_service_manager_gate,caller_or_publisher,user_scope,target_or_literal,evidence_sha256,confidence,unknowns
VE-001,com.amazon.android.internal.server.input.keymapping.appadapter.AppAdapterHandler,setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,26056/IP=0x02ab0c,IPackageManager via PackageManager wrapper,UNKNOWN,PackageManager system service,UNKNOWN; PMS enabled-state validation,AppAdapterHandler,UNKNOWN,fixed registration component com.amazon.tv.oobe/.RegistrationActivity,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,transaction and gate details UNKNOWN
VE-002,com.amazon.android.modeswitch.service.GeminiHandler,setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,30354/IP=0x02e92e,IPackageManager via PackageManager wrapper,UNKNOWN,PackageManager system service,UNKNOWN; PMS enabled-state validation,GeminiHandler,UNKNOWN,com.amazon.alexa.multimodal.gemini; com.amazon.knight.blink.BlinkNotificationListenerService,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,caller/data-flow and exact transaction UNKNOWN
VE-003,AmazonUserManagerService$BinderService,KFT component enable/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54310/IP=0x04320a,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,private Amazon user manager service,private service; KFT/profile lifecycle; PMS validation,AmazonUserManagerService.BinderService,UserInfo.id child/profile,com.amazon.tahoe.launcher.FreeTimeLauncherActivity,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,Amazon interface descriptor/tx UNKNOWN
VE-004,AmazonUserManagerService$BinderService,KFT app enable com.amazon.firelauncher/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54318/IP=0x043228,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,private Amazon user manager service,private service; KFT/profile lifecycle; PMS validation,AmazonUserManagerService.BinderService,UserInfo.id child/profile,com.amazon.firelauncher,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,Amazon interface descriptor/tx UNKNOWN
VE-005,AmazonUserManagerService$BinderService,KFT app enable com.android.launcher3/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54324/IP=0x043242,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,private Amazon user manager service,private service; KFT/profile lifecycle; PMS validation,AmazonUserManagerService.BinderService,UserInfo.id child/profile,com.android.launcher3,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,Amazon interface descriptor/tx UNKNOWN
VE-006,EspressoShotCallback,disableBootCompleteReceivers/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,191881/IP=0x0cf22a,IPackageManager via PackageManager wrapper,UNKNOWN,PackageManager system service,metadata/permission gated,EspressoShotCallback,UNKNOWN,boot-complete receiver component,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,exact gate UNKNOWN
VE-007,EspressoShotCallback,reEnableBootCompleteReceivers/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,192065/IP=0x0cf314,IPackageManager via PackageManager wrapper,UNKNOWN,PackageManager system service,metadata/permission gated,EspressoShotCallback,UNKNOWN,boot-complete receiver component,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,exact gate UNKNOWN
VE-008,EnableDisableComponentAction,policy component enable/disable/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293712/IP=0x052688,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,Amazon product-policy action service,trusted system service; policy-file/user-list driven,EnableDisableComponentAction,UNKNOWN,policy-selected component,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,Amazon interface descriptor/tx UNKNOWN
VE-009,EnableDisableComponentAction,policy application enable/disable/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293717/IP=0x052698,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,Amazon product-policy action service,trusted system service; policy-file/user-list driven,EnableDisableComponentAction,UNKNOWN,policy-selected package,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,Amazon interface descriptor/tx UNKNOWN
VE-010,EnableDisableComponentAction,policy component enable/disable per user/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293735/IP=0x0526e8,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,Amazon product-policy action service,trusted system service; user-list driven,EnableDisableComponentAction,explicit user argument in method,policy-selected component,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,Amazon interface descriptor/tx UNKNOWN
VE-011,EnableDisableComponentAction,policy application enable/disable per user/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293738/IP=0x0526f4,IAmazonPackageManager wrapper -> PMS path,UNKNOWN,Amazon product-policy action service,trusted system service; user-list driven,EnableDisableComponentAction,explicit user argument in method,policy-selected package,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,static direct,Amazon interface descriptor/tx UNKNOWN
VE-012,BluetoothManagerService,updateOppLauncherComponentState/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,56994/IP=0x05da2c,IPackageManager,UNKNOWN,package service via system_server,system_server internal; standard PMS validation,BluetoothManagerService,UNKNOWN,com.android.bluetooth.opp.BluetoothOppLauncherActivity,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,static direct,transaction UNKNOWN
VE-013,InputMethodManagerService,updateInputMethodsFromSettingsLocked/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,85596/IP=0x07cc08,IPackageManager,UNKNOWN,package service via system_server,system_server internal; exact caller/data-flow UNKNOWN,InputMethodManagerService,explicit user/calling package args in signature,IME package,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,static direct,exact gate UNKNOWN
VE-014,ActivityManagerService$DevelopmentSettingsObserver,development settings component toggle/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,158798/IP=0x0d7ba8,IPackageManager,UNKNOWN,activity/system_server path,system_server internal; development_settings_enabled marker,DevelopmentSettingsObserver,UNKNOWN,com.android.shell.BugreportStorageProvider,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,static direct,SELinux/service-manager gate UNKNOWN
