id,sink_class,operation,exact_build_path,line_or_offset,binder_interface,transaction,publication_or_service,permission_selinux_service_manager_gate,caller_or_publisher,user_scope,target_or_literal,evidence_sha256,confidence,unknowns
WK-001,DefaultPermissionGrantPolicy,grant default/runtime permissions,decompiled/jadx/systemui/sources/com/android/server/pm/permission/DefaultPermissionGrantPolicy.java,106-121,internal PackageManager permission manager,UNKNOWN,system_server package-management path,system_server/internal policy path; exact caller gate UNKNOWN,DefaultPermissionGrantPolicy,userId argument,privileged/system handlers and requested runtime permissions,186a710bb9d27f703f2c76bc1e179ac18cebbff022674e9e71f2bf7a50226327,static direct,exact invocation caller and SELinux/service-manager rule UNKNOWN
WK-002,UserManagerService,createUser,decompiled/jadx/systemui/sources/com/android/server/pm/UserManagerService.java,1972-1975,IUserManager,UNKNOWN,user manager system service,checkManageOrCreateUsersPermission(flags); MANAGE_USERS or CREATE_USERS; system/root accepted,UserManagerService Binder implementation,system/default user scope,UserInfo created from name and flags,a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,static direct,transaction/publication and SELinux rule UNKNOWN
WK-003,UserManagerService,createProfileForUser,decompiled/jadx/systemui/sources/com/android/server/pm/UserManagerService.java,1957-1964,IUserManager,UNKNOWN,user manager system service,checkManageOrCreateUsersPermission(flags); MANAGE_USERS or CREATE_USERS; system/root accepted,UserManagerService Binder implementation,parent userId plus created profile,profile with disallowedPackages,a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,static direct,transaction/publication and SELinux rule UNKNOWN
WK-004,UserManagerService,removeUser,decompiled/jadx/systemui/sources/com/android/server/pm/UserManagerService.java,2112-2115,IUserManager,UNKNOWN,user manager system service,checkManageOrCreateUsersPermission("Only the system can remove users"); exact downstream checks UNKNOWN,UserManagerService Binder implementation,userHandle argument,removal of user and associated state,a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,static direct,exact caller identity and downstream lifecycle gate UNKNOWN
WK-005,UserController,stopUser,decompiled/jadx/systemui/sources/com/android/server/am/UserController.java,255-270,IActivityManager,UNKNOWN,activity system service,INTERACT_ACROSS_USERS_FULL or amazon.aosp.permission.INTERACT_ACROSS_USERS_FULL; Binder calling pid/uid checked; shell restriction also enforced,UserController Binder-facing path,userId; system user rejected,stopping user state,3382de2f12fc0f38c757c3fd021c06482db96c19389ec9909218423addd47274,static direct,transaction/publication and SELinux rule UNKNOWN
WK-006,ActivityManagerShellCommand,runSwitchUser -> switchUser,decompiled/jadx/systemui/sources/com/android/server/am/ActivityManagerShellCommand.java,1611-1619,IActivityManager,UNKNOWN,activity service shell command,shell command plus canSwitchUsers restriction; exact shell UID enforcement in downstream path UNKNOWN,ActivityManagerShellCommand,supplied target user,target user switch,7aafaa0ccc5336df4f8e8cb7bcd38afbd578790c3065f28843a76a1eb36c06cc,static direct,command registration and SELinux/service-manager gate UNKNOWN
WK-007,ActivityManagerShellCommand,runStartUser -> startUserInBackground,decompiled/jadx/systemui/sources/com/android/server/am/ActivityManagerShellCommand.java,1628-1634,IActivityManager,UNKNOWN,activity service shell command,shell command path; downstream caller and SELinux gate UNKNOWN,ActivityManagerShellCommand,supplied target user,start user in background,7aafaa0ccc5336df4f8e8cb7bcd38afbd578790c3065f28843a76a1eb36c06cc,static direct,exact authorization and command registration UNKNOWN
WK-008,ActivityManagerShellCommand,runStopUser -> stopUser,decompiled/jadx/systemui/sources/com/android/server/am/ActivityManagerShellCommand.java,1686-1704,IActivityManager,UNKNOWN,activity service shell command,shell command path; downstream INTERACT_ACROSS_USERS_FULL gate visible in UserController,ActivityManagerShellCommand,supplied target user,target user stop with force/wait options,7aafaa0ccc5336df4f8e8cb7bcd38afbd578790c3065f28843a76a1eb36c06cc,static direct,exact shell SELinux/service-manager rule UNKNOWN
WK-009,AppRestrictionsHelper,setApplicationHiddenSettingAsUser,decompiled/jadx/amazon-settings/sources/com/android/settingslib/users/AppRestrictionsHelper.java,105-106;116-119,IPackageManager,UNKNOWN,package service via Settings-side helper,PackageManager validation; Settings UI/profile-policy caller and SELinux rule UNKNOWN,AppRestrictionsHelper,explicit userId,package hidden/unhidden,107ba7f2925439e8bf061b39b9496a5d6cc661c00990d5be9259104f2960486f,static direct,reachability and exact caller identity UNKNOWN
WK-010,AppRestrictionsHelper,deletePackageAsUser,decompiled/jadx/amazon-settings/sources/com/android/settingslib/users/AppRestrictionsHelper.java,116-117,IPackageManager,UNKNOWN,package service via Settings-side helper,PackageManager uninstall validation; only restricted-profile branch visible,AppRestrictionsHelper,explicit userId,package removal for restricted profile,107ba7f2925439e8bf061b39b9496a5d6cc661c00990d5be9259104f2960486f,static direct,reachability and exact caller identity UNKNOWN
WK-011,UserManagerHelper,createUser,decompiled/jadx/amazon-settings/sources/com/android/settingslib/users/UserManagerHelper.java,167-174,IUserManager,UNKNOWN,user manager system service,helper checks no_add_user restriction; service permission gate remains authoritative,UserManagerHelper,current process/default user scope,new user name,1e15d3461b6d0e34391eba9b628e8ca83a7082590baf33bfec4ad8d00e5209df,static direct,UI entry and exact caller identity UNKNOWN
WK-012,UserManagerHelper,removeUser,decompiled/jadx/amazon-settings/sources/com/android/settingslib/users/UserManagerHelper.java,177-185,IUserManager,UNKNOWN,user manager system service,helper excludes system/current-user case; service permission gate remains authoritative,UserManagerHelper,userInfo.id,user removal,1e15d3461b6d0e34391eba9b628e8ca83a7082590baf33bfec4ad8d00e5209df,static direct,reachability and exact caller identity UNKNOWN
WK-013,UserManagerHelper,switchUser,decompiled/jadx/amazon-settings/sources/com/android/settingslib/users/UserManagerHelper.java,247-251,IActivityManager,UNKNOWN,activity system service,helper checks current/foreground user only; downstream switch gate and SELinux rule UNKNOWN,UserManagerHelper,target user id,target user switch,1e15d3461b6d0e34391eba9b628e8ca83a7082590baf33bfec4ad8d00e5209df,static direct,reachability and exact caller identity UNKNOWN
WK-014,SettingsProvider,insert/update/delete settings,decompiled/jadx/settings-provider/sources/com/android/providers/settings/SettingsProvider.java,344-418;658-690;865-910,ContentProvider settings authority,UNKNOWN,settings provider authority=settings,global/secure writes enforce WRITE_SECURE_SETTINGS; system writes use WRITE_SETTINGS or app-op; cross-user gate at 431,external callers through exported SettingsProvider,calling user and requested setting namespace,global/secure/system settings values,4efc2aba8f7798fb4e026f13479f5b4929ef545deba5618b35d799555d78678b,static direct,per-setting restrictions and SELinux/provider policy UNKNOWN
WK-015,SettingsProvider,exported provider publication,decompiled/jadx/settings-provider/resources/AndroidManifest.xml,16-31,ContentProvider settings authority,UNKNOWN,authority=settings,android:exported=true; sharedUserId=android.uid.system; provider write methods enforce permissions,SettingsProvider,singleUser across users,exported SettingsProvider,e4f2d9d47e7fa10be2aa2d26f6549b41184762d7ff5c77c19ffa7fc7560aac70,static manifest,APK/container hash and provider SELinux rule UNKNOWN
WK-016,MediaSessionService,write media_button_receiver setting,decompiled/jadx/systemui/sources/com/android/server/media/MediaSessionService.java,625-625,internal media session service,UNKNOWN,system_server media service,internal service path; exact caller/permission and SELinux rule UNKNOWN,MediaSessionService,full user id,secure setting media_button_receiver,58ce4931e266384bd63147b65748edb53190d68f270b0b324dfa5c646506d5af,static direct,caller/data-flow and exact gate UNKNOWN
WK-017,UserManagerService,persist user list/user state,decompiled/jadx/systemui/sources/com/android/server/pm/UserManagerService.java,1585-1591;1668-1701,internal PackageManager/user manager path,UNKNOWN,system_server filesystem persistence,"system_server internal; file path, DAC, SELinux and caller gate UNKNOWN",UserManagerService,user list and user state,"files selected by userFile/userListFile",a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,static file sink,file paths and runtime reachability UNKNOWN
